year,cpue,var
1980,0.719,0.01564
1981,0.98,0.01564
1982,1.24,0.01564
1983,1.521,0.01564
1984,1.304,0.01564
1985,1.88,0.01564
1986,1.581,0.01564
1987,1.704,0.01564
1988,1.579,0.01564
1989,1.156,0.01564
1990,1.402,0.01564
1991,1.267,0.01564
1992,1.468,0.01564
1993,1.587,0.01564
1994,0.993,0.01564
1995,0.838,0.01564
1996,0.73,0.01564
1997,0.61,0.00629
1998,0.452,0.00439
1999,0.432,0.00562
2000,0.44,0.00552
2001,0.477,0.00748
2002,0.612,0.00894
2003,0.719,0.01418
2004,0.711,0.01404
2005,0.665,0.01426
2006,0.652,0.012070000000000001
2007,0.723,0.01664
2008,0.801,0.01796
2009,0.664,0.01669
2010,0.622,0.01789
2011,0.711,0.02279
2012,0.808,0.02441
2013,0.724,0.02289
2014,0.742,0.02113
2015,0.677,0.02008
2016,0.778,0.02219
2017,0.666,0.02159
2018,0.783,0.02147
2019,0.574,0.01649
2020,0.569,0.01683
2021,0.554,0.0193
