Selectivity,end,end_year,start_year,Sex,year,Age,proportion,year2
Fishery,19,1994,1975,Male,1975,2,1.929206211153368e-6,1975
Fishery,19,1994,1975,Male,1976,2,1.929206211153368e-6,1976
Fishery,19,1994,1975,Male,1977,2,1.929206211153368e-6,1977
Fishery,19,1994,1975,Male,1978,2,1.929206211153368e-6,1978
Fishery,19,1994,1975,Male,1979,2,1.929206211153368e-6,1979
Fishery,19,1994,1975,Male,1980,2,1.929206211153368e-6,1980
Fishery,19,1994,1975,Male,1981,2,1.929206211153368e-6,1981
Fishery,19,1994,1975,Male,1982,2,1.929206211153368e-6,1982
Fishery,19,1994,1975,Male,1983,2,1.929206211153368e-6,1983
Fishery,19,1994,1975,Male,1984,2,1.929206211153368e-6,1984
Fishery,19,1994,1975,Male,1985,2,1.929206211153368e-6,1985
Fishery,19,1994,1975,Male,1986,2,1.929206211153368e-6,1986
Fishery,19,1994,1975,Male,1987,2,1.929206211153368e-6,1987
Fishery,19,1994,1975,Male,1988,2,1.929206211153368e-6,1988
Fishery,19,1994,1975,Male,1989,2,1.929206211153368e-6,1989
Fishery,19,1994,1975,Male,1990,2,1.929206211153368e-6,1990
Fishery,19,1994,1975,Male,1991,2,1.929206211153368e-6,1991
Fishery,19,1994,1975,Male,1992,2,1.929206211153368e-6,1992
Fishery,19,1994,1975,Male,1993,2,1.929206211153368e-6,1993
Fishery,19,1994,1975,Male,1994,2,1.929206211153368e-6,1994
Fishery,45,2020,1995,Male,1995,2,1.6465941430724036e-5,1995
Fishery,45,2020,1995,Male,1996,2,1.6465941430724036e-5,1996
Fishery,45,2020,1995,Male,1997,2,1.6465941430724036e-5,1997
Fishery,45,2020,1995,Male,1998,2,1.6465941430724036e-5,1998
Fishery,45,2020,1995,Male,1999,2,1.6465941430724036e-5,1999
Fishery,45,2020,1995,Male,2000,2,1.6465941430724036e-5,2000
Fishery,45,2020,1995,Male,2001,2,1.6465941430724036e-5,2001
Fishery,45,2020,1995,Male,2002,2,1.6465941430724036e-5,2002
Fishery,45,2020,1995,Male,2003,2,1.6465941430724036e-5,2003
Fishery,45,2020,1995,Male,2004,2,1.6465941430724036e-5,2004
Fishery,45,2020,1995,Male,2005,2,1.6465941430724036e-5,2005
Fishery,45,2020,1995,Male,2006,2,1.6465941430724036e-5,2006
Fishery,45,2020,1995,Male,2007,2,1.6465941430724036e-5,2007
Fishery,45,2020,1995,Male,2008,2,1.6465941430724036e-5,2008
Fishery,45,2020,1995,Male,2009,2,1.6465941430724036e-5,2009
Fishery,45,2020,1995,Male,2010,2,1.6465941430724036e-5,2010
Fishery,45,2020,1995,Male,2011,2,1.6465941430724036e-5,2011
Fishery,45,2020,1995,Male,2012,2,1.6465941430724036e-5,2012
Fishery,45,2020,1995,Male,2013,2,1.6465941430724036e-5,2013
Fishery,45,2020,1995,Male,2014,2,1.6465941430724036e-5,2014
Fishery,45,2020,1995,Male,2015,2,1.6465941430724036e-5,2015
Fishery,45,2020,1995,Male,2016,2,1.6465941430724036e-5,2016
Fishery,45,2020,1995,Male,2017,2,1.6465941430724036e-5,2017
Fishery,45,2020,1995,Male,2018,2,1.6465941430724036e-5,2018
Fishery,45,2020,1995,Male,2019,2,1.6465941430724036e-5,2019
Fishery,45,2020,1995,Male,2020,2,1.6465941430724036e-5,2020
Fishery,19,1994,1975,Female,1975,2,0.0013966236972450556,1975
Fishery,19,1994,1975,Female,1976,2,0.0013966236972450556,1976
Fishery,19,1994,1975,Female,1977,2,0.0013966236972450556,1977
Fishery,19,1994,1975,Female,1978,2,0.0013966236972450556,1978
Fishery,19,1994,1975,Female,1979,2,0.0013966236972450556,1979
Fishery,19,1994,1975,Female,1980,2,0.0013966236972450556,1980
Fishery,19,1994,1975,Female,1981,2,0.0013966236972450556,1981
Fishery,19,1994,1975,Female,1982,2,0.0013966236972450556,1982
Fishery,19,1994,1975,Female,1983,2,0.0013966236972450556,1983
Fishery,19,1994,1975,Female,1984,2,0.0013966236972450556,1984
Fishery,19,1994,1975,Female,1985,2,0.0013966236972450556,1985
Fishery,19,1994,1975,Female,1986,2,0.0013966236972450556,1986
Fishery,19,1994,1975,Female,1987,2,0.0013966236972450556,1987
Fishery,19,1994,1975,Female,1988,2,0.0013966236972450556,1988
Fishery,19,1994,1975,Female,1989,2,0.0013966236972450556,1989
Fishery,19,1994,1975,Female,1990,2,0.0013966236972450556,1990
Fishery,19,1994,1975,Female,1991,2,0.0013966236972450556,1991
Fishery,19,1994,1975,Female,1992,2,0.0013966236972450556,1992
Fishery,19,1994,1975,Female,1993,2,0.0013966236972450556,1993
