Parameter,Estimate,se
fsh_logq,-17.976572203172708,0.03388730417396656
fsh_logq.1,-17.421015683767443,0.02391345120278126
srv_logq,-16.96579455061926,0.01748431212351856
mr_logq,-0.08385425975168795,0.00961332611542998
log_rbar,12.997007617420651,0.12571135933051172
log_rinit,13.65947626292991,0.16980794353681794
log_Fbar,-3.103907214533524,0.3416492226491709
log_spr_Fxx,-2.2571309374691833,0.2582718164806162
log_spr_Fxx.1,-2.4363054327170843,0.24951854295309248
log_spr_Fxx.2,-2.785642047915159,0.2477136024281228
log_spr_Fxx.3,-3.1460043994524742,0.2654378020370244
log_spr_Fxx.4,-3.548969604332178,0.3104248482802711
pred_rec,1225510.3859123536,1035045.8339712141
pred_rec.1,1525021.497789827,1501734.3213528937
pred_rec.2,1767329.9418407222,1965072.3222513297
pred_rec.3,1620236.230412898,1702735.431772747
pred_rec.4,1292619.271473778,1152565.9511632097
pred_rec.5,18021600.312569175,2475118.2044698233
pred_rec.6,944643.3997816399,691376.8153448057
pred_rec.7,872802.0009413856,599506.104774161
pred_rec.8,859835.67049827,565458.429798397
pred_rec.9,897700.4228901395,575133.8394811951
pred_rec.10,976916.463683963,616914.8453379752
pred_rec.11,1039533.3455988835,635779.6803392337
pred_rec.12,946490.7027385284,542796.5649605409
pred_rec.13,712932.5087032272,379471.0220741884
pred_rec.14,533299.4138830903,266466.67665509233
pred_rec.15,488873.67694800853,234587.60683236757
pred_rec.16,570434.7165168386,262868.51199458627
pred_rec.17,687731.2967692734,288806.1624752936
pred_rec.18,599364.8431275052,250269.56188537803
pred_rec.19,482684.95810548204,207469.54989274844
pred_rec.20,615252.2951041755,241521.74867313675
pred_rec.21,988746.4101591043,302246.7942998415
pred_rec.22,912839.7958042485,346636.45796546893
pred_rec.23,2077836.910363899,405878.54878170765
pred_rec.24,1251065.082415889,416709.3144645391
pred_rec.25,1382471.15206347,387272.94990333926
pred_rec.26,1095786.325902379,341422.56696312124
pred_rec.27,696689.1762762312,272157.8628073741
pred_rec.28,636253.655917765,229861.39305454347
pred_rec.29,630150.9341690616,218403.742469937
pred_rec.30,690639.3219192473,209399.43222200286
pred_rec.31,607321.526409328,198867.51529036116
pred_rec.32,545425.3120976934,180165.27899703343
pred_rec.33,440567.1658683648,177930.04241642528
pred_rec.34,1399327.8383913434,221618.57310452673
pred_rec.35,711781.2216063939,183677.3614558111
pred_rec.36,269768.3815521948,109504.12443627274
pred_rec.37,409534.0280988362,130419.7468109168
pred_rec.38,544156.1799620405,167209.20710947082
pred_rec.39,721946.2000387175,240813.55282853113
pred_rec.40,2515404.858077779,435614.32519382174
pred_rec.41,1560023.9325327403,675106.7748755981
pred_rec.42,861547.5409369343,561522.885767226
