like,value,perc
Catch,13.083421451296335,1.2991816257812359
Fishery CPUE,133.64403177398174,13.27083065560632
Survey CPUE,51.97419009472786,5.161028637447211
Mark-recapture abundance,51.97419009472786,5.161028637447211
Survey ages,181.1046099178211,17.983658359197662
Fishery ages,146.21628256257532,14.519253117579067
Survey lengths,107.73585218829021,10.698152629413418
Fishery lengths,284.7423013024618,28.27486428621996
Data likelihood,970.4748793858822,96.36799794869208
Total likelihood,1007.0509920757917,100
