Year,Specimen Number,Project Code,Trip Number,Effort Number,Groundfish Management Area Code,Time Second Anchor Onboard,Groundfish Stat Area,Species Code,Length Millimeters,Tag Number,Tag Batch Number,Discard Status,Release Condition Code,Specimen Comments
2022,1,611,1,1,NSEI,2022-05-03 11:20:00,345803,710,640,109503,30,Tagged and released,01,
2022,1,611,1,2,NSEI,2022-05-04 09:35:00,345803,710,620,109775,30,Tagged and released,01,
2022,1,611,1,3,NSEI,2022-05-05 11:33:00,345731,710,580,109815,30,Tagged and released,01,void 109816
2022,1,611,1,4,NSEI,2022-05-05 15:20:00,345731,710,610,110766,30,Tagged and released,01,
2022,1,611,1,5,NSEI,2022-05-06 10:29:00,345701,710,540,111217,30,Tagged and released,01,
2022,1,611,1,6,NSEI,2022-05-07 09:59:00,345701,710,670,111686,30,Tagged and released,01,
2022,1,611,1,7,NSEI,2022-05-08 09:46:00,345701,710,710,112071,30,Tagged and released,01,
2022,1,611,1,8,NSEI,2022-05-08 12:31:00,345701,710,570,112368,30,Tagged and released,01,
2022,1,611,1,9,NSEI,2022-05-09 10:39:00,345701,710,660,112579,30,Tagged and released,01,
2022,1,611,1,10,NSEI,2022-05-10 09:42:00,345701,710,560,112752,30,Tagged and released,01,
2022,1,611,1,11,NSEI,2022-05-10 12:39:00,345701,710,590,113154,30,Tagged and released,01,
2022,1,611,1,12,NSEI,2022-05-11 11:32:00,345701,710,570,113634,30,Tagged and released,01,
2022,1,611,1,13,NSEI,2022-05-12 10:34:00,345701,710,660,114276,30,Tagged and released,01,
2022,1,611,2,14,NSEI,2022-05-21 10:16:00,345603,710,730,114582,30,Tagged and released,01,
2022,1,611,2,15,NSEI,2022-05-21 14:59:00,345603,710,640,114984,30,Tagged and released,01,
2022,1,611,2,16,NSEI,2022-05-22 10:54:00,345631,710,660,115291,30,Tagged and released,01,
2022,1,611,2,17,NSEI,2022-05-23 11:00:00,345631,710,600,115542,30,Tagged and released,01,
2022,1,611,2,18,NSEI,2022-05-24 10:03:00,345631,710,570,115797,30,Tagged and released,01,
2022,1,611,2,19,NSEI,2022-05-24 15:10:00,345631,710,590,116087,30,Tagged and released,01,
2022,1,611,2,20,NSEI,2022-05-25 10:59:00,345631,710,590,116459,30,Tagged and released,01,
2022,1,611,2,21,NSEI,2022-05-26 10:03:00,345631,710,680,116671,30,Tagged and released,01,
2022,1,611,2,22,NSEI,2022-05-27 10:51:00,345631,710,670,116939,30,Tagged and released,01,
2022,1,611,2,23,NSEI,2022-05-27 15:47:00,345631,710,740,117421,30,Tagged and released,01,
2022,1,611,2,24,NSEI,2022-05-28 10:02:00,345631,710,610,117885,30,Tagged and released,01,
2022,2,611,1,1,NSEI,2022-05-03 11:20:00,345803,710,590,109504,30,Tagged and released,01,
