year,Fxx,ABC,discarded
1975,0.35,5928287.567883456,146473.1908363798
1975,0.4,4985991.834059223,122890.51434421596
1975,0.5,3548692.5497622737,87144.6286090847
1975,0.6,2492179.5472766752,61037.74319951593
1975,0.7,1675004.1193320756,40900.01917724561
1976,0.35,5931552.062180933,141983.651487326
1976,0.4,4988798.791688396,119131.27133263231
1976,0.5,3550755.8048203224,84486.77997312152
1976,0.6,2493661.7168771257,59180.134231849406
1976,0.7,1676017.3142393427,39657.32351005048
1977,0.35,5913346.629201348,134645.86590056334
1977,0.4,4973583.181250878,112987.17161414404
1977,0.5,3540028.7694766205,80142.88652320114
1977,0.6,2486180.194426289,56144.17363273382
1977,0.7,1671015.5412392477,37626.36598248642
1978,0.35,5914330.59675726,130312.13635474126
1978,0.4,4974563.664400789,109339.55060935502
1978,0.5,3540889.625034608,77544.06628020617
1978,0.6,2486867.3421925665,54317.82489633471
1978,0.7,1671519.715335657,36399.48408958006
1979,0.35,5856192.383767131,146066.57758394937
1979,0.4,4925741.270284668,122455.63438652469
1979,0.5,3506221.6277934,86737.34091065504
1979,0.6,2462561.8280459754,60702.8355702915
1979,0.7,1655205.128460407,40650.310944946155
1980,0.35,5888522.016020441,228712.51293791478
1980,0.4,4952081.7993966015,191541.75518011453
1980,0.5,3524067.556755498,135458.8463262873
1980,0.6,2474640.5880981223,94692.39818399191
1980,0.7,1663091.4919038378,63356.382265639535
1981,0.35,6398658.354649336,323051.6545790646
1981,0.4,5379474.483400281,270738.81742510817
1981,0.5,3826487.8453865084,191667.43296520866
1981,0.6,2686127.6484910413,134085.3363690647
1981,0.7,1804772.667524259,89764.34378560178
1982,0.35,7131596.847484078,345520.03457170713
1982,0.4,5995205.949522575,289784.81356740685
1982,0.5,4263962.09820722,205380.6400082685
1982,0.6,2992967.3734862576,143795.03803366577
1982,0.7,2010799.3032020081,96324.226865151315
1983,0.35,7897574.35431714,345470.4508477599
1983,0.4,6639343.5333145,289801.3233159826
1983,0.5,4722317.61570501,205454.76294868696
1983,0.6,3314810.051549284,143878.85512328372
1983,0.7,2227083.8156374902,96396.86635970889
1984,0.35,8567941.749494325,336185.3903279365
1984,0.4,7203500.794884797,282059.89375494554
1984,0.5,5124213.656788999,200016.6367252073
1984,0.6,3597239.9965793556,140095.80032773534
1984,0.7,2417001.505365364,93875.15455722804
1985,0.35,9074519.75216635,306241.5482796648
1985,0.4,7630144.893078718,257018.57425204644
1985,0.5,5428494.668562017,182345.80443353744
1985,0.6,3811246.9923543017,127762.58266724818
1985,0.7,2560998.5259328587,85633.36759763432
1986,0.35,9595710.36576424,243783.02997291778
1986,0.4,8069917.005958405,204638.50768042784
1986,0.5,5743016.97459293,145225.8529445614
1986,0.6,4032903.248238583,101775.30940784737
1986,0.7,2710371.7771833334,68226.18986925871
1987,0.35,9436832.763492554,209557.20316357538
1987,0.4,7936822.910229299,175933.78426026192
1987,0.5,5648854.993665656,124882.18432270271
1987,0.6,3967061.699731037,87532.18473492797
1987,0.7,2666266.4133370826,58685.29764186837
1988,0.35,9168865.621146256,180175.56715471164
1988,0.4,7711930.036637323,151275.2064808925
1988,0.5,5489305.701187533,107388.35110127159
1988,0.6,3855274.5078375596,75275.26854026939
1988,0.7,2591267.9886186933,50470.23520738311
1989,0.35,8871839.605643325,148559.3000820121
1989,0.4,7462699.616730762,124730.55206292098
1989,0.5,5312544.922305272,88545.03689022295
1989,0.6,3731456.505206396,62067.02931308997
1989,0.7,2508212.7927842196,41614.55920271848
1990,0.35,8355357.5352435885,134689.66827033812
1990,0.4,7028339.588980964,113092.12205065018
1990,0.5,5003426.382680159,80289.97979228303
1990,0.6,3514383.4612902678,56284.04112651686
1990,0.7,2362324.8401787123,37739.00274387483
1991,0.35,7917590.467498442,116203.64725078401
1991,0.4,6660336.228388617,97577.92570950408
1991,0.5,4741699.9788279785,69283.7499023962
1991,0.6,3330676.3159193527,48572.68947841588
1991,0.7,2238905.0436125253,32570.585614081934
1992,0.35,7390034.111073625,98333.78089052733
1992,0.4,6216787.475223965,82574.76599135937
1992,0.5,4426175.752957059,58633.611958419766
1992,0.6,3109173.017049781,41107.5625268547
1992,0.7,2090074.659997419,27565.52208433528
1993,0.35,6744077.6713494845,88098.14258226156
1993,0.4,5673433.227756515,73976.49820874914
1993,0.5,4039376.199134464,52525.11092607277
1993,0.6,2837492.2132965485,36823.36177897816
1993,0.7,1907456.9935337196,24691.860255129697
1994,0.35,6033117.558756174,75007.31976999898
1994,0.4,5075485.602606492,62972.83097160112
1994,0.5,3613804.6163400426,44700.32450912643
1994,0.6,2538625.3850330557,31331.689764810842
1994,0.7,1706589.5843664946,21006.351047813412
1995,0.35,5400858.443802245,68356.43955286642
1995,0.4,4543591.711011434,57381.99899778305
1995,0.5,3235097.995227746,40724.24902700127
1995,0.6,2272595.7672844296,28540.9454743167
1995,0.7,1527753.5233323737,19133.34290420429
1996,0.35,4794446.152077562,63484.551196424516
1996,0.4,4033388.254311001,53289.1581321411
1996,0.5,2871777.538861027,37816.212028711794
1996,0.6,2017345.2046656844,26501.20323661466
1996,0.7,1356148.519883582,17765.06714820043
1997,0.35,4238455.074682652,57095.30404333376
1997,0.4,3565686.377830153,47915.091860154826
1997,0.5,2538808.387888063,33990.96833306399
1997,0.6,1783461.5068124912,23814.66473462536
1997,0.7,1198930.8916107856,15961.153858189155
