year,Fxx,ABC,discarded
1975,0.35,4540439.03642971,90426.04973490976
1975,0.4,3821514.511586453,75886.509860311
1975,0.5,2723429.9760457585,53844.58779549345
1975,0.6,1914986.482043845,37741.039823552266
1975,0.7,1288874.9807639082,25314.804039526076
1976,0.35,4460980.150873922,92248.43542249716
1976,0.4,3754567.726636075,77413.33573873248
1976,0.5,2675645.805018468,54925.213179915096
1976,0.6,1881349.2891377253,38497.09096725199
1976,0.7,1266216.2352156262,25821.210116359987
1977,0.35,4398278.55462635,93534.23442213863
1977,0.4,3701725.2426548493,78493.87331919464
1977,0.5,2637913.410802628,55693.45973484624
1977,0.6,1854780.095986918,39036.356828922435
1977,0.7,1248314.5960514802,26183.32120035599
1978,0.35,4402012.821927582,94426.09911927351
1978,0.4,3704824.261464415,79244.66667390376
1978,0.5,2640074.80661788,56228.659962586346
1978,0.6,1856275.8622891863,39412.749539176686
1978,0.7,1249308.9385435444,26436.432215284098
1979,0.35,4374293.528304813,107468.14123145919
1979,0.4,3681505.952951048,90140.05627434145
1979,0.5,2623469.175806777,63906.758945550806
1979,0.6,1844605.5973675195,44767.97256383767
1979,0.7,1241457.3141423527,30014.8564105846
1980,0.35,4314013.6464712545,129138.91309357849
1980,0.4,3630675.54188695,108242.9869064679
1980,0.5,2587143.3152226075,76663.02882508555
1980,0.6,1819011.8177290068,53664.4858874882
1980,0.7,1224205.3059115773,35959.31018442041
1981,0.35,4512945.059642667,220984.8787660249
1981,0.4,3797020.0737530403,185121.52102045217
1981,0.5,2704531.4297532625,130998.69342872384
1981,0.6,1900967.5588131382,91641.75134695934
1981,0.7,1279065.0793133548,61377.05244578815
1982,0.35,5189058.971330704,295076.15167880134
1982,0.4,4364480.227944302,247443.6296231507
1982,0.5,3107223.8505897527,175370.80113018342
1982,0.6,2183250.401485587,122819.67796828963
1982,0.7,1468606.1125113047,82328.63259932272
1983,0.35,5977123.657259467,295491.9966972625
1983,0.4,5026919.004134591,247948.4529397105
1983,0.5,3578407.269035526,175895.18292317484
1983,0.6,2514100.116870643,123271.57262616299
1983,0.7,1691043.8334940663,82675.10394412957
1984,0.35,6763547.819937047,266282.8212240761
1984,0.4,5688733.376228912,223529.77944571924
1984,0.5,4049955.1634912384,158669.54904481486
1984,0.6,2845617.874500922,111248.7534045411
1984,0.7,1914143.037185273,74637.09157786497
1985,0.35,7402770.872322758,228984.89819768874
1985,0.4,6227680.801445889,192249.4196385006
1985,0.5,4435041.644781919,136496.80522972418
1985,0.6,3116900.9431737065,95718.52797198592
1985,0.7,2096990.4538952415,64225.98567175749
1986,0.35,7662871.937034342,199342.9441524031
1986,0.4,6447499.465483726,167377.19882490457
1986,0.5,4592661.626364477,118852.7789909246
1986,0.6,3228222.417261239,83353.30997963894
1986,0.7,2172167.3743749415,55932.999924205316
1987,0.35,7941784.570259395,150971.19070225974
1987,0.4,6683629.098523616,126755.41429151333
1987,0.5,4762419.827541783,90000.38255481861
1987,0.6,3348341.758696683,63114.89634343013
1987,0.7,2253401.4207334905,42350.34249465975
1988,0.35,7671582.93403293,137851.21977260942
1988,0.4,6456492.776397853,115767.16467599492
1988,0.5,4600849.786705705,82227.58542336432
1988,0.6,3234885.3015720635,57678.923182250626
1988,0.7,2177117.7874622876,38710.458931162524
1989,0.35,7322560.873138503,122326.5843055623
1989,0.4,6163037.694552226,102746.75008318998
1989,0.5,4392041.137442407,72997.77756172478
1989,0.6,3088225.626224687,51214.0158983152
1989,0.7,2078493.6005327897,34376.46573420093
1990,0.35,6967186.77542318,106488.61985476037
1990,0.4,5864234.747331532,89453.30716983209
1990,0.5,4179420.295438877,63563.45006508372
1990,0.6,2938885.2662242977,44600.25285446127
1990,0.7,1978065.263616119,29939.789154580118
1991,0.35,6527108.575910945,97475.62290646372
1991,0.4,5493945.934326781,81887.20017434617
1991,0.5,3915647.498298301,58192.55503210963
1991,0.6,2753472.081121067,40834.434416496115
1991,0.7,1853304.152820414,27413.24304252259
1992,0.35,6089309.235346018,82845.84846576428
1992,0.4,5125683.908532621,69597.2377956264
1992,0.5,3653435.7390024215,49459.04676978772
1992,0.6,2569215.998007261,34706.18615616033
1992,0.7,1729352.4632816967,23299.280725235436
