year,index,Fmort,biom,expl_biom,expl_abd,spawn_biom
1975,0,0.036230292101728914,62.49300695674118,42.87710933672312,5.117068266731499,30.337293028215168
1976,1,0.036453477935887366,62.763869369926084,42.09164595313956,5.0567068813870275,29.798705958438855
1977,2,0.021202672369149193,63.45272992477338,41.887506134843456,5.069414388653748,29.478760357331918
1978,3,0.02995051191444898,63.83714665358042,41.84511678028853,5.103697490452607,29.607361654007807
1979,4,0.04528225937533551,100.01285387959132,42.13826708336179,5.315002539926549,31.059262959680616
1980,5,0.03255980343710412,102.95118075744186,43.240378115726344,5.6299131766493025,31.015374917669796
1981,6,0.023811323043154305,105.35383625676624,46.50647235529602,6.314929313725297,33.564562513621595
1982,7,0.025356494642372746,106.9726572180263,51.46566841216448,7.190735713527966,38.41285897845362
1983,8,0.03381008290945007,107.3661809528399,57.14701534916622,8.05450117278492,43.23524514904972
1984,9,0.029109815715486886,106.85531933248944,63.014672130211075,8.817194629247853,47.648378752814594
1985,10,0.04424744652065351,104.90084625081766,67.28621025518655,9.23310889593279,50.11090064152441
1986,11,0.0607245114481346,100.96713226878033,68.8618732790807,9.235085744195992,50.50734110748477
1987,12,0.055543231095450084,96.14088652378082,70.0806683557762,9.20437139325969,49.132375469267735
1988,13,0.06154723819361806,90.76256693522753,68.25549306751937,8.770654529326634,47.24352865845906
1989,14,0.05695090983032962,85.19789894824696,65.8140813985386,8.290401197239214,44.81957135593884
1990,15,0.052253089847970675,79.96203418936732,63.14079160346159,7.810933159367606,42.43076308396199
1991,16,0.06611873911466008,74.5933525838775,59.333222638071106,7.213825011459572,40.00028775147685
1992,17,0.07664460376991436,68.96841646872979,55.20210626383963,6.622524928210319,37.061253914499595
1993,18,0.11412420693768946,62.351715253839146,49.78277972424189,5.910990025703748,33.73760036169271
1994,19,0.10554968538525894,55.99434375655798,44.295571838502966,5.215907082383402,29.830256831832845
1995,20,0.10986404350214136,50.7584060941842,41.219882366684175,4.939691218425459,26.5675118823689
1996,21,0.12635021274818797,46.04178487548393,36.26737728655618,4.344983253449411,23.542650985365597
1997,22,0.144459522651383,42.260240636003246,31.584352155024238,3.8073643670463606,20.655846379114323
1998,23,0.16180520758184166,40.19397811186613,27.45649397735662,3.3625165633019787,18.034240235193558
1999,24,0.11905906897989221,39.021838847588484,24.77324373956267,3.114484159565513,15.882474544341791
2000,25,0.1294323696922327,38.45246419428319,23.129918938367968,3.016689248863388,14.805660200883537
2001,26,0.09739436182472953,37.926979956444946,22.53162154196787,3.0486992725296114,14.13386935746534
2002,27,0.09126329653634932,37.26044605048784,22.638937060556874,3.1488204819392256,14.102818999930685
2003,28,0.09044685120869536,35.96285864777245,22.870646711889634,3.2296102941396296,14.253738206339044
2004,29,0.09866421519226554,34.48404458509171,22.854495396974528,3.2369593232954417,14.346606094323928
2005,30,0.09188877878696732,33.190605873868485,22.605343913471184,3.1818084542927862,14.208196787124615
2006,31,0.0914729830950393,31.57832058388859,22.144607789165,3.0836161305651197,13.915491014668723
2007,32,0.07139712606577112,30.067117045937273,21.696282120876894,2.9846729813628334,13.503626144969992
2008,33,0.07397338116442612,28.736594571059456,21.152124598506227,2.873211196531889,13.174001645715359
2009,34,0.05631169575879372,28.844757906385013,20.647720347692463,2.771122919225704,12.801895609002102
2010,35,0.05511143596695741,28.4497991927056,20.174271411797413,2.6825497644861325,12.512615049490199
2011,36,0.04739302364174544,27.51494804540507,19.855195432713465,2.6312384711585204,12.24398046989388
2012,37,0.05466491618382364,26.56453365325657,19.55695616763611,2.587580698408724,12.09763618494364
2013,38,0.054886469087136285,25.705137602154306,19.178315359764905,2.526152065396995,11.885040859905194
2014,39,0.045954088594626685,25.645950654553197,18.81147789795202,2.460645681282404,11.684181608469922
2015,40,0.04706975825867758,27.684363333150774,18.425906310305383,2.3983260894437692,11.576164045319512
2016,41,0.04036635465845596,29.507967986910487,17.629592625741473,2.2588385335055197,11.450396813472262
2017,42,0.04311144460399519,32.88305617035896,17.832114177873382,2.3300892515793974,11.623173104000053
2018,43,0.04985879166473182,44.07255150357306,18.445913492490646,2.4907301439749747,12.364112963354522
2019,44,0.04977280698486189,47.97001517372039,19.615493008920623,2.7536645022680037,13.115568282228692
2020,45,0.05475235554620699,52.385990791411054,22.148518517387874,3.2834828231083897,14.760259350699982
2021,46,0.04639476676351316,56.712143549241695,25.770657260656492,3.9367974958178293,17.05873252289703
2022,47,0.043708113859502136,58.601875553763755,29.39176310983785,4.494181792232994,19.5546040809843
2023,NA,NA,60.417546356435615,33.108235776440395,5.014095859027911,22.168513556612687
