year,Fxx,ABC,discarded
1975,0.35,4084371.135621429,67836.19161909877
1975,0.4,3435445.708261049,56916.3277486136
1975,0.5,2445447.5216973764,40363.105431529504
1975,0.6,1717761.3302884926,28275.51956362343
1975,0.7,1155093.4752338282,18955.390704181318
1976,0.35,4002451.2740227142,68677.66814571657
1976,0.4,3366502.3441279787,57620.539932650674
1976,0.5,2396330.0585915586,40860.57691961545
1976,0.6,1683238.4951487444,28623.031202843387
1976,0.7,1131868.0382861951,19187.8513504049
1977,0.35,3932104.9378028796,69569.16361093227
1977,0.4,3307290.426478599,58367.93990616637
1977,0.5,2354136.1833221805,41389.97471469782
1977,0.6,1653577.2024167909,28993.56573488749
1977,0.7,1111910.76734253,19436.083401211927
1978,0.35,3920991.475903104,70689.14861748455
1978,0.4,3297908.983026957,59307.91436385647
1978,0.5,2347422.1492298055,42056.86526782052
1978,0.6,1648842.7095408111,29460.888606962984
1978,0.7,1108717.670066682,19749.442828123632
1979,0.35,3885335.075383084,79175.60529918464
1979,0.4,3267908.8578636306,66400.74578971435
1979,0.5,2326057.5668428154,47057.64614472023
1979,0.6,1633830.524512353,32949.335204922885
1979,0.7,1098620.2407500406,22080.487320097152
1980,0.35,3818682.6276598712,93153.4122742339
1980,0.4,3211776.302745051,78081.44481600501
1980,0.5,2286026.3892701007,55291.25012234087
1980,0.6,1605673.646658201,38691.99007672011
1980,0.7,1079667.0839719449,25917.34506834849
1981,0.35,3930175.567067816,151355.8408461008
1981,0.4,3304936.8362746993,126798.40744948569
1981,0.5,2351682.2904436486,89715.57452723218
1981,0.6,1651459.4090687449,62744.30411979831
1981,0.7,1110284.7431519027,42009.26413097237
1982,0.35,4359429.764895128,200383.21887556155
1982,0.4,3665052.9700598563,168004.43015893953
1982,0.5,2607019.4839776126,119012.23575673222
1982,0.6,1830306.2296466823,83305.01446274784
1982,0.7,1230286.4150439624,55811.93762813713
1983,0.35,4876397.746796275,203392.78405597762
