year,total_pounds
1985,2963805.05
1986,3864609
1987,3861546
1988,4196586.11
1989,3767530.2600000002
1990,3281385.67
1991,3955187.07
1992,4267767.55
1993,5795975.29
1994,4713560.24
1995,4543261.8100000005
1996,4676019.25
1997,4752283.49
1998,4689704.6
1999,3043270.49
2e3,3081795.9
2001,2142617.48
2002,2009377.28
2003,2003081.29
2004,2230387.48
2005,2027189.28
2006,2031224.44
2007,1501477.85
2008,1513040.11
2009,1069216.5
2010,1054275.35
2011,882778.9
2012,969775.35
2013,972740.77
2014,773532.74
2015,781700.23
2016,646327.74
2017,714399.89
2018,855598.34
