year,fsh_cpue,var,se,upper,lower,CPUE,cpue
1980,0.719098534,0.162,0.04005279699678663,0.7992041279935733,0.6389929400064267,Nominal,0.719
1981,0.979633273,0.3,0.04005279699678663,1.0597388669935732,0.8995276790064268,Nominal,0.98
1982,1.240168011,0.481,0.04005279699678663,1.3202736049935733,1.1600624170064266,Nominal,1.24
1983,1.521355737,0.725,0.04005279699678663,1.6014613309935732,1.4412501430064266,Nominal,1.521
1984,1.304248047,0.533,0.04005279699678663,1.3843536409935733,1.2241424530064267,Nominal,1.304
1985,1.879533855,1.106,0.04005279699678663,1.9596394489935733,1.7994282610064267,Nominal,1.88
1986,1.580537188,0.782,0.04005279699678663,1.6606427819935734,1.5004315940064268,Nominal,1.581
1987,1.704393996,0.909,0.04005279699678663,1.7844995899935734,1.6242884020064268,Nominal,1.704
1988,1.579488313,0.781,0.04005279699678663,1.6595939069935732,1.4993827190064266,Nominal,1.579
1989,1.155881048,0.418,0.04005279699678663,1.2359866419935732,1.0757754540064266,Nominal,1.156
1990,1.401829404,0.615,0.04005279699678663,1.4819349979935732,1.3217238100064266,Nominal,1.402
1991,1.267161542,0.503,0.04005279699678663,1.3472671359935733,1.1870559480064267,Nominal,1.267
1992,1.468442433,0.675,0.04005279699678663,1.5485480269935734,1.3883368390064268,Nominal,1.468
1993,1.587301587,0.789,0.04005279699678663,1.6674071809935733,1.5071959930064267,Nominal,1.587
1994,0.992725,0.309,0.04005279699678663,1.0728305939935732,0.9126194060064268,Nominal,0.993
1995,0.838343,0.22,0.04005279699678663,0.9184485939935731,0.7582374060064268,Nominal,0.838
1996,0.730465,0.167,0.04005279699678663,0.8105705939935732,0.6503594060064268,Nominal,0.73
1997,0.6709218642367155,0.093,0.013849801513624482,0.6986214672639645,0.6432222612094666,Nominal,0.671
1998,0.49269621087534116,0.052,0.009393775217785798,0.5114837613109128,0.47390866043976954,Nominal,0.493
1999,0.46991388665927575,0.048,0.010746731429478127,0.491407349518232,0.4484204238003195,Nominal,0.47
2000,0.49891338865507556,0.128,0.01736785841345917,0.5336491054819938,0.4641776718281572,Nominal,0.499
2001,0.5507010317974689,0.116,0.01951465764019636,0.5897303470778616,0.5116717165170761,Nominal,0.551
2002,0.677280099289285,0.134,0.02423879794022432,0.7257576951697337,0.6288025034088364,Nominal,0.677
2003,0.7936451256060527,0.287,0.03814864000786033,0.8699424056217734,0.717347845590332,Nominal,0.794
2004,0.7120286186586076,0.091,0.022276653062318953,0.7565819247832455,0.6674753125339696,Nominal,0.712
2005,0.7092669814656627,0.142,0.028176594414453176,0.7656201702945691,0.6529137926367563,Nominal,0.709
2006,0.7285031830235058,0.13,0.02470703918030175,0.7779172613841093,0.6790891046629023,Nominal,0.729
2007,0.8259735695631195,0.23,0.03685199438153229,0.8996775583261841,0.7522695808000549,Nominal,0.826
2008,0.9687878326052334,0.258,0.041321721056000085,1.0514312747172336,0.8861443904932332,Nominal,0.969
2009,0.8399517786267204,0.157,0.03458577926561831,0.909123337157957,0.7707802200954839,Nominal,0.84
2010,0.8614355521582947,0.188,0.03959646402160769,0.9406284802015101,0.7822426241150793,Nominal,0.861
2011,0.9232534364768029,0.229,0.04758596310572984,1.0184253626882627,0.8280815102653433,Nominal,0.923
2012,0.9547235071888613,0.154,0.03848564141499536,1.031694790018852,0.8777522243588707,Nominal,0.955
2013,0.8495016414520816,0.186,0.0431823246218636,0.9358662906958088,0.7631369922083544,Nominal,0.85
2014,0.8578175878761614,0.147,0.040182640193885386,0.9381828682639322,0.7774523074883906,Nominal,0.858
2015,0.7310404388614558,0.119,0.03297974747578131,0.7969999338130184,0.6650809439098931,Nominal,0.731
2016,0.8947174718755914,0.199,0.04988074141865443,0.9944789547129003,0.7949559890382825,Nominal,0.895
2017,0.835846449989729,0.282,0.05387278873600651,0.943592027461742,0.728100872517716,Nominal,0.836
2018,0.8780393172400456,0.184,0.04349753781536554,0.9650343928707766,0.7910442416093145,Nominal,0.878
2019,0.9781025180084608,1.123,0.11848320717415918,1.2150689323567792,0.7411361036601425,Nominal,0.978
2020,0.8992957672500583,0.301,0.059202037995529984,1.0176998432411184,0.7808916912589984,Nominal,0.899
2021,0.9782488190069569,0.812,0.09448482249911376,1.1672184640051844,0.7892791740087294,Nominal,0.978
2022,0.9976733202776553,0.238,0.05875876192090654,1.1151908441194684,0.8801557964358422,Nominal,0.998
