Likelihood component,Likelihood,Percent of data likelihood
Catch,17.65370691011526,0.9738725290691215
Fishery CPUE,179.47472201739996,9.900781876859744
Survey CPUE,119.31629298663259,6.582122417783218
Mark-recapture abundance,97.60290456982852,5.384296227521906
Fishery ages,223.47668950010757,12.328164838103318
Survey ages,272.71911091388665,15.044639158419956
Fishery lengths,363.1713510194495,20.03446663658538
Survey lengths,539.3180370218824,29.75165631565736
Data likelihood,1812.7328149393024,100
Fishing mortality penalty,1.365178594558401,0.0753105247120554
Recruitment likelihood,-10.427152637544836,-0.57521729355873
SPR penalty,1.3866695599588098e-29,7.649608086370086e-31
Sum of catchability priors,0.07817849500712318,0.0043127423061374275
Total likelihood,1803.7490193913231,99.50440597345947
