Parameter,Estimate,se
log_fsh_slx_pars,2.3899512551019284,0.04347336367901613
log_fsh_slx_pars.1,3.377505176323345,0.0882284188715535
log_fsh_slx_pars.2,2.865260543585649,5.67455146694906
log_fsh_slx_pars.3,-2.675659136099097,0.13889431455515674
log_fsh_slx_pars.4,2.033920549628931,0.06960411214202158
log_fsh_slx_pars.5,0.7883334014712648,0.0599594120915812
log_fsh_slx_pars.6,0.7417182068228397,0.4373524264455319
log_fsh_slx_pars.7,1.251137157514294,0.6429691776513682
log_srv_slx_pars,1.5454704741411294,0.5301684373316865
log_srv_slx_pars.1,0.5516719256259616,0.12163511439171383
log_srv_slx_pars.2,-0.7851019187286042,0.6219186472617676
log_srv_slx_pars.3,0.48961173979466166,0.26706236858722815
log_srv_slx_pars.4,0.8522319119849389,0.19302819149253236
log_srv_slx_pars.5,0.6089047569479171,0.07491966320955697
log_srv_slx_pars.6,0.20143831222928357,0.318555636670375
log_srv_slx_pars.7,0.6419222351100894,0.17322233783240973
fsh_logq,-17.518418552344414,0.05998361636706788
fsh_logq.1,-17.1438311005555,0.027537037980034373
srv_logq,-17.10034466152234,0.09272732816976391
srv_logq.1,-17.176929517447157,0.03421184963448136
mr_logq,-0.01988777579598216,0.009882064339882366
log_rbar,13.782195983340715,0.1025940704915735
log_rec_devs,0.31172261533126244,0.5990800454399303
log_rec_devs.1,0.3563181468211916,0.6062386074323044
log_rec_devs.2,0.3691621025766115,0.6089075903390919
log_rec_devs.3,0.3952354837565887,0.6163659835601869
log_rec_devs.4,0.6900614158872016,0.7990461029791834
log_rec_devs.5,0.6278067938593026,0.7926767159249921
log_rec_devs.6,1.9612302927132361,0.5133941837876521
log_rec_devs.7,0.49325155549639693,0.7050450232031723
log_rec_devs.8,0.21206221562677377,0.5536970399863453
log_rec_devs.9,0.11000125521659224,0.5018135288599076
log_rec_devs.10,-0.1284071120109028,0.4571967197945967
log_rec_devs.11,-0.2959969906717832,0.42992457895845965
log_rec_devs.12,-0.35870338453415845,0.41652726822098024
log_rec_devs.13,-0.3943409864469973,0.4069907311959893
log_rec_devs.14,-0.43422718625303175,0.4004110619950045
log_rec_devs.15,-0.4192509932197191,0.39796870276172913
log_rec_devs.16,-0.3236491714204019,0.39544151305542946
log_rec_devs.17,-0.2317662280578109,0.3902455900610343
log_rec_devs.18,-0.2744527720830833,0.3834367999334455
log_rec_devs.19,-0.3268879866493344,0.3840506401157963
log_rec_devs.20,-0.06298551606742255,0.37898194730081997
log_rec_devs.21,0.19381412998448969,0.3696031085003553
log_rec_devs.22,0.32933673992030843,0.38449941750137673
log_rec_devs.23,0.6868257030185135,0.3103878217833961
log_rec_devs.24,0.8067890619735774,0.2825938432529633
