Likelihood component,Likelihood,Percent of data likelihood
Catch,6.538856868201254,0.32328397290461985
Fishery CPUE,275.59623553039347,13.625599663008368
Survey CPUE,263.2505928343418,13.015225632916103
Mark-recapture abundance,208.74532484639627,10.320461099215395
Fishery ages,367.7345197158229,18.180957146506007
Survey ages,709.2415345290356,35.06521486141494
Fishery lengths,78.46565400996178,3.8793766060638326
Survey lengths,113.0629259421089,5.589881017970738
Data likelihood,2022.635644276262,100
Fishing mortality penalty,1.454899254441389,0.07193086201949042
Recruitment likelihood,25.065298653166643,1.2392394410776584
SPR penalty,4.125187866481908e-26,2.039511109257634e-27
Sum of catchability priors,46.81898598058569,2.3147513549005225
Total likelihood,2095.974828164456,103.6259216579977
