Parameter,Estimate,se
log_srv_slx_pars,1.2821056138925249,0.27846955306089877
log_srv_slx_pars.1,0.8608248055474846,0.08837376967557813
log_srv_slx_pars.2,-0.546939487862861,0.3567732005544768
log_srv_slx_pars.3,0.18764918195838326,0.1501802302639042
log_srv_slx_pars.4,0.6357617388641911,0.1606231476163085
log_srv_slx_pars.5,0.5641362858821813,0.06371075913159106
log_srv_slx_pars.6,0.36128263650207276,0.2856196526329473
log_srv_slx_pars.7,0.7429919077986447,0.14555336840115116
fsh_logq,-17.679957834048793,0.03611201077848063
fsh_logq.1,-17.349995335754556,0.026358037349307892
fsh_logq.2,-17.013741182469108,0.03981783054824537
srv_logq,-16.98268384385257,0.06183403917539127
srv_logq.1,-16.75843413464933,0.030506917654044837
mr_logq,-0.03701646084305262,0.009783533332925497
log_rbar,13.615363387283345,0.09663273164485348
log_rec_devs,0.4542921663788275,0.6605171543990879
log_rec_devs.1,0.4686827666434029,0.6677467947515663
log_rec_devs.2,0.46730924568005594,0.672611614354962
log_rec_devs.3,0.38818396098136176,0.6428162160678905
log_rec_devs.4,3.2225629045759923,0.16672217932962669
log_rec_devs.5,0.2792608604026983,0.5998963484563081
log_rec_devs.6,0.2751678927906012,0.5896931728931969
log_rec_devs.7,0.32307471485822176,0.5887378146555999
log_rec_devs.8,0.35749906031764733,0.5782293163850742
log_rec_devs.9,0.3593691121657973,0.5612687828937579
log_rec_devs.10,0.2688388309810147,0.5335541575826257
log_rec_devs.11,0.1144816450645991,0.4984859991422296
log_rec_devs.12,-0.03798665137278187,0.4666257186096465
log_rec_devs.13,-0.20097437762759102,0.4395711479951395
log_rec_devs.14,-0.3464096173197997,0.4205160483515018
log_rec_devs.15,-0.3992232726832067,0.40959130109009645
log_rec_devs.16,-0.3354375576621636,0.40066739421688136
log_rec_devs.17,-0.2528016301895798,0.389100513780803
log_rec_devs.18,-0.3142142101302602,0.3845030005877865
log_rec_devs.19,-0.35612298445826474,0.3825356516771816
log_rec_devs.20,-0.11923406902986546,0.3640711034117847
log_rec_devs.21,0.032514499468283546,0.3776365556977488
log_rec_devs.22,0.34003684796328437,0.351757454603111
