Parameter,Estimate,se
log_srv_slx_pars,0.9231157006543574,0.07771855007560241
log_srv_slx_pars.1,0.08039585466762894,0.12440981142036717
log_srv_slx_pars.2,0.5913865521291416,0.058103181888478433
log_srv_slx_pars.3,0.6611392523554314,0.12550681365312324
fsh_logq,-17.677556039096448,0.03568748950115983
fsh_logq.1,-17.3467091363807,0.026331886660906034
fsh_logq.2,-17.045313843109412,0.03937150592848692
srv_logq,-16.799901885772076,0.02856376209660577
mr_logq,-0.040725216341774916,0.009759300529767501
log_rbar,13.61688826547368,0.09785653049120374
log_rinit,13.728331749277887,0.14613066189554064
log_sigma_r,-0.5615807440476015,0.08799326175279658
log_Fbar,-2.87904109140105,0.32357908276585945
log_spr_Fxx,-2.245842121264218,0.26010690328123
log_spr_Fxx.1,-2.426117200890993,0.25082736008892903
log_spr_Fxx.2,-2.776781288772966,0.2483382264760617
log_spr_Fxx.3,-3.1376569480613274,0.2655470958180026
log_spr_Fxx.4,-3.5403705732184854,0.30990940776304604
pred_rec,1309822.306034022,893638.0116212877
pred_rec.1,1329315.8427284388,917949.3233347241
pred_rec.2,1327107.589167177,924117.4123609007
pred_rec.3,1220212.6802766162,809567.529408674
pred_rec.4,20456241.190187633,2196297.9256213633
pred_rec.5,1086420.7759214735,668477.1520215417
pred_rec.6,1079076.0596140712,649670.8183730631
pred_rec.7,1129221.87229241,674004.9719637913
pred_rec.8,1164191.404243547,675509.3268448311
pred_rec.9,1161263.8464674712,646760.3929968178
pred_rec.10,1056273.005449809,555626.6928324729
pred_rec.11,903188.5519589145,443294.14610813523
pred_rec.12,773848.559639248,355414.1335247561
pred_rec.13,655618.204345556,283818.1958358665
pred_rec.14,564761.0903303341,234022.84790267303
pred_rec.15,533100.8612143596,214625.65855210854
pred_rec.16,565880.5037201848,220825.24336836173
pred_rec.17,609150.1241457248,227127.43790908478
pred_rec.18,553748.8629192293,202964.68693980968
pred_rec.19,504246.77860924334,183759.13342540577
pred_rec.20,615481.8591651804,209921.33333248404
pred_rec.21,771443.2001018955,274267.8458927732
pred_rec.22,1236797.3602953674,387153.42480959266
pred_rec.23,1730988.9424787518,494888.5320254235
pred_rec.24,1541693.5598386799,514396.2384557729
pred_rec.25,1431891.471890303,458568.41306517035
pred_rec.26,1106717.7310002425,382752.9422543266
pred_rec.27,848673.1032662633,286947.92733371427
pred_rec.28,575193.7403807852,204690.8308851937
pred_rec.29,594281.5385793544,196696.36305786629
pred_rec.30,682358.1195613876,196204.07910877644
pred_rec.31,500520.31086773396,159445.254319376
pred_rec.32,405244.81507551903,130713.60971756154
pred_rec.33,427416.9793687649,145585.07002680853
pred_rec.34,987954.8579138306,202079.82509867838
pred_rec.35,618071.412159045,169535.36632904896
pred_rec.36,302852.4755651659,99878.43790262505
pred_rec.37,322964.62830302893,96097.55622849654
pred_rec.38,380272.7584290908,116389.15493069358
pred_rec.39,675011.1467286715,190930.06450508494
pred_rec.40,1491951.5866200316,305917.1774123393
pred_rec.41,1308555.5641293582,400879.77260491165
pred_rec.42,1789501.7256474502,567423.796021883
pred_rec.43,5092952.628233019,867426.0742087762
pred_rec.44,2093926.905942862,1020750.9521679906
pred_rec.45,1895784.032109301,1091514.8324598018
pred_rec.46,2240244.0269059516,1332977.570937726
pred_rec.47,1186837.6983158467,717084.1945685335
