Parameter,Estimate,se
fsh_logq,-17.945395409197737,0.029181391590302787
fsh_logq.1,-17.475816153888946,0.023014228004733645
srv_logq,-16.987179782572014,0.016967189541424645
mr_logq,-0.08919310086511648,0.009584623247524626
log_rbar,13.024380119885398,0.11907172195042226
log_rec_devs,0.8630037693799929,0.7713620424683026
log_rec_devs.1,0.9793018764681157,0.8473985043056025
log_rec_devs.2,2.7820914559330094,0.6490507517033538
log_rec_devs.3,1.0749531274635986,0.907791341587006
log_rec_devs.4,1.0180132069199117,0.8515049229282518
log_rec_devs.5,3.6071501389876994,0.24320751123911463
log_rec_devs.6,0.8092932480524089,0.7451537769963777
log_rec_devs.7,0.7688615243629987,0.7174187752521938
log_rec_devs.8,0.7563400623067327,0.6871771870759343
log_rec_devs.9,0.7931555879475818,0.6655750511197991
log_rec_devs.10,0.8340318435658339,0.6501393666199886
log_rec_devs.11,0.8357685783313074,0.6302186676245671
log_rec_devs.12,0.7497624150729204,0.5871267199379705
log_rec_devs.13,0.47641509385529635,0.5426712239160036
log_rec_devs.14,0.19094698347321815,0.5091545547621145
log_rec_devs.15,0.09168739007430073,0.49017453359679325
log_rec_devs.16,0.23544872039190667,0.4743556041121782
log_rec_devs.17,0.4317200400773312,0.4366954960175254
log_rec_devs.18,0.30141150745719925,0.4348877368890668
log_rec_devs.19,0.11518649637011101,0.43698180716074503
log_rec_devs.20,0.28140066812083253,0.4166960701034623
log_rec_devs.21,0.8376904086536313,0.3157025047485609
log_rec_devs.22,0.6492494213342641,0.40291151035021083
log_rec_devs.23,1.564145954503224,0.22589908031513053
log_rec_devs.24,1.0009632394325358,0.35339274787294417
log_rec_devs.25,1.1441974364673988,0.30283814892351496
log_rec_devs.26,0.9139259304380526,0.3322939702947717
log_rec_devs.27,0.4770903090809364,0.40497545400575224
log_rec_devs.28,0.3818053452491787,0.38056153908433477
log_rec_devs.29,0.3564112409413549,0.3690575441668769
log_rec_devs.30,0.47538208577479846,0.32249526831772085
log_rec_devs.31,0.3230696330033076,0.34764764394588227
log_rec_devs.32,0.18802890210326015,0.35670670813216254
log_rec_devs.33,0.007817247794532911,0.41055818675110445
log_rec_devs.34,1.123346205857598,0.20219436780828082
log_rec_devs.35,0.42932659889130326,0.2832272575977445
log_rec_devs.36,-0.5415398629007836,0.41487065808076873
log_rec_devs.37,-0.11250530462233518,0.33823852631451984
log_rec_devs.38,0.2197010930567639,0.3210985426541441
log_rec_devs.39,0.5383980340338034,0.31739197469542335
log_rec_devs.40,1.6005460754066063,0.19268097191122316
log_rec_devs.41,0.8306917263168924,0.3643759985639564
log_rec_devs.42,0.6357685258568503,0.48807963351847433
log_rec_devs.43,0.6404747462927795,0.6134777023683086
log_rinit,13.468131699731533,0.17675768512575096
log_rinit_devs,0.976338425644406,0.814494867299097
log_rinit_devs.1,1.0012355453635073,0.8078458906843465
log_rinit_devs.2,0.9047235448981327,0.767675890253121
log_rinit_devs.3,0.9728131145914017,0.7987117556311147
log_rinit_devs.4,0.9982837443425969,0.811777596588433
log_rinit_devs.5,0.9852006241587377,0.8051029053282298
log_rinit_devs.6,0.94211899508741,0.7857084971154917
log_rinit_devs.7,0.8124777119222961,0.7376099462336209
log_rinit_devs.8,0.7368766389882414,0.7122272448651344
log_rinit_devs.9,0.6943975198773771,0.6987231767587607
log_rinit_devs.10,0.6608904392411014,0.6883914899710862
log_rinit_devs.11,0.6435948459092206,0.6830983113381989
log_rinit_devs.12,0.6306151381205926,0.6791399390278524
log_rinit_devs.13,0.6161700841726786,0.6748045685669418
log_rinit_devs.14,0.6140078683053942,0.6740322892384067
log_rinit_devs.15,0.6135559038881891,0.673766563679554
log_rinit_devs.16,0.6135042130350339,0.6736328803103762
log_rinit_devs.17,0.6120453408240816,0.673103822962003
log_rinit_devs.18,0.6159591297825943,0.674148182637395
log_rinit_devs.19,0.6202085361514029,0.6753132406057997
log_rinit_devs.20,0.6252044673078241,0.6767223525438657
log_rinit_devs.21,0.6301897519187377,0.678152757857204
log_rinit_devs.22,0.63539496166596,0.6796728697377746
log_rinit_devs.23,0.6411497817153918,0.6813836252589878
log_rinit_devs.24,0.648087768821731,0.6834854053466023
log_rinit_devs.25,0.6544604410389109,0.6854417558357131
log_rinit_devs.26,0.6603104839864681,0.6872598563334893
log_rinit_devs.27,0.6656778649319817,0.6889468895452661
log_Fbar,-3.0790188597792136,0.33772947152580796
