Parameter,Estimate,se
fsh_logq,-17.94686553186254,0.02929062794491708
fsh_logq.1,-17.535647640196615,0.025315668379237707
srv_logq,-17.000055054436963,0.018821639175120954
mr_logq,-0.07540942657941814,0.009673275654083368
log_rbar,12.937038843130098,0.12743040895908
log_rec_devs,0.8102056168860473,0.7307294617539923
log_rec_devs.1,0.8471525544019207,0.7448146905097307
log_rec_devs.2,0.87845616858034,0.7621652692211712
log_rec_devs.3,0.8480465113852752,0.7559041034453012
log_rec_devs.4,3.9703429721936483,0.18852959449462992
log_rec_devs.5,0.9311584312809703,0.7930170199547492
log_rec_devs.6,1.0113955069531173,0.8142259147789137
log_rec_devs.7,1.1623677754102493,0.85223016940549
log_rec_devs.8,1.2379338349540951,0.8394557316084015
log_rec_devs.9,1.1707997283097415,0.8008567059053937
log_rec_devs.10,1.0057960253214429,0.7270444315445668
log_rec_devs.11,0.8622771600187918,0.6581596840930576
log_rec_devs.12,0.7364116499600071,0.6008768781354231
log_rec_devs.13,0.5173518559236396,0.5530700497525861
log_rec_devs.14,0.26195152818042045,0.5210421715089117
log_rec_devs.15,0.17734386716371597,0.5027508999043424
log_rec_devs.16,0.32609578402921446,0.48827261727436994
log_rec_devs.17,0.5286910656020786,0.4496347392660713
log_rec_devs.18,0.39499326465061013,0.44834134168572987
log_rec_devs.19,0.2069143187240932,0.44999167303156107
log_rec_devs.20,0.37519286604448293,0.42879064038118353
log_rec_devs.21,0.9474963530823624,0.3220795373286156
log_rec_devs.22,0.7216508935897192,0.41779506666894806
log_rec_devs.23,1.6684776050181702,0.23194116515712593
log_rec_devs.24,1.0716428691376234,0.36565105936124276
log_rec_devs.25,1.2375421598115905,0.3082258526202108
log_rec_devs.26,0.9782190910124537,0.3409052454635312
log_rec_devs.27,0.5158512832453245,0.4180401403969337
log_rec_devs.28,0.4305575872910963,0.3891582847904068
log_rec_devs.29,0.4145511435086238,0.37691304872865855
log_rec_devs.30,0.5478186297239587,0.3302129764916075
log_rec_devs.31,0.404553411096109,0.36087780115470086
log_rec_devs.32,0.34249820816890875,0.3580447336913864
log_rec_devs.33,0.07511606224483622,0.44181159841028833
log_rec_devs.34,1.4567948413903622,0.20298107942629642
log_rec_devs.35,0.7569261046611312,0.2889343275108066
log_rec_devs.36,-0.5491393505456443,0.43816428794218354
log_rec_devs.37,-0.5738542520214808,0.4350367503990626
log_rec_devs.38,-0.25437503308043496,0.4930572259809841
log_rec_devs.39,0.34681735112432727,0.601035660682855
log_rinit,13.496679927234702,0.16605880673352683
log_rinit_devs,0.9792709223830657,0.7585503342267602
log_rinit_devs.1,1.047392726513079,0.7993562470865624
log_rinit_devs.2,0.9429768130462705,0.7795100460664267
log_rinit_devs.3,1.000456523761347,0.8110947629592489
log_rinit_devs.4,1.0053914741966135,0.8147876353633093
log_rinit_devs.5,0.9776740696103939,0.8002860101963744
log_rinit_devs.6,0.9283059635397457,0.7782266510608309
log_rinit_devs.7,0.8026432445392672,0.7328399466895856
log_rinit_devs.8,0.7291780559940659,0.7087009865674875
log_rinit_devs.9,0.6871239950128232,0.6956183114560183
log_rinit_devs.10,0.6542605962200003,0.6856786872286678
log_rinit_devs.11,0.6376429886375505,0.6807288405938365
log_rinit_devs.12,0.6250500938659743,0.6769849784872806
log_rinit_devs.13,0.6108473381387067,0.6727989412093182
log_rinit_devs.14,0.6089010854176462,0.672154302513326
log_rinit_devs.15,0.6088498878045985,0.6720570152461832
log_rinit_devs.16,0.6090934766381644,0.6720488721105806
log_rinit_devs.17,0.6080210444821835,0.6716632867507905
log_rinit_devs.18,0.6121914382929106,0.6728102310990757
log_rinit_devs.19,0.6167004601416939,0.67407468136283
log_rinit_devs.20,0.622030426706172,0.6756016129999436
log_rinit_devs.21,0.6273509898056255,0.6771477580454563
log_rinit_devs.22,0.6328268229421298,0.678761978435373
log_rinit_devs.23,0.6388207247377096,0.6805566283982534
log_rinit_devs.24,0.6459488056404642,0.6827271695328375
log_rinit_devs.25,0.6524985972705291,0.6847472073503678
log_rinit_devs.26,0.6585134437758111,0.6866242814744966
log_rinit_devs.27,0.6640336159284654,0.6883658505203207
log_Fbar,-3.054380189911031,0.35419427468764103
log_F_devs,-0.6772643659031031,0.3656637788241839
log_F_devs.1,-0.6974799445152823,0.3628985932946072
log_F_devs.2,-1.2557343459402284,0.36048392359881287
log_F_devs.3,-0.9147828816218344,0.35863407341826964
log_F_devs.4,-0.49211780386173953,0.35753670645108954
log_F_devs.5,-0.803687151442702,0.3568633715567709
log_F_devs.6,-1.1098765098663874,0.3559372430728347
log_F_devs.7,-1.041386440792351,0.3550885786650927
log_F_devs.8,-0.750478705723151,0.35453285354783304
log_F_devs.9,-0.9061287462432945,0.35437059196406123
log_F_devs.10,-0.4600336443605699,0.3543385561451374
log_F_devs.11,-0.11352669444558693,0.35427738689996363
log_F_devs.12,-0.1826457517204212,0.35428472760381435
log_F_devs.13,-0.059804692528967245,0.3542269799451005
log_F_devs.14,-0.1202082989396627,0.3542076086718451
log_F_devs.15,-0.18957168319857595,0.3542050680792218
log_F_devs.16,0.06022258764342959,0.35420153502955
log_F_devs.17,0.21749113793318026,0.35420890837895314
log_F_devs.18,0.6153911329604849,0.35421634086084847
log_F_devs.19,0.5296120573050671,0.35422283616954403
log_F_devs.20,0.6046905252283497,0.3542334620095849
log_F_devs.21,0.758615286232165,0.3542399520347722
log_F_devs.22,0.907545603762664,0.35425147843892274
log_F_devs.23,1.0339935369620055,0.3542713538159974
log_F_devs.24,0.7265989087391357,0.35429477443977997
log_F_devs.25,0.8324467491820068,0.35431057119762854
log_F_devs.26,0.5427797644902371,0.3543253146286728
log_F_devs.27,0.4868137167646558,0.3543360583774639
log_F_devs.28,0.4893065632375731,0.3543479874875095
log_F_devs.29,0.5902497757937339,0.35436252988615796
log_F_devs.30,0.5339267346999107,0.3543838027931827
log_F_devs.31,0.5481081051120253,0.35440836731698117
log_F_devs.32,0.302912043839038,0.354435536926017
log_F_devs.33,0.34428794253040873,0.3544581949260572
log_F_devs.34,0.06056061821952747,0.35448338956525866
log_F_devs.35,0.03488138553644982,0.35450621898094575
log_F_devs.36,-0.1325092460256496,0.35452878550482303
log_F_devs.37,-0.018529657948680854,0.35455037349027513
log_F_devs.38,-0.04656240310187262,0.3545823788414178
log_F_devs.39,-0.25014019053117104,0.3546315310448958
log_spr_Fxx,-2.2364409784731363,0.261311551660267
log_spr_Fxx.1,-2.4175178202319456,0.25189799747310615
log_spr_Fxx.2,-2.769580522545392,0.24926909453338625
log_spr_Fxx.3,-3.1317622933749103,0.26648752436590967
log_spr_Fxx.4,-3.535933181877818,0.3110782421462685
pred_rec,934011.901855857,693967.9511822313
pred_rec.1,969166.2042048402,734812.2171375131
