Parameter,Estimate,se
fsh_logq,-18.148902544043786,0.024323607103253337
fsh_logq.1,-17.62878050009324,0.02133396732852477
srv_logq,-17.087502464908166,0.016219818465276464
mr_logq,-0.1081866213251545,0.00950996745697336
log_rbar,13.008198209003233,0.11752974043667355
log_rinit,13.879439978359953,0.16627340963824086
log_Fbar,-3.3010017849895696,0.33362703820286843
log_spr_Fxx,-2.23624376030283,0.26128563406630156
log_spr_Fxx.1,-2.4173027925475976,0.25186761026991705
log_spr_Fxx.2,-2.7693143761120047,0.24922608685494124
log_spr_Fxx.3,-3.1314165953479005,0.2664208903786406
log_spr_Fxx.4,-3.5354687349694975,0.3109626944328687
pred_rec,1170644.5516093764,944926.3328285499
pred_rec.1,1568190.374663015,1522558.6094014903
pred_rec.2,1817674.9613060867,1888303.600834455
pred_rec.3,1592131.1502632543,1560072.038247256
pred_rec.4,1243165.6969872422,1056123.3268621208
pred_rec.5,18165584.411457248,2069950.2505248103
pred_rec.6,1030407.4733792172,778557.5028053881
pred_rec.7,968533.7874192321,675563.6498673235
pred_rec.8,962187.4635970372,630761.7501219048
pred_rec.9,1073233.121246271,678404.0448621179
pred_rec.10,1037711.6662640407,655303.0905266325
pred_rec.11,1110786.935586148,696010.8846592021
pred_rec.12,1240282.4723472875,659883.5691433507
pred_rec.13,789949.4752786583,415561.1451243838
pred_rec.14,525850.5120972754,254097.9796398241
pred_rec.15,482699.0913236662,223825.86384294456
pred_rec.16,669708.9109348988,285833.9408778111
pred_rec.17,957452.4733215114,305491.2106814085
pred_rec.18,588441.4974387435,235314.78614692934
pred_rec.19,492261.3754761689,198495.787277914
pred_rec.20,923905.2882445783,221629.75879456662
pred_rec.21,1047135.8609885562,234226.32769644048
pred_rec.22,890470.1946677653,231939.45992730584
pred_rec.23,2546316.7402938344,251907.42446180971
pred_rec.24,1002943.0317545142,253892.00955667158
pred_rec.25,1740714.710783962,247598.55296901893
pred_rec.26,1051797.0273070051,239481.83172627844
pred_rec.27,836049.4362261588,209253.2870466821
pred_rec.28,571253.3423628696,171633.3397680005
pred_rec.29,589458.9401287859,149625.05222419536
pred_rec.30,666898.1059106389,133312.58485741456
pred_rec.31,468732.43224331643,121031.19919318934
pred_rec.32,530339.7957627033,109817.68642506312
pred_rec.33,308852.76029065537,101516.60025736708
pred_rec.34,1143754.447460445,109930.57897881142
pred_rec.35,659008.0512723324,89150.24599703317
pred_rec.36,157633.91394964705,57988.797232952136
pred_rec.37,437019.2924232023,77235.83576851641
pred_rec.38,536228.3856878121,99509.90388041385
pred_rec.39,703920.7770238472,125719.79570398798
pred_rec.40,2117849.923476863,172420.31899902556
pred_rec.41,991802.9924899214,195418.3470020474
pred_rec.42,1585823.4257309316,253330.9579464853
pred_rec.43,1667065.4117005887,375995.0541758518
pred_rec.44,472606.0429466464,256256.03925323387
