Parameter,Estimate,se
fsh_logq,-18.11399485370545,0.024492606928814737
fsh_logq.1,-17.68089345520761,0.024310924015517658
srv_logq,-17.055628733682127,0.01863710262299716
mr_logq,-0.08331591656413652,0.009657057185177585
log_rbar,12.888640184869084,0.12702163512998624
log_rec_devs,0.8255375907959662,0.7370305602748596
log_rec_devs.1,0.9133460775871519,0.7748848340348355
log_rec_devs.2,0.9236247611374003,0.7888326426691751
log_rec_devs.3,0.9222888273648412,0.79675318716569965
log_rec_devs.4,3.5869358100310866,0.24332552477578354
log_rec_devs.5,1.0120619973007567,0.8473663100579565
log_rec_devs.6,2.829592336270045,0.4386052643473493
log_rec_devs.7,1.0193853419582704,0.8720056176417067
log_rec_devs.8,0.9173985488339214,0.7667294404736226
log_rec_devs.9,0.9303631563810556,0.7010749057111225
log_rec_devs.10,0.8736044816911456,0.6655088276659279
log_rec_devs.11,0.9722579329443896,0.6604477744443464
log_rec_devs.12,1.0568541756329737,0.5779533184997298
log_rec_devs.13,0.6475412113649023,0.5486201032775722
log_rec_devs.14,0.22263204160146274,0.5059824727360889
log_rec_devs.15,0.12387958787519758,0.48763963969115093
log_rec_devs.16,0.4756037249377052,0.4545445274285571
log_rec_devs.17,0.8682967613649134,0.3496638083283287
log_rec_devs.18,0.37661191947136524,0.4266871141617702
log_rec_devs.19,0.19484833462575127,0.43060825297338656
log_rec_devs.20,0.821504593292134,0.2770518684491907
log_rec_devs.21,0.9657983041321099,0.25841299177104743
log_rec_devs.22,0.7781718341548634,0.2898880810752613
log_rec_devs.23,1.8512637644935077,0.16439281616954854
log_rec_devs.24,0.8814003822337483,0.2820143201603233
log_rec_devs.25,1.45629517249798,0.19316994286235667
log_rec_devs.26,0.8748557476467036,0.2637478670158884
log_rec_devs.27,0.6338485775983578,0.2866126776222939
log_rec_devs.28,0.21236619843023208,0.33298522332346264
log_rec_devs.29,0.295429193957296,0.2780634048517274
log_rec_devs.30,0.3891108204066476,0.23729950296967706
log_rec_devs.31,-0.021085772422453464,0.2943016767668703
log_rec_devs.32,0.19413738771463188,0.2400477807344304
log_rec_devs.33,-0.45577810218936793,0.3713967298027545
log_rec_devs.34,1.1870992061057086,0.1602533401057836
log_rec_devs.35,0.6859072931568992,0.1906567752419623
log_rec_devs.36,-1.2289821714852158,0.40175807760528637
log_rec_devs.37,-0.8617869923080729,0.4112398832815688
log_rec_devs.38,-0.2723107905926915,0.5026777328676929
log_rinit,13.846680618240628,0.16716904586485484
log_rinit_devs,1.032741920549619,0.6954619074080387
log_rinit_devs.1,0.9927508940669239,0.740997597879188
log_rinit_devs.2,0.8072970049029995,0.7209143507950543
log_rinit_devs.3,0.9670883267410469,0.791498999564718
log_rinit_devs.4,1.1932145885253003,0.9178209313672707
log_rinit_devs.5,1.2708975410223102,0.9668770217063736
log_rinit_devs.6,1.3304287936093764,0.9882800462431278
log_rinit_devs.7,0.9335777048815723,0.7848735140271885
log_rinit_devs.8,0.7812257985847435,0.7265843709196329
log_rinit_devs.9,0.7020160702902234,0.7002906326949506
log_rinit_devs.10,0.6441144590874367,0.6824716667605616
log_rinit_devs.11,0.6135974280361337,0.6734851402402009
log_rinit_devs.12,0.5904016292322617,0.6668056519014731
log_rinit_devs.13,0.567583318604451,0.6603826374376477
log_rinit_devs.14,0.5620936902738988,0.6587736759976295
log_rinit_devs.15,0.559344740759603,0.6579184391633511
log_rinit_devs.16,0.5573357325214231,0.6572717632869783
log_rinit_devs.17,0.5545474356493784,0.6564228253934076
log_rinit_devs.18,0.5593947827577527,0.6576599706416096
log_rinit_devs.19,0.5649462166448808,0.6591115283161336
log_rinit_devs.20,0.5717596279264202,0.6609371561948925
log_rinit_devs.21,0.5789281268126955,0.6628917113089142
log_rinit_devs.22,0.5867328047803453,0.6650580381533167
log_rinit_devs.23,0.5956212291879784,0.6675714312325033
log_rinit_devs.24,0.6061809691946934,0.6706164055587739
log_rinit_devs.25,0.6159387994094189,0.6734769881349849
log_rinit_devs.26,0.6249448363414581,0.676158132471533
log_rinit_devs.27,0.633247553817426,0.6786654965651919
log_Fbar,-3.235192852755331,0.35839145855907223
log_F_devs,-0.9024522618970527,0.36440526696026065
log_F_devs.1,-0.9336592523308848,0.36234540205438276
log_F_devs.2,-1.495294346294963,0.360936410671875
log_F_devs.3,-1.1538344434944972,0.3600393310108691
log_F_devs.4,-0.7290153968772993,0.35955342649779043
log_F_devs.5,-1.0277696100221967,0.35933437598101964
log_F_devs.6,-1.2873162475693036,0.35907227109020695
log_F_devs.7,-1.151998217520306,0.3588302498084457
log_F_devs.8,-0.7915009852781933,0.3586604695681937
log_F_devs.9,-0.8859517167509927,0.35862887375685215
log_F_devs.10,-0.4137159625750429,0.35857298398154003
log_F_devs.11,-0.06718734081980268,0.35851004371042666
log_F_devs.12,-0.11974030522800722,0.3585209340508572
log_F_devs.13,0.003231259337536351,0.3585143751143749
log_F_devs.14,-0.06344309900625306,0.35852413202286515
log_F_devs.15,-0.12638218533343126,0.3585207066429774
log_F_devs.16,0.12255316807458252,0.3585226439506401
log_F_devs.17,0.2806100068012897,0.3585277646797542
log_F_devs.18,0.6792507388121163,0.35853324502274925
log_F_devs.19,0.5853138051879215,0.3585347140972161
log_F_devs.20,0.6546741382255776,0.35853832649240874
log_F_devs.21,0.8009324576608458,0.3585392138722324
log_F_devs.22,0.9377434506369109,0.3585421911605565
log_F_devs.23,1.053894543982714,0.35854592100687316
log_F_devs.24,0.7339276154744304,0.3585556402158926
log_F_devs.25,0.8285617650743082,0.35856038431066994
log_F_devs.26,0.5367615283332191,0.3585699127904504
log_F_devs.27,0.4869305844160555,0.35857789108440724
