Parameter,Estimate,se
log_srv_slx_pars,1.3638165857839777,NA
log_srv_slx_pars.1,1.2923017320922072,NA
log_srv_slx_pars.2,-0.47339695172847956,NA
log_srv_slx_pars.3,-0.24275151565923692,NA
log_srv_slx_pars.4,0.6076522218840822,NA
log_srv_slx_pars.5,0.915877033106738,NA
log_srv_slx_pars.6,0.4899792742126435,NA
log_srv_slx_pars.7,0.3205481249344047,NA
fsh_logq,-17.675914581280733,NA
fsh_logq.1,-17.26211081771735,NA
fsh_logq.2,-16.94253414061284,NA
srv_logq,-16.863738924093873,NA
srv_logq.1,-16.596650561670774,NA
mr_logq,-0.03924522577815916,NA
log_rbar,13.566037534143536,NA
log_rinit,13.858622349480909,NA
log_sigma_r,-0.6589186013513724,NA
log_Fbar,-2.837624096258287,NA
log_spr_Fxx,-2.24619091278123,NA
log_spr_Fxx.1,-2.4265082083140626,NA
log_spr_Fxx.2,-2.7772652953413925,NA
log_spr_Fxx.3,-3.138278069644354,NA
log_spr_Fxx.4,-3.541216644863474,NA
pred_rec,1077831.9303219984,NA
pred_rec.1,1090869.2880244905,NA
pred_rec.2,1094423.4335774826,NA
pred_rec.3,1067226.6521116295,NA
pred_rec.4,19722702.88891473,NA
pred_rec.5,1045221.033539449,NA
pred_rec.6,1066194.1690897597,NA
pred_rec.7,1112668.7920738368,NA
pred_rec.8,1128323.7502085113,NA
pred_rec.9,1092618.9170110868,NA
pred_rec.10,979996.15148493,NA
pred_rec.11,845596.4934703812,NA
pred_rec.12,728770.1021468997,NA
pred_rec.13,621634.1493748301,NA
pred_rec.14,537468.5729690441,NA
pred_rec.15,509057.23386292934,NA
pred_rec.16,535135.2195333779,NA
pred_rec.17,568392.513855531,NA
pred_rec.18,536022.9942702615,NA
pred_rec.19,516266.16836917726,NA
pred_rec.20,642604.1381928921,NA
pred_rec.21,767959.0869493107,NA
pred_rec.22,1058380.5695458371,NA
pred_rec.23,1711795.1487279753,NA
pred_rec.24,1481285.5835647285,NA
pred_rec.25,1399907.0201512545,NA
pred_rec.26,1053263.5273944319,NA
pred_rec.27,777232.3677795875,NA
pred_rec.28,626543.7907758765,NA
pred_rec.29,622224.2442067607,NA
pred_rec.30,649243.6749646743,NA
pred_rec.31,533663.9482190387,NA
pred_rec.32,464585.126724052,NA
pred_rec.33,525307.8767189292,NA
pred_rec.34,1073611.8861777931,NA
pred_rec.35,698201.0969688126,NA
pred_rec.36,372291.6434574203,NA
pred_rec.37,414875.7463504664,NA
pred_rec.38,475042.9163130122,NA
pred_rec.39,786189.4512027187,NA
pred_rec.40,3176287.539426758,NA
pred_rec.41,2618239.744996664,NA
pred_rec.42,1076411.1473693768,NA
