year,ABC,retro
1975,2.8594053361773986,retro_0
1976,2.809398445345405,retro_0
1977,2.7654509843604838,retro_0
1978,2.7546542124255198,retro_0
1979,2.7190029720736266,retro_0
1980,2.6649545859105896,retro_0
1981,2.774179087330046,retro_0
1982,3.1120054225669356,retro_0
1983,3.5580529918223647,retro_0
1984,4.0066146011267465,retro_0
1985,4.332952779686478,retro_0
1986,4.438431932790605,retro_0
1987,4.55966620466101,retro_0
1988,4.3716897159835195,retro_0
1989,4.146013107749591,retro_0
1990,3.9232624294440557,retro_0
1991,3.6582690889632206,retro_0
1992,3.397809875718031,retro_0
1993,3.110528957762378,retro_0
1994,2.717621775014211,retro_0
1995,2.4141270582404135,retro_0
1996,2.1112278365130583,retro_0
1997,1.8215254348964929,retro_0
1998,1.5649221931406578,retro_0
1999,1.3299820486274412,retro_0
2000,1.2037902815478139,retro_0
2001,1.1125872019348535,retro_0
2002,1.0958263842983564,retro_0
2003,1.1019658949232247,retro_0
2004,1.1161153064147082,retro_0
2005,1.1178897571069517,retro_0
2006,1.1163968904597916,retro_0
2007,1.101609580347984,retro_0
2008,1.0926279960307261,retro_0
2009,1.071980961353746,retro_0
2010,1.0605665525060772,retro_0
2011,1.0478730214337526,retro_0
2012,1.0471097742510649,retro_0
2013,1.0424258618454731,retro_0
2014,1.031474575459776,retro_0
2015,1.0188462101031703,retro_0
2016,0.997303995408314,retro_0
2017,0.993540208016568,retro_0
2018,0.9956869623716703,retro_0
2019,1.014968466395758,retro_0
2020,1.081858621151645,retro_0
2021,1.1922684464819178,retro_0
2022,1.3349266040684433,retro_0
2023,1.4864059711695634,retro_0
1975,2.8596447294930223,retro_1
1976,2.8096560179478876,retro_1
1977,2.7656232211289127,retro_1
1978,2.754450909417471,retro_1
1979,2.7180123004920524,retro_1
1980,2.662829459270429,retro_1
1981,2.7712241359255065,retro_1
1982,3.1090120688920395,retro_1
1983,3.5553633874335877,retro_1
1984,4.004458978442829,retro_1
1985,4.330913136578578,retro_1
1986,4.436002662457655,retro_1
1987,4.557486233225232,retro_1
1988,4.3686443326752,retro_1
1989,4.142287582541377,retro_1
1990,3.9190291183353456,retro_1
1991,3.6534433655448435,retro_1
1992,3.392717898117015,retro_1
1993,3.1052159050130235,retro_1
1994,2.711977588816524,retro_1
1995,2.408210514332457,retro_1
1996,2.104879888219664,retro_1
1997,1.814645512578441,retro_1
1998,1.557301228625175,retro_1
1999,1.3212825731654367,retro_1
2000,1.1942472738974161,retro_1
2001,1.1026076066822208,retro_1
2002,1.0858549195117284,retro_1
2003,1.092760107441712,retro_1
2004,1.1076577737508095,retro_1
2005,1.1099633741519723,retro_1
2006,1.109700330025005,retro_1
2007,1.094639769179635,retro_1
2008,1.0866096999505717,retro_1
2009,1.0663253463047293,retro_1
2010,1.0552121295318482,retro_1
2011,1.0437331668659302,retro_1
2012,1.0443928092241932,retro_1
2013,1.0403900825266146,retro_1
2014,1.030585346651728,retro_1
2015,1.0188837828905084,retro_1
2016,0.9992619869710725,retro_1
2017,0.9983380161209502,retro_1
2018,1.0052456849625133,retro_1
2019,1.0340738385563577,retro_1
2020,1.1144523948800926,retro_1
2021,1.2382169102937477,retro_1
2022,1.3885371025201627,retro_1
1975,2.846466527992396,retro_2
1976,2.7962440012873624,retro_2
1977,2.752192459026205,retro_2
1978,2.7416573624781746,retro_2
1979,2.7067678136997935,retro_2
1980,2.653869177301819,retro_2
1981,2.763633273023946,retro_2
1982,3.100637535966354,retro_2
1983,3.5452008010989524,retro_2
1984,3.991861387249743,retro_2
1985,4.316934661156168,retro_2
1986,4.421938143474225,retro_2
1987,4.541509401341358,retro_2
1988,4.353855267817127,retro_2
1989,4.128227143005737,retro_2
1990,3.9053257245073976,retro_2
1991,3.6404834554928853,retro_2
1992,3.3796746799283595,retro_2
1993,3.0920170090260517,retro_2
1994,2.6988704736177347,retro_2
1995,2.3947282035287887,retro_2
1996,2.091181889937051,retro_2
1997,1.8005580919256279,retro_2
1998,1.5424729419805256,retro_2
1999,1.3058213088305732,retro_2
2000,1.178384354923624,retro_2
2001,1.0866292527842647,retro_2
2002,1.070054799459709,retro_2
2003,1.0776524080774148,retro_2
2004,1.0931606155948743,retro_2
2005,1.0959741538261063,retro_2
2006,1.0962883872923914,retro_2
2007,1.0811567691766766,retro_2
2008,1.0737605400704755,retro_2
2009,1.053813205227437,retro_2
2010,1.0432013981919366,retro_2
