Parameter,Estimate,se
log_srv_slx_pars,1.4399838208036129,0.3440447296895856
log_srv_slx_pars.1,1.0916100400307869,0.0990644534289203
log_srv_slx_pars.2,-0.5777608507410736,0.42753245850931587
log_srv_slx_pars.3,-0.20025452162829965,0.14019487725259314
log_srv_slx_pars.4,0.6348082304439492,0.21039581922018996
log_srv_slx_pars.5,0.5262628695150741,0.06614439696073343
log_srv_slx_pars.6,0.42598033489405707,0.3796320637621753
log_srv_slx_pars.7,0.8578956045938283,0.1840425769863943
fsh_logq,-17.669370498344144,0.041353013194613555
fsh_logq.1,-17.243830911928764,0.025179110036534773
srv_logq,-16.883153511929212,0.06274813123915202
srv_logq.1,-16.72284519452883,0.03032235566910883
mr_logq,-0.04280974074865298,0.009740484970913012
log_rbar,13.592481391553012,0.08997080947530979
log_rec_devs,0.32661366488430726,0.5737191043787119
log_rec_devs.1,0.3405621983998621,0.5790691649835786
log_rec_devs.2,0.34666815208871643,0.5839457075300044
log_rec_devs.3,0.3211013688364251,0.5778804284501581
log_rec_devs.4,3.204925253321686,0.15906978360006352
log_rec_devs.5,0.2944345788669049,0.5676377663265182
log_rec_devs.6,0.30835278115704495,0.5642796195005356
log_rec_devs.7,0.3459467243847156,0.5612035178367782
log_rec_devs.8,0.3566123547284201,0.5454396989194967
log_rec_devs.9,0.3252804480132387,0.5230848604113363
log_rec_devs.10,0.22206461656014587,0.49413530728466076
log_rec_devs.11,0.07864616837919101,0.4625331320384127
log_rec_devs.12,-0.0644038126601993,0.43468155505116135
log_rec_devs.13,-0.21377219950655543,0.4110406065698559
log_rec_devs.14,-0.3464246075386858,0.3940685259438341
log_rec_devs.15,-0.3946794665675937,0.38423648727297904
log_rec_devs.16,-0.3460970078514818,0.3763372496326803
log_rec_devs.17,-0.28379245138538456,0.3674084103052219
log_rec_devs.18,-0.3382934387800301,0.3619254930633052
log_rec_devs.19,-0.3831741753102848,0.35796899187645
log_rec_devs.20,-0.1681107014851887,0.3552270100811333
log_rec_devs.21,0.044302375213616435,0.3580603153429283
log_rec_devs.22,0.32372802809833207,0.3512451795312392
log_rec_devs.23,0.6674412784960397,0.2963062485360667
log_rec_devs.24,0.6911378591155398,0.2967444218309997
log_rec_devs.25,0.4158219287704349,0.3365813931718413
log_rec_devs.26,0.298053388616882,0.33691432941058225
log_rec_devs.27,0.1458351898892276,0.3289105106567567
log_rec_devs.28,-0.1994178293405842,0.34409522016806593
log_rec_devs.29,-0.280718940088235,0.34194843643526407
log_rec_devs.30,-0.009221980808765554,0.29085342377671236
log_rec_devs.31,-0.32102927200812836,0.3225949268417005
log_rec_devs.32,-0.5096320784889958,0.3213217071083357
log_rec_devs.33,-0.5126098119113871,0.3438103506044937
log_rec_devs.34,0.4333417636307927,0.21152344449128344
log_rec_devs.35,-0.26424808789139415,0.29667359135808147
log_rec_devs.36,-0.9931487354699733,0.3182004303902505
log_rec_devs.37,-0.9236202075535482,0.292698686719174
log_rec_devs.38,-0.7974997181423188,0.3002674749047555
log_rec_devs.39,-0.21263976251543276,0.2817817869749063
log_rec_devs.40,0.4897141124582021,0.22697585092075528
log_rec_devs.41,0.4290705408986948,0.2853274101308771
log_rec_devs.42,0.4899655840697533,0.33997864186145743
log_rec_devs.43,1.74762100643994,0.15449629750471355
log_rec_devs.44,0.16650172120478338,0.44744993101249336
log_rec_devs.45,0.46486436585021185,0.3799715883667532
log_rec_devs.46,0.4982207287444361,0.47686752918780595
log_rec_devs.47,0.27622506979367284,0.5054000330302749
log_rinit,13.833142191136416,0.1390335140364341
log_rinit_devs,0.36541731789162585,0.575716701415365
log_rinit_devs.1,0.31780006350392664,0.564529228067447
log_rinit_devs.2,0.25269383268281653,0.5488757358611378
log_rinit_devs.3,0.23425892193836775,0.545135928937169
log_rinit_devs.4,0.21257758802802576,0.5397500895996372
log_rinit_devs.5,0.19207482207737006,0.5343719837370259
log_rinit_devs.6,0.17231342730392302,0.5292947244563704
log_rinit_devs.7,0.1419437615345195,0.5219488566169856
log_rinit_devs.8,0.1222404372915253,0.5172606313787022
log_rinit_devs.9,0.1109323198707308,0.5145833348668899
log_rinit_devs.10,0.10188538972220021,0.5124300218301219
log_rinit_devs.11,0.09804647476971572,0.5114960865209633
log_rinit_devs.12,0.09539459666042702,0.5108350812419447
log_rinit_devs.13,0.0916853740516929,0.5099202663735009
log_rinit_devs.14,0.09227490418853648,0.5100190789317932
log_rinit_devs.15,0.0933431312835243,0.5102357481140856
log_rinit_devs.16,0.09435482906217067,0.5104431870744511
log_rinit_devs.17,0.09460069648380261,0.5104702720260454
log_rinit_devs.18,0.0966421251818556,0.5109338596946763
log_rinit_devs.19,0.09867763952934588,0.5114025903275906
log_rinit_devs.20,0.10088553871175412,0.5119196694988499
log_rinit_devs.21,0.1029694591325864,0.5124123667678084
log_rinit_devs.22,0.10501649241216048,0.5129013388526701
log_rinit_devs.23,0.10719186204224196,0.5134272949211931
log_rinit_devs.24,0.10975214930268887,0.5140549484901797
log_rinit_devs.25,0.11208850230013423,0.5146321379744653
log_rinit_devs.26,0.11422146884149424,0.5151627894333175
log_rinit_devs.27,0.11616904608562865,0.5156504438387239
log_sigma_r,-0.6538464707812475,0.0875500462293833
log_Fbar,-2.8749441627286303,0.3237011793009555
log_F_devs,-0.5859914706455159,0.33896655186186153
log_F_devs.1,-0.5816534017967844,0.33790139638333183
log_F_devs.2,-1.12197384280445,0.3366443927202031
log_F_devs.3,-0.7704883796930018,0.33531636884153915
log_F_devs.4,-0.3484180793096698,0.33412252295893285
log_F_devs.5,-0.6652348837915074,0.3330659408416145
log_F_devs.6,-0.966777491830537,0.3314516615329729
log_F_devs.7,-0.8995447293791857,0.3296253236706985
log_F_devs.8,-0.6116075331914017,0.32823955267958654
log_F_devs.9,-0.7633969276631305,0.32756629201467685
log_F_devs.10,-0.34400716553893834,0.3273408451121565
log_F_devs.11,-0.0251908359327235,0.3272464747231113
log_F_devs.12,-0.11335004563816038,0.32729466927245743
log_F_devs.13,-0.0026881931656515617,0.3271819816913702
log_F_devs.14,-0.07006035200312316,0.3271173866439065
log_F_devs.15,-0.14408954227201523,0.3270755170962891
