Parameter,Estimate,se
log_srv_slx_pars,1.419499097750199,NA
log_srv_slx_pars.1,1.301338994237996,NA
log_srv_slx_pars.2,-0.5383974708039856,NA
log_srv_slx_pars.3,-0.3913527956193721,NA
log_srv_slx_pars.4,0.6248429618854738,NA
log_srv_slx_pars.5,0.820559846369259,NA
log_srv_slx_pars.6,0.4638904827743899,NA
log_srv_slx_pars.7,0.27375678758209077,NA
fsh_logq,-17.66026530503967,NA
fsh_logq.1,-17.244423751200692,NA
srv_logq,-16.861046752520462,NA
srv_logq.1,-16.632126546894785,NA
mr_logq,-0.04239970661588748,NA
log_rbar,13.597835010421255,NA
log_rinit,13.850682190990634,NA
log_sigma_r,-0.7237462181278829,NA
log_Fbar,-2.855107365215595,NA
log_spr_Fxx,-2.309822724091705,NA
log_spr_Fxx.1,-2.4854219202935735,NA
log_spr_Fxx.2,-2.8289765454963534,NA
log_spr_Fxx.3,-3.184604807770623,NA
log_spr_Fxx.4,-3.5831867221931017,NA
pred_rec,1076793.7224001854,NA
pred_rec.1,1093274.2747390382,NA
pred_rec.2,1102830.3363763837,NA
pred_rec.3,1082790.2256904617,NA
pred_rec.4,19645546.476426195,NA
pred_rec.5,1063178.4333039252,NA
pred_rec.6,1077583.6693298623,NA
pred_rec.7,1113349.5088935469,NA
pred_rec.8,1121036.3952623748,NA
pred_rec.9,1084522.4133254418,NA
pred_rec.10,981775.7130575351,NA
pred_rec.11,854753.4273237488,NA
pred_rec.12,742408.112900598,NA
pred_rec.13,641223.9483022938,NA
pred_rec.14,563208.4647891456,NA
pred_rec.15,534239.3492330939,NA
pred_rec.16,551981.9549893156,NA
pred_rec.17,578686.6676493331,NA
pred_rec.18,552733.5762428702,NA
pred_rec.19,535773.3099562529,NA
pred_rec.20,653886.9558272583,NA
pred_rec.21,800765.9950883224,NA
pred_rec.22,1096938.325975444,NA
pred_rec.23,1678350.0855779082,NA
pred_rec.24,1489569.9754181902,NA
pred_rec.25,1390775.6315062994,NA
pred_rec.26,1071960.1639029356,NA
pred_rec.27,846389.4677232491,NA
pred_rec.28,685452.9459493645,NA
pred_rec.29,646763.5354874318,NA
pred_rec.30,726121.8685479219,NA
pred_rec.31,593477.2080762675,NA
pred_rec.32,521195.96535251575,NA
pred_rec.33,583701.8810804841,NA
pred_rec.34,1123587.6485151562,NA
pred_rec.35,675285.5887216955,NA
pred_rec.36,360801.68907489924,NA
pred_rec.37,381596.9796044135,NA
pred_rec.38,421673.9483782232,NA
pred_rec.39,745888.7543187664,NA
pred_rec.40,1665075.909592824,NA
pred_rec.41,1462514.704447433,NA
pred_rec.42,1479854.142750557,NA
pred_rec.43,1805029.493129541,NA
pred_rec.44,1009196.7428133935,NA
