Parameter,Estimate,se
fsh_logq,-17.94686572373236,0.02929063625466524
fsh_logq.1,-17.535647575859784,0.025315667325055035
srv_logq,-17.000055017280246,0.018821638540674167
mr_logq,-0.0754094259097101,0.009673275599527468
log_rbar,12.937037496008703,0.12743086809805607
log_rinit,13.496681076133513,0.16605903319496984
log_Fbar,-3.0544312747197004,0.3541942754032828
log_spr_Fxx,-2.2364411995384272,0.26131152873883706
log_spr_Fxx.1,-2.4175180563789382,0.2518979846254662
log_spr_Fxx.2,-2.7695804970870146,0.2492690936737971
log_spr_Fxx.3,-3.1317621170931407,0.26648750426989554
log_spr_Fxx.4,-3.5359330413634185,0.3110782109911921
pred_rec,934017.0849781806,693979.2258951811
pred_rec.1,969159.4027688234,734815.184700592
pred_rec.2,999958.868782039,776649.4596014776
pred_rec.3,970018.6011552257,746827.9012638252
pred_rec.4,22018306.030213896,2228751.0463823443
pred_rec.5,1054126.2969082694,849317.4970788545
pred_rec.6,1142160.4585712673,941020.6016804691
pred_rec.7,1328255.4838557285,1136812.017159921
pred_rec.8,1432542.1857419955,1191350.6897776995
pred_rec.9,1339551.960380855,1053924.5724083306
pred_rec.10,1135794.2214446105,811150.9800504602
pred_rec.11,983939.13635157,635508.6992048819
pred_rec.12,867570.8650010109,509628.54618383804
pred_rec.13,696884.398925315,375876.6357357004
pred_rec.14,539829.3008218303,274238.2111303114
pred_rec.15,496022.4279034265,242680.74527894077
pred_rec.16,575576.8977778524,271969.4394513938
pred_rec.17,704844.3629883296,302498.50777539506
pred_rec.18,616637.1640474258,265275.0759850705
pred_rec.19,510912.6731690371,221643.7777556716
pred_rec.20,604538.7584151011,249771.86565925903
pred_rec.21,1071470.2111219263,310174.71489356185
pred_rec.22,854853.0028421246,348064.10829116986
pred_rec.23,2203406.5234277253,409899.54608485824
pred_rec.24,1213101.1175898563,424141.85733608954
pred_rec.25,1431983.342391498,397155.3617213065
pred_rec.26,1104903.432936424,350370.2521747976
pred_rec.27,695846.1459783459,278000.4473181491
pred_rec.28,638956.7189303248,234745.3710479561
pred_rec.29,628818.5165794608,223941.55660377847
pred_rec.30,718452.739108561,218474.1176342339
pred_rec.31,622554.9698080522,211146.06979270524
pred_rec.32,585103.7854968243,194731.41890996895
pred_rec.33,447821.31769096124,193132.23812882905
pred_rec.34,1783045.19719531,271272.1608124555
pred_rec.35,885553.1253081585,231445.13580257198
pred_rec.36,239880.23831749012,102591.21282778501
pred_rec.37,234024.55449828412,99655.82000485128
pred_rec.38,322107.63218468707,157957.74096367697
pred_rec.39,587631.4876005834,356274.9452244272
