Parameter,Estimate,se
fsh_logq,-17.95173852023478,0.02916198392494997
fsh_logq.1,-17.467257337316155,0.02169297113318251
srv_logq,-17.006714738486586,0.016194382467803827
mr_logq,-0.09256818336254431,0.009538856313309165
log_rbar,13.106846143347253,0.1131213440960226
log_rec_devs,0.8629535102382614,0.7716265045745689
log_rec_devs.1,0.9885280066680596,0.8554171455396294
log_rec_devs.2,2.696947617150601,0.6645149552776277
log_rec_devs.3,1.105880105795578,0.9354134065365096
log_rec_devs.4,1.0472414172961637,0.8712488189820917
log_rec_devs.5,3.500784862782023,0.24535011100064713
log_rec_devs.6,0.8106327175695908,0.7459238974986612
log_rec_devs.7,0.755322363248303,0.7106356337918808
log_rec_devs.8,0.7253303260603996,0.673617573054117
log_rec_devs.9,0.7423560863462654,0.6471288101498673
log_rec_devs.10,0.7645314198583593,0.628832386952916
log_rec_devs.11,0.755255623177493,0.607688759800968
log_rec_devs.12,0.6703910035829703,0.5681559016661178
log_rec_devs.13,0.4093574479813181,0.528834921986157
log_rec_devs.14,0.1316100616821338,0.49915018201535444
log_rec_devs.15,0.04231381214535913,0.48119014053954395
log_rec_devs.16,0.17919639830208284,0.4650702122727543
log_rec_devs.17,0.36634619957599407,0.428639201598506
log_rec_devs.18,0.23865462824906475,0.426275394821094
log_rec_devs.19,0.0529714759053419,0.4290800622419538
log_rec_devs.20,0.22209191422718622,0.40836435813161953
log_rec_devs.21,0.7641629270543584,0.31150551395786846
log_rec_devs.22,0.5950324336037239,0.3939363226020944
log_rec_devs.23,1.4936847199730796,0.22128232225434072
log_rec_devs.24,0.9417842834993306,0.3468216559829844
log_rec_devs.25,1.083107847254093,0.29658504152329646
log_rec_devs.26,0.8524610672813637,0.3264227787593967
log_rec_devs.27,0.41802459520539625,0.3980840506259341
log_rec_devs.28,0.33289679303498004,0.371859868633976
log_rec_devs.29,0.29472010917502767,0.363877173155804
log_rec_devs.30,0.41624728555071117,0.3152111578934904
log_rec_devs.31,0.2442868555960173,0.3407613914528483
log_rec_devs.32,0.07733992040724867,0.3527701134468406
