Parameter,Estimate,se
fsh_logq,-18.007177249013292,0.03056021477093153
fsh_logq.1,-17.75790661380126,0.029908908407178494
srv_logq,-17.198243482302043,0.02378273094046093
mr_logq,-0.04715713887964989,0.009805903822980093
log_rbar,13.214305635542194,0.13117523874857082
log_rec_devs,0.8608408287114432,0.7713075788063634
log_rec_devs.1,0.9994402385784014,0.8658641669695605
log_rec_devs.2,2.606819163479877,0.7101367578973471
log_rec_devs.3,1.1436039779073432,0.9747729092406597
log_rec_devs.4,1.0835789917725829,0.8988843829847051
log_rec_devs.5,3.406059475989147,0.2712469310766453
log_rec_devs.6,0.8093331860491989,0.7457967645113049
log_rec_devs.7,0.7351533098821957,0.7024175515525155
log_rec_devs.8,0.6839874688868713,0.6599976823851281
log_rec_devs.9,0.6731858628973625,0.6314410636401075
log_rec_devs.10,0.7049327702254145,0.6153614718357305
log_rec_devs.11,0.6909289099298164,0.5953101362012905
log_rec_devs.12,0.6006346239452341,0.5588948788911791
log_rec_devs.13,0.3396735451568295,0.522571834752456
log_rec_devs.14,0.07828692467559906,0.4951175335404871
log_rec_devs.15,-0.004754609594735202,0.4794151628672062
log_rec_devs.16,0.1404751517064155,0.46636079800154584
log_rec_devs.17,0.35473651150914676,0.43053708601255536
log_rec_devs.18,0.23337207680855754,0.43246819134027414
log_rec_devs.19,0.07619559141078154,0.4366902998945145
log_rec_devs.20,0.2922212697736549,0.410876538345408
log_rec_devs.21,0.8168350297457838,0.3200615200732714
log_rec_devs.22,0.5952730254430645,0.408436497752492
log_rec_devs.23,1.5640060953210706,0.2275382471014475
log_rec_devs.24,0.9126415234606262,0.3668881261545733
log_rec_devs.25,1.1563865669726958,0.29259371654061556
log_rec_devs.26,0.7825423234644527,0.3504534790050466
log_rec_devs.27,0.4161521461084358,0.39952308899260514
log_rec_devs.28,0.2995175099644666,0.38151551323006583
log_rec_devs.29,0.2736482127444138,0.3718620682231354
log_rec_devs.30,0.4405370014239805,0.3164648693935523
log_rec_devs.31,0.1616443314910259,0.3705310698932469
log_rec_devs.32,0.13870865384060738,0.3660378371951107
log_rec_devs.33,0.03613663534410663,0.4365804760696643
log_rec_devs.34,1.2584522058456242,0.2647865023579476
log_rec_devs.35,1.3788990967229713,0.2844990139353686
log_rec_devs.36,0.1335702786693098,0.5455834616401154
log_rec_devs.37,0.4863440937356445,0.6216445294752105
log_rinit,13.519083669771083,0.1772498315871597
log_rinit_devs,0.9351206898711744,0.7919006309837049
log_rinit_devs.1,0.9665996242775735,0.7915211916575258
log_rinit_devs.2,0.8879344431493555,0.7607488254005629
log_rinit_devs.3,0.961402470030712,0.7933806346522185
log_rinit_devs.4,0.9943683096499113,0.8096735313569238
log_rinit_devs.5,0.987847858285201,0.8060861440120933
log_rinit_devs.6,0.948773784930953,0.7884035103703806
log_rinit_devs.7,0.8198981739682198,0.7402437258398278
log_rinit_devs.8,0.7442199817644032,0.7146284554372602
log_rinit_devs.9,0.7011279051954029,0.7008278812388399
log_rinit_devs.10,0.6671725511578599,0.6902869703157789
log_rinit_devs.11,0.6495112982376416,0.6848559068776789
log_rinit_devs.12,0.6361993217416898,0.6807796700390847
log_rinit_devs.13,0.6214044232797801,0.676319122544671
log_rinit_devs.14,0.6189468616697325,0.675463699565066
log_rinit_devs.15,0.6182105185347471,0.6751199750897028
log_rinit_devs.16,0.6178569451547533,0.6749024314532708
log_rinit_devs.17,0.6161093381147857,0.6742900355997554
log_rinit_devs.18,0.6197463758076046,0.675262669155561
log_rinit_devs.19,0.6237148552428747,0.6763538244931434
log_rinit_devs.20,0.6284442938733663,0.6776928147132275
log_rinit_devs.21,0.6331760384422344,0.6790554351683556
log_rinit_devs.22,0.638143522707791,0.6805113596795357
log_rinit_devs.23,0.6436783342600383,0.6821627897530493
log_rinit_devs.24,0.6504089719113775,0.6842092561927257
log_rinit_devs.25,0.65658892282879,0.6861128467570753
log_rinit_devs.26,0.6622601452470129,0.6878807996880244
log_rinit_devs.27,0.6674616696166912,0.6895203439022373
log_Fbar,-3.1581605717740757,0.36364931388605237
log_F_devs,-0.6017136704987557,0.37592395217829483
log_F_devs.1,-0.6196435401140679,0.3740309618111269
log_F_devs.2,-1.17678767511206,0.37278620767634
log_F_devs.3,-0.8408513196192322,0.3719571112845321
log_F_devs.4,-0.440820281233749,0.3698992011807229
log_F_devs.5,-0.781898549008925,0.36700954220387616
log_F_devs.6,-1.0862416691053223,0.3648866851765052
log_F_devs.7,-1.0128725954640265,0.36458898862097794
log_F_devs.8,-0.6961628368870267,0.3645984092434333
log_F_devs.9,-0.8157888442200757,0.36400946825645236
log_F_devs.10,-0.39695434035775673,0.36387682719166314
log_F_devs.11,-0.0686403184145026,0.3635660311942672
log_F_devs.12,-0.1064239688174644,0.3635029406954428
log_F_devs.13,-0.02253312889607251,0.3634661554869433
log_F_devs.14,-0.0786144406990159,0.36344131254278034
log_F_devs.15,-0.14727894202492536,0.36346520267239013
log_F_devs.16,0.09057247020638731,0.3634896477021176
log_F_devs.17,0.2554690093254629,0.3634916067022799
log_F_devs.18,0.6481453998222753,0.36350643253002585
log_F_devs.19,0.5485087036194766,0.36349394365427606
log_F_devs.20,0.6246079428948602,0.36350021345766687
log_F_devs.21,0.763047117747194,0.3635200653886547
log_F_devs.22,0.9022844556069859,0.3635328245423983
log_F_devs.23,1.0232772265288483,0.36355671916513177
log_F_devs.24,0.6966325773303097,0.36357449465430797
log_F_devs.25,0.7885990355425638,0.36361626278436754
log_F_devs.26,0.4846822723847933,0.36363856072298717
log_F_devs.27,0.421772666677155,0.3636576139902205
log_F_devs.28,0.4118193529975621,0.3636721075474515
log_F_devs.29,0.5042267838721537,0.36369873111198314
log_F_devs.30,0.43802889615633644,0.3637314884437044
log_F_devs.31,0.44292099133112306,0.36376755075410727
log_F_devs.32,0.18966897765832708,0.3638014626081953
log_F_devs.33,0.22452357360531794,0.3638325996634858
log_F_devs.34,-0.06351668004336172,0.3638645642479007
log_F_devs.35,-0.0912475824309716,0.3638969587929881
log_F_devs.36,-0.2596254888943275,0.36392913773458285
log_F_devs.37,-0.1511715814653967,0.36397204108922404
log_spr_Fxx,-2.2364772894721194,0.26131636888061344
log_spr_Fxx.1,-2.41755781624549,0.25190362138445893
log_spr_Fxx.2,-2.769629678462282,0.24927708534006113
log_spr_Fxx.3,-3.13182521185237,0.26649980473386153
log_spr_Fxx.4,-3.536018969950167,0.3110997179801779
pred_rec,1296457.9685309199,1013789.6093160242
pred_rec.1,1489194.4201863878,1307763.577229151
pred_rec.2,7430656.709718338,5144836.182691692
pred_rec.3,1720128.6000223397,1707653.9770559808
pred_rec.4,1619915.6327689989,1486772.172654402
pred_rec.5,16524672.276629223,3381043.682133059
pred_rec.6,1231371.0995438725,932225.1245268196
pred_rec.7,1143333.8077600289,810185.5053400423
pred_rec.8,1086305.5618780847,716941.1729720954
pred_rec.9,1074634.8618389124,671194.4124599168
pred_rec.10,1109298.5158029154,667366.7523631081
pred_rec.11,1093872.319609043,631655.3563673594
pred_rec.12,999429.8641124215,540180.9294915748
pred_rec.13,769871.7185762326,390650.75831020274
pred_rec.14,592788.2669761549,285318.9261559271
pred_rec.15,545550.7020492236,253594.8068690053
pred_rec.16,630823.1212481541,283325.6686678908
pred_rec.17,781556.0497891677,318906.83446035016
pred_rec.18,692232.8817812256,285735.1512584057
pred_rec.19,591549.8445827796,248032.4874099115
pred_rec.20,734192.7720355315,288492.5250991634
pred_rec.21,1240643.3892138596,355211.96886498795
pred_rec.22,994085.6619853918,394320.7031622196
pred_rec.23,2619022.542807995,466414.3456355576
pred_rec.24,1365385.219674841,479245.09367917373
pred_rec.25,1742257.427600642,448478.90132050525
pred_rec.26,1198819.5940450318,392628.0590102442
pred_rec.27,831060.4223892037,314321.05842830753
pred_rec.28,739569.2088827132,265186.5775164692
pred_rec.29,720682.420448903,252435.3552925687
pred_rec.30,851574.8142723858,244455.15001571443
pred_rec.31,644319.4787117869,225033.02532965012
pred_rec.32,629709.7572178815,214984.81938119367
pred_rec.33,568321.3364290193,240864.50730914704
pred_rec.34,1929473.723144267,437409.73548983835
pred_rec.35,2176447.965492673,554799.4182258832
pred_rec.36,626482.3710976498,342040.6015128068
pred_rec.37,891490.2051366275,560051.1462924286
