year,index,Fmort,pred_rec,biom,expl_biom,expl_abd,spawn_biom
1975,0,0.034825598606805244,0.936564566876725,65.23715326066561,50.52497131986855,6.670412375699489,30.772396749567147
1976,1,0.03511369240774423,0.9640263798338975,63.62475526279149,49.45854035431703,6.535727173934715,30.04466510959065
1977,2,0.020541930023820272,0.988691492946861,62.51642357305694,48.87300794899555,6.462409743641529,29.40721367661108
1978,3,0.029340646974093464,1.0202236171605474,61.55732956734725,48.1311679512134,6.3582858004013385,29.0311272342383
1979,4,0.04544021677954645,19.838261154983062,109.10950463697687,46.79317024548895,6.186348968321704,28.626704114244127
1980,5,0.03393832420531166,1.035784205287679,112.09177583465903,45.88146368400309,6.1163194733870325,28.84223556212035
1981,6,0.026388318525727705,1.0625506482501044,114.27771427646279,48.144797505645876,6.754875423762091,29.831344211912835
1982,7,0.027829087684427108,1.095845204582733,115.34676088801876,61.47029104123894,9.54098554312008,35.288057420418426
1983,8,0.03485756353685759,1.0854715925138585,114.85373161608834,72.99467300228427,11.37304026396164,40.48900015547729
1984,9,0.028638728528399913,1.0774045676057347,113.27106251828374,83.44778947063962,12.949212874295425,46.20671670581242
1985,10,0.04058676414300677,1.0095331872190625,110.14671429628217,93.1913958117593,14.30949089611852,50.21552581198377
1986,11,0.05623129192996789,0.9110617531209563,105.0562385389776,90.63131575500711,13.403980495092013,50.9272002808456
1987,12,0.05376142465280528,0.7782729721418609,99.03665438768948,85.66602820774446,12.236824410219018,49.21262266325618
1988,13,0.059299626043404226,0.6281325367263418,92.45332527392885,80.32122413907942,11.150442341445556,47.066759129920214
1989,14,0.0560958977435494,0.5155398295233787,85.71112338904591,75.06291195262996,10.178982844707116,44.15698531620192
1990,15,0.052478762595734536,0.4392215786580162,79.25065048246134,70.09567671958389,9.318140735835735,41.3976265908248
1991,16,0.06673865857110048,0.40066628485902694,72.5685062398213,64.64170097740464,8.445154056065212,38.476352710565386
1992,17,0.0786878577825167,0.38871144743684943,65.58832201436564,58.621069003682734,7.541896751610929,35.28719287059607
1993,18,0.12048537578453886,0.4173491614630339,57.88294982524632,51.39389802895889,6.526774500398208,31.55129996122845
1994,19,0.1131938469849053,0.5361875118268776,50.94797906878736,44.550505394682325,5.597659414429178,27.225311991024135
1995,20,0.12729514881688017,0.6920184608459035,45.33200852235971,38.24396709288783,4.762250322705854,23.556519755393197
1996,21,0.15103482321504993,0.8064661273052781,40.48281024980637,32.293091634039996,4.002629201518102,20.14135002795942
1997,22,0.17990507331078623,1.1661769769947943,37.03484659609217,26.798598521589554,3.3296483766643625,16.97236514359584
1998,23,0.20994271810913656,1.549703763252404,35.229606739946725,22.070488761837936,2.7826419837865126,14.186695190662421
1999,24,0.16293054927612638,1.046329919759898,33.65514728797033,19.198223131913384,2.491582005816741,12.056221865115814
2000,25,0.1840304755883175,0.6941343838676732,31.924513182130184,17.450555813876193,2.358425434561941,11.024093914196127
2001,26,0.14461503438436052,0.8873193943107954,31.236529447067166,17.121832345309763,2.433007405900424,10.461412809605225
2002,27,0.13659209953545243,1.3250783974702713,32.08243946143766,18.07313263915832,2.6915726286184123,10.475273656469277
2003,28,0.1340195240339872,0.7935054078329082,31.676989084588833,18.922805047127166,2.876526664254691,10.604901338542655
2004,29,0.14795521297946,0.6072759912124495,30.606469948948714,18.634351921696062,2.827544024768593,10.65549355839137
2005,30,0.13962090987091888,0.5554546793187901,29.369201536332955,18.190804722471537,2.755744919879663,10.58904030596618
2006,31,0.13573516636864538,0.5924925204115274,28.26680509082084,18.48750930721888,2.8247972251499314,10.506144250112518
2007,32,0.10266080394884705,0.6313885955954526,27.542811416544648,18.990365503820964,2.899331038932136,10.424956945622487
2008,33,0.10374881758230338,0.6223539952207361,26.946525010727477,18.747135054492386,2.8221996460520757,10.416198793258678
2009,34,0.07766883371800586,0.5497134717368591,26.403697565129868,18.361617183267537,2.72017213063241,10.278454151904802
2010,35,0.07414028443001322,0.4511301672536157,25.783544794143,18.08154753080847,2.645488370288666,10.241816380682003
2011,36,0.06218737005615882,0.4768493357814979,25.32446541572387,18.019292252614665,2.6159297298634074,10.206118579227493
2012,37,0.07060360285111839,0.6158787819734863,25.192696339361653,17.948546772715122,2.5913153365832,10.199712239914515
2013,38,0.07017595138386053,0.7851989261661418,25.47779328251731,17.724331976658082,2.5422276750217234,10.086148451701385
2014,39,0.057828259614587166,1.2018890624373448,27.03558970629632,17.42134152210441,2.4758562964680513,9.973866897342539
2015,40,0.0584899180026144,9.284325016992181,49.853648178932154,17.101010685806976,2.412118934487565,10.107408567939322
2016,41,0.048260414432891266,1.0816971008914558,53.320111568921064,17.129069736160435,2.41881535796528,10.749686769874959
2017,42,0.050852988091699816,0.9755551285459362,55.98115854756236,17.77554150241922,2.5517689111488298,11.870828499635802
2018,43,0.055543267364053156,0.90949120930526,57.78893854446999,20.57681101598657,3.130576131264209,15.00053122008868
2019,NA,NA,NA,59.72786113371988,32.45626627511459,5.429850519313019,18.14904315977418
