Parameter,Estimate,se
fsh_logq,-17.990660365440306,0.02960037934930408
fsh_logq.1,-17.59126928968373,0.02392951879371523
srv_logq,-17.109628572917774,0.018516286826385696
mr_logq,-0.0748095569497955,0.009657054371781808
log_rbar,13.147180780876717,0.11663890304842961
log_rinit,13.50483634984237,0.17694263027979834
log_Fbar,-3.176622011058177,0.3303664942571371
log_spr_Fxx,-2.236073993735739,0.26126259707845323
log_spr_Fxx.1,-2.4171135185756008,0.25184103052840795
log_spr_Fxx.2,-2.769080126747595,0.2491884030549416
log_spr_Fxx.3,-3.131120242469497,0.26636332769730753
log_spr_Fxx.4,-3.5350589855597225,0.31086100136841255
pred_rec,1216181.9416094597,949827.5676540722
pred_rec.1,1384249.719062557,1203700.014689633
pred_rec.2,7415138.80347997,4981773.420000491
pred_rec.3,1561671.6961516282,1495641.5743503137
pred_rec.4,1470260.5964020488,1309222.0711216114
pred_rec.5,16725344.888742521,3274661.2127199634
pred_rec.6,1153476.3415043885,871405.1755330334
pred_rec.7,1089209.2281784732,779413.1034874618
pred_rec.8,1055953.5577146984,711050.0976300036
pred_rec.9,1069363.6604923555,685243.8103788784
pred_rec.10,1096996.1937908754,677691.8774898673
pred_rec.11,1084994.7557318176,645273.1404131206
pred_rec.12,1010762.5558142823,560046.7244534026
pred_rec.13,773353.60916286,401373.2757810788
pred_rec.14,589996.0591871568,289177.8196959677
pred_rec.15,540774.9623092547,255141.28863730936
pred_rec.16,622486.2652165764,282406.8750592727
pred_rec.17,751196.0598630776,310515.46799313545
pred_rec.18,658539.4374783619,273227.6200656155
pred_rec.19,555635.294793251,232996.48026326677
pred_rec.20,673898.5940064923,266345.71139144443
pred_rec.21,1146365.9286066848,328223.0081738104
pred_rec.22,929101.3856546928,366768.00638902816
pred_rec.23,2441147.4478536495,435176.53704271873
pred_rec.24,1288023.527619225,452478.35528631596
pred_rec.25,1664001.7127215655,432576.53247566783
pred_rec.26,1209717.8811467302,392442.44169545005
pred_rec.27,847730.9454253674,324101.1517461946
pred_rec.28,771142.7652389847,275471.4190862616
pred_rec.29,717008.1747212234,255851.19271495033
pred_rec.30,826065.7599321592,242548.57222374566
pred_rec.31,668039.6498456288,221491.180805811
pred_rec.32,582399.5576364319,194833.00792084148
pred_rec.33,490397.36983398197,192254.4163081809
pred_rec.34,1458862.7185844772,230485.36110702553
pred_rec.35,695523.9310747897,182690.0222709499
pred_rec.36,271849.93691963045,107138.84837139599
pred_rec.37,416943.107205486,130363.73355612376
pred_rec.38,601067.4512832938,171328.95021515928
pred_rec.39,781119.8588766359,228771.18761879846
pred_rec.40,2139709.849252357,321317.1250087985
pred_rec.41,1216615.830250863,374305.69720894
pred_rec.42,1877543.2252098508,477956.96786500973
pred_rec.43,3308807.93810247,616255.6798203056
pred_rec.44,861956.6262590307,512877.49529198685
pred_rec.45,1234280.7268511294,864672.8568137923
