Parameter,Estimate,se
fsh_logq,-18.017695890224072,0.030736544356526285
fsh_logq.1,-17.76084902994944,0.03072096898271089
srv_logq,-17.207938179537194,0.0249416500898176
mr_logq,-0.04901524212068463,0.009824451884665754
log_rbar,13.141818952511981,0.12977019783054833
log_rinit,13.53450372039594,0.1772315744397333
log_Fbar,-3.1800155862118906,0.35900515227603463
log_spr_Fxx,-2.236845456266327,0.261365454788458
log_spr_Fxx.1,-2.4179634300755937,0.25196075990179706
log_spr_Fxx.2,-2.7701314336245195,0.24935805469026132
log_spr_Fxx.3,-3.132468963727807,0.2666244486908456
log_spr_Fxx.4,-3.536895806270676,0.31131785367933873
pred_rec,1207356.688400996,944175.470215571
pred_rec.1,1372043.02179104,1192055.990317999
pred_rec.2,7587677.874643146,5069173.029950632
pred_rec.3,1539614.7673823005,1466456.8149272744
pred_rec.4,1452253.745194207,1290945.8975047811
pred_rec.5,17182488.795024868,3349960.452765801
pred_rec.6,1146383.610336449,868257.3005981914
pred_rec.7,1086153.9885608663,780870.5581500643
pred_rec.8,1059132.258293563,718635.6325370538
pred_rec.9,1084260.953412024,702107.0443578368
pred_rec.10,1122220.0102675336,700898.4627717331
pred_rec.11,1108334.7788241333,664990.5847705321
pred_rec.12,1012034.6138372127,565782.2408818211
pred_rec.13,775109.8038859891,404367.2152442455
pred_rec.14,593386.1339584761,292409.7132721394
pred_rec.15,548767.1939724073,260855.59277276596
pred_rec.16,639710.1157037308,294119.1509858248
pred_rec.17,794123.3837168366,331607.86949491926
pred_rec.18,700334.5720392019,295855.9243430058
pred_rec.19,595383.0641474874,255070.1953527338
pred_rec.20,733653.7304092593,295522.09056768427
pred_rec.21,1261015.5910096331,363721.8328416979
pred_rec.22,985701.9759993168,403080.0128832859
pred_rec.23,2655039.791254016,479325.57422736846
pred_rec.24,1393001.8028954146,497071.66231505934
pred_rec.25,1773433.0221919816,469062.3864217715
pred_rec.26,1252188.4764928254,414901.25420421147
pred_rec.27,852998.4272163374,334748.24960106815
pred_rec.28,778481.9166916336,286298.00847692473
pred_rec.29,775179.6816821921,271368.45116213517
pred_rec.30,832207.2829162236,254392.2710105434
pred_rec.31,677632.1536349728,236591.06446894535
pred_rec.32,667218.6243617816,220421.02530473605
pred_rec.33,517386.40826111485,222134.92196258812
pred_rec.34,2107800.1477922704,334177.9169239361
pred_rec.35,978867.5109991585,294995.7785865193
pred_rec.36,302346.23646386113,135422.76675577977
pred_rec.37,412052.3396127487,199987.60445099723
pred_rec.38,678891.8594901861,403943.3699008419
