Parameter,Estimate,se
fsh_logq,-18.015684435394235,0.03020705780737461
fsh_logq.1,-17.691419727847716,0.027662948792734034
srv_logq,-17.179276495241293,0.022295152314066497
mr_logq,-0.06031001669799195,0.009772166862456907
log_rbar,13.174597879258704,0.12116999961930047
log_rec_devs,0.8637184118622895,0.7726412843914652
log_rec_devs.1,0.9958380387394544,0.8623113663156647
log_rec_devs.2,2.65639184994478,0.6954269511006641
log_rec_devs.3,1.1203303110785936,0.9507726983731684
log_rec_devs.4,1.0594817840948692,0.8804767912810121
log_rec_devs.5,3.472456190787803,0.2565319111172717
log_rec_devs.6,0.810838194787634,0.746340115424622
log_rec_devs.7,0.7506268518661154,0.7090750747404775
log_rec_devs.8,0.7170107937218023,0.6711030501333403
log_rec_devs.9,0.7283548297647261,0.6442327896827328
log_rec_devs.10,0.7507962887417661,0.6271470872432517
log_rec_devs.11,0.7438716756507694,0.6084957709829908
log_rec_devs.12,0.6829544988273162,0.5685552563393111
log_rec_devs.13,0.4097526348400014,0.5307684573674647
log_rec_devs.14,0.12429506331910838,0.5008959497203681
log_rec_devs.15,0.04116698497709545,0.4835014301895852
log_rec_devs.16,0.19166864716986412,0.4687979062441502
log_rec_devs.17,0.39436595443999317,0.43210400595817827
log_rec_devs.18,0.264153467940595,0.4334478906985271
log_rec_devs.19,0.10081080856260571,0.4367296215643826
log_rec_devs.20,0.30594676640248203,0.4115524289675113
log_rec_devs.21,0.8337583233945364,0.3167174979739109
log_rec_devs.22,0.6145072946849236,0.4089312378677308
log_rec_devs.23,1.580777351222186,0.22271559511380526
log_rec_devs.24,0.9566285352182919,0.36392030266186964
log_rec_devs.25,1.1834054895994894,0.29460945502656455
log_rec_devs.26,0.8809723312608218,0.3445444149947869
log_rec_devs.27,0.5102214856338746,0.4047348630605117
log_rec_devs.28,0.4271689495086594,0.3812616515938568
log_rec_devs.29,0.39164344252568417,0.37084382021430795
log_rec_devs.30,0.48061557286081563,0.32589705053818563
log_rec_devs.31,0.28433845969064436,0.36007135693912695
log_rec_devs.32,0.23838625637934946,0.35103576928681485
log_rec_devs.33,0.03091405344419705,0.41490463142251066
log_rec_devs.34,1.1501110027036,0.20495932672623388
log_rec_devs.35,0.46089468496925506,0.2865582237198552
log_rec_devs.36,-0.511431499156877,0.41937890384047233
log_rec_devs.37,-0.04866338802083265,0.3348946846749642
log_rec_devs.38,0.18738216960127274,0.3322633663023646
log_rec_devs.39,0.43860841993802346,0.35451157465456673
log_rec_devs.40,1.7200820853837415,0.21584848091815104
log_rec_devs.41,1.2950899261163686,0.43210419613147877
log_rec_devs.42,0.6697590146823069,0.6473394672616322
log_rinit,13.529237891975024,0.17711006255621717
log_rinit_devs,0.9497167228465655,0.7999644356019138
log_rinit_devs.1,0.9764811702070001,0.7961419875824552
log_rinit_devs.2,0.8908765416734329,0.7619587239043772
log_rinit_devs.3,0.9610404153424948,0.7932869157204462
log_rinit_devs.4,0.9911348849565687,0.8082684760494494
log_rinit_devs.5,0.9831854283603474,0.804040291331818
log_rinit_devs.6,0.94413636053346,0.7864525396263792
log_rinit_devs.7,0.8165380344792068,0.739029543199608
log_rinit_devs.8,0.7416199191423778,0.7137716922475054
log_rinit_devs.9,0.6991818826610702,0.7002186187395807
log_rinit_devs.10,0.6656940627145664,0.6898433183830337
log_rinit_devs.11,0.6483662446762208,0.6845191348741692
log_rinit_devs.12,0.6353178686297158,0.680524826639587
log_rinit_devs.13,0.6207146936250171,0.6761240249632717
log_rinit_devs.14,0.6184169906300703,0.6753141798102954
log_rinit_devs.15,0.6178127137165255,0.675007942169678
log_rinit_devs.16,0.6175656133004931,0.674820791455133
log_rinit_devs.17,0.6158843584246114,0.6742275676929411
log_rinit_devs.18,0.6195761776428886,0.6752154079282892
log_rinit_devs.19,0.6235882089959947,0.6763187161468536
log_rinit_devs.20,0.628350500075282,0.6776668913258819
log_rinit_devs.21,0.6331010887657852,0.6790347247025629
log_rinit_devs.22,0.6380782796142449,0.6804932095295169
log_rinit_devs.23,0.6436178546590182,0.682145696701713
log_rinit_devs.24,0.6503547121699427,0.6841936419456114
log_rinit_devs.25,0.6565402829991049,0.6860986141827559
log_rinit_devs.26,0.6622164034517078,0.6878677968021037
log_rinit_devs.27,0.6674221154277915,0.6895084079868157
log_Fbar,-3.2133404765455853,0.3418251702802944
log_F_devs,-0.5554119733212121,0.35550735118288485
log_F_devs.1,-0.5736803357583508,0.3534793756813145
log_F_devs.2,-1.13107858876148,0.352152375781203
log_F_devs.3,-0.7951281697369506,0.35128756867900696
log_F_devs.4,-0.39475041794963234,0.34908279436008605
log_F_devs.5,-0.7348031769138099,0.3459045440546205
log_F_devs.6,-1.037801197461349,0.3434924016688732
log_F_devs.7,-0.963812461211855,0.3430541708874617
log_F_devs.8,-0.6467405291159805,0.3430196557759721
log_F_devs.9,-0.7666336822664234,0.34236538512671755
log_F_devs.10,-0.34890587600891676,0.34218930235908956
log_F_devs.11,-0.020988297628264783,0.34185718862970665
log_F_devs.12,-0.05892827210775986,0.3417822081537166
log_F_devs.13,0.024038446867067367,0.34173819567551417
log_F_devs.14,-0.032198600924618924,0.3417048539958504
log_F_devs.15,-0.10133108737871867,0.3417185696833963
log_F_devs.16,0.13583055828025306,0.34173520863276824
log_F_devs.17,0.3000069245801409,0.34173246213253605
log_F_devs.18,0.691545370588843,0.3417415808806885
log_F_devs.19,0.5907736067982895,0.34172657970314696
log_F_devs.20,0.6658897913701718,0.3417280827587889
log_F_devs.21,0.8030956690609289,0.3417423574150965
log_F_devs.22,0.9411796533986105,0.34174967559220426
log_F_devs.23,1.0609910931054563,0.3417663810244519
log_F_devs.24,0.7346172077450865,0.34177726914879136
log_F_devs.25,0.8275826176079356,0.34180898600455695
log_F_devs.26,0.5264913224711488,0.34182267648327713
log_F_devs.27,0.4661393585458059,0.34183350856392475
log_F_devs.28,0.45785038324157507,0.34184013652930284
log_F_devs.29,0.5500995126716194,0.34185795907805067
log_F_devs.30,0.48245918305653246,0.3418815290603385
log_F_devs.31,0.48452285745618007,0.34190755080510254
log_F_devs.32,0.22848433473258595,0.3419326604485626
log_F_devs.33,0.26047884737801313,0.34195267192290296
log_F_devs.34,-0.030989139577739015,0.3419744089336899
log_F_devs.35,-0.061530078916334385,0.34199249090673883
log_F_devs.36,-0.22806619537926576,0.34200860369921826
log_F_devs.37,-0.10448057030676165,0.3420198008260492
log_F_devs.38,-0.12015990301565349,0.34203617031732286
log_F_devs.39,-0.31504897764552287,0.3420577954060463
log_F_devs.40,-0.30250382686688654,0.34208338122286025
log_F_devs.41,-0.48074335341295876,0.34210828974990903
log_F_devs.42,-0.4263620336329882,0.34213329533853337
log_spr_Fxx,-2.2385835389216497,0.2615973956011545
log_spr_Fxx.1,-2.419878510520656,0.2522308005081621
log_spr_Fxx.2,-2.772501104016079,0.24974091866977333
log_spr_Fxx.3,-3.1355104951798434,0.26721430348398295
log_spr_Fxx.4,-3.541041362832947,0.31235154035975055
pred_rec,1249577.7986207965,976797.1502451685
pred_rec.1,1426074.2081783863,1244440.119672576
pred_rec.2,7504322.375277285,5118911.09033264
pred_rec.3,1615133.5267725538,1559395.9954627769
pred_rec.4,1519785.3463653584,1361759.3605817885
pred_rec.5,16971636.544135626,3359831.3234418244
pred_rec.6,1185216.568458957,896221.0447426421
pred_rec.7,1115959.0538199702,797719.2406248408
pred_rec.8,1079068.4417812785,724768.6170932027
pred_rec.9,1091379.127490181,697118.6673796143
pred_rec.10,1116148.1544552606,687417.6460003817
pred_rec.11,1108445.9584738275,658117.6818046558
pred_rec.12,1042938.0936368158,576324.8167448024
pred_rec.13,793612.4430677387,411193.133056323
pred_rec.14,596534.8497754083,292066.8847596482
pred_rec.15,548951.2200827608,258753.37299271682
pred_rec.16,638110.3606407864,289781.58209247835
pred_rec.17,781494.8459112,322761.86893428816
pred_rec.18,686081.2549888609,285949.79365274304
pred_rec.19,582688.890749848,245860.0967266583
pred_rec.20,715362.4709960421,283607.5226696013
pred_rec.21,1212695.5930663405,349014.32675140037
pred_rec.22,973940.1897811139,388565.0096134211
pred_rec.23,2559635.0059265075,461694.87702852604
pred_rec.24,1371240.5711877209,479998.2572055023
pred_rec.25,1720289.8789424405,456666.63555345463
pred_rec.26,1271324.9858434505,412317.7554015456
pred_rec.27,877488.7071482097,339767.40504243533
