Parameter,Estimate,se
fsh_logq,-18.011236263970414,0.03068760097200435
fsh_logq.1,-17.76192949587099,0.03113877839037474
srv_logq,-17.20185329559282,0.02521519605005877
mr_logq,-0.046741100113848896,0.009829415002003147
log_rbar,13.187228910295245,0.13089858211717995
log_rec_devs,0.8147788208836324,0.727364899395777
log_rec_devs.1,0.8675458396722409,0.7471215592943476
log_rec_devs.2,0.9154748126154193,0.7742643736423953
log_rec_devs.3,0.881457823784196,0.7702511422353089
log_rec_devs.4,3.7029249886429287,0.21159520599119458
log_rec_devs.5,0.9599686366354894,0.8062983186635978
log_rec_devs.6,1.0083538610207485,0.8006025776531955
log_rec_devs.7,1.0894870088000792,0.7838614463293762
log_rec_devs.8,1.0550452218245019,0.7398834544218675
log_rec_devs.9,0.9249643256951069,0.6987488217727769
log_rec_devs.10,0.8023084406334645,0.6513354909355783
log_rec_devs.11,0.6874983514110081,0.6045443513379326
log_rec_devs.12,0.5731819555997708,0.5608480991133391
log_rec_devs.13,0.34972313080032047,0.5240148965967235
log_rec_devs.14,0.10596508001553905,0.49834833966188363
log_rec_devs.15,0.03146206371445931,0.48289735574843506
log_rec_devs.16,0.17306566752442312,0.4695066310719838
log_rec_devs.17,0.37836053429358724,0.4352538168660489
log_rec_devs.18,0.2716393940445663,0.4337134318434046
log_rec_devs.19,0.10000583689643709,0.44016547271968787
log_rec_devs.20,0.3116090698707599,0.4149299075102213
log_rec_devs.21,0.8603890364048099,0.3180525574588531
log_rec_devs.22,0.6174600609383332,0.4140290893479248
log_rec_devs.23,1.5835997044660373,0.23014543293280607
log_rec_devs.24,1.0000399059607505,0.3563316489859891
log_rec_devs.25,1.1151446165580052,0.31127334344002844
log_rec_devs.26,0.8951253815158251,0.3311443176305138
log_rec_devs.27,0.3922370425702742,0.4137109732667843
log_rec_devs.28,0.3251362974872797,0.3829728444610912
log_rec_devs.29,0.34004906584939826,0.3641040243361033
log_rec_devs.30,0.3879397206019229,0.3359831582561681
log_rec_devs.31,0.27148668221046923,0.35921792865078006
log_rec_devs.32,0.20388238923022792,0.3653041882293059
log_rec_devs.33,0.0239265733846998,0.4447121042133586
log_rec_devs.34,1.2902172059498416,0.2631030219617926
log_rec_devs.35,1.4065600936417753,0.28443952350426094
log_rec_devs.36,0.1479064569364206,0.5481614255486362
log_rec_devs.37,0.4940789019174046,0.623698991450033
log_rinit,13.547107769166486,0.16729759644848077
log_rinit_devs,0.9401434213592765,0.7481972831610888
log_rinit_devs.1,1.0063269080142412,0.7845917951148573
log_rinit_devs.2,0.921124547994977,0.7702244900385636
log_rinit_devs.3,0.9848859831124559,0.8034473877684166
log_rinit_devs.4,0.9994378181467979,0.8118028923700362
log_rinit_devs.5,0.9796867933598101,0.8012736373241209
log_rinit_devs.6,0.9349442766358288,0.7811508994627011
log_rinit_devs.7,0.8101449764135173,0.7356627791481667
log_rinit_devs.8,0.736740317543974,0.7113036922981536
log_rinit_devs.9,0.6943286863408588,0.6979779381593806
log_rinit_devs.10,0.6611838032621603,0.6878585611715485
log_rinit_devs.11,0.6442963151578373,0.6827822340567905
log_rinit_devs.12,0.631450337742915,0.6789303507884906
log_rinit_devs.13,0.6169538780353448,0.6746240820153954
log_rinit_devs.14,0.6147517931995564,0.6738990600700955
log_rinit_devs.15,0.6144244973196061,0.6737196884036465
log_rinit_devs.16,0.6143655830762402,0.6736224953640141
log_rinit_devs.17,0.6129773448663253,0.6731418537890025
log_rinit_devs.18,0.6168424374016528,0.6742060364051968
log_rinit_devs.19,0.6210356794034692,0.6753842296058948
log_rinit_devs.20,0.6260517748617417,0.6768257660307129
log_rinit_devs.21,0.6310628039691699,0.6782864145335084
log_rinit_devs.22,0.6362443564530558,0.6798189510844196
log_rinit_devs.23,0.6419638407222977,0.6815373821226259
log_rinit_devs.24,0.6488351990870967,0.6836372236561788
log_rinit_devs.25,0.6551460601252855,0.6855900410809764
log_rinit_devs.26,0.6609389015636346,0.6874033797117644
log_rinit_devs.27,0.6662531579886618,0.6890847148809297
log_Fbar,-3.1643671282952055,0.3636227540531079
log_F_devs,-0.6210865494956864,0.37442743409096263
log_F_devs.1,-0.6409440025011397,0.3718365700377253
