Parameter,Estimate,se
fsh_logq,-18.020708734608,0.03027081344109664
fsh_logq.1,-17.730138587630364,0.028472508443434404
srv_logq,-17.19760981442747,0.022886302889270457
mr_logq,-0.0552280453939097,0.00978360203241869
log_rbar,13.100682236573993,0.12478522576768183
log_rinit,13.56051953944271,0.16663619960554796
log_Fbar,-3.2005941373594937,0.3500051409575339
log_spr_Fxx,-2.238124218746029,0.26153605615866826
log_spr_Fxx.1,-2.4193723811341283,0.25215937611995237
log_spr_Fxx.2,-2.7718747260331567,0.2496396195909224
log_spr_Fxx.3,-3.1347063233862706,0.26705816189939435
log_spr_Fxx.4,-3.539944844520712,0.31207769149434395
pred_rec,1103106.3804407206,817106.9390327083
pred_rec.1,1154601.2398594515,876659.2702830678
pred_rec.2,1200740.1538090035,939786.8559992996
pred_rec.3,1162458.1266661761,903121.335017627
pred_rec.4,22454032.56905174,2538361.179822211
pred_rec.5,1260540.5556347112,1024005.6845113547
pred_rec.6,1346633.476278383,1101386.8453298977
pred_rec.7,1515872.1344534338,1243796.4158294438
pred_rec.8,1548948.831747045,1204038.719871606
pred_rec.9,1405253.5914924624,1028309.1485208098
pred_rec.10,1208671.2034320256,813699.4935389512
pred_rec.11,1069936.089045441,661367.1362015014
pred_rec.12,955848.4743987592,542589.0458987744
pred_rec.13,765865.7273950643,403198.4930472713
pred_rec.14,599467.532719123,298827.52835830336
pred_rec.15,557591.7140801292,268303.1374710242
pred_rec.16,644095.7096308243,299814.8524867569
pred_rec.17,789907.491137218,335036.5850461485
pred_rec.18,699866.1070900658,297614.2378177919
pred_rec.19,585242.2760154841,253196.02518052037
pred_rec.20,716982.4130565498,291806.48225033854
pred_rec.21,1251199.227852814,359302.8691101732
pred_rec.22,961407.9934335315,397347.92356764793
pred_rec.23,2566502.6149797016,473017.9231378374
pred_rec.24,1426815.4423318126,493696.33227561566
pred_rec.25,1623086.0174251054,465221.07315297035
pred_rec.26,1348753.6075077143,416439.5441919884
pred_rec.27,824327.2126065588,334648.27877386473
pred_rec.28,781030.1873483472,288470.2399348228
pred_rec.29,788249.0461154887,276689.43851343915
pred_rec.30,824528.9514458695,265368.94448074343
pred_rec.31,782272.8993341448,261049.7627492397
pred_rec.32,734516.1733851435,238366.53949833123
pred_rec.33,505800.6895720648,221548.82113474567
pred_rec.34,2107610.510592888,303587.1548680953
pred_rec.35,933256.4876477491,248668.17908818126
pred_rec.36,280991.0994694027,118261.39531552073
pred_rec.37,382853.5857238374,143424.4353976128
pred_rec.38,657769.1665614326,222576.90645610602
pred_rec.39,754947.1707277531,354578.08584368194
pred_rec.40,949031.5488974507,588052.9562506508
