Parameter,Estimate,se
fsh_logq,-17.95257652627028,0.029087159625081575
fsh_logq.1,-17.46050466044641,0.02149543021023836
srv_logq,-16.99929967252833,0.015884881504423163
mr_logq,-0.0936441896732944,0.00952658425811945
log_rbar,13.106301061616392,0.11383321004473149
log_rinit,13.433936562496289,0.16975638550089364
log_Fbar,-3.0940986748487336,0.32328800861184775
log_spr_Fxx,-2.236035430772119,0.26125744620944247
log_spr_Fxx.1,-2.4170710360177163,0.25183503413090436
log_spr_Fxx.2,-2.769027583166434,0.24917990627146164
log_spr_Fxx.3,-3.131052844910639,0.2663502538204167
log_spr_Fxx.4,-3.534967220499391,0.31083814477963384
pred_rec,1007767.0779139134,712980.9635154806
pred_rec.1,1067572.276707753,781900.1823697872
pred_rec.2,1171868.4626318405,912027.1387585605
pred_rec.3,17177697.181922313,3287756.1758299163
pred_rec.4,1423292.4151458715,1272162.9387963375
pred_rec.5,1629790.3913546444,1673426.31079813
pred_rec.6,6957624.550649266,3411956.086084203
pred_rec.7,1424110.0828769936,1303028.137848504
pred_rec.8,1212697.8179162093,924624.7964438789
pred_rec.9,1082043.707532825,725145.4306514771
pred_rec.10,1011920.775736861,627513.0560763591
pred_rec.11,979651.9935657041,576960.8438910474
pred_rec.12,932049.4772866684,512802.355573138
pred_rec.13,745049.5298666891,383666.45573840133
pred_rec.14,565982.4750702033,276635.72767446015
pred_rec.15,514590.6589839292,242035.31016398434
pred_rec.16,587342.1093927611,265418.56480904133
pred_rec.17,706641.1456552767,291034.23495698255
pred_rec.18,622807.7188837035,255815.66413515407
pred_rec.19,517106.0201679293,214703.01530789942
pred_rec.20,610916.6276985657,241205.9835278811
pred_rec.21,1052237.8396179683,300503.5440897653
pred_rec.22,889652.0636991127,340928.01508990437
pred_rec.23,2183073.075503918,403227.3737893118
pred_rec.24,1258909.3783843722,418156.2239638164
pred_rec.25,1448405.881713853,393885.6263415116
pred_rec.26,1151427.118722745,352766.1817226505
pred_rec.27,745979.2760236925,285155.9797880022
pred_rec.28,683976.6088552953,242025.70941148087
pred_rec.29,658885.9483900324,228322.30007398353
pred_rec.30,743262.4098882913,218235.4939095994
pred_rec.31,625239.7198563749,201296.74615983397
pred_rec.32,529624.9606961819,176372.21589965431
pred_rec.33,449873.26478961227,173688.4140281824
pred_rec.34,1299831.7668577647,207091.08616208186
pred_rec.35,643626.132316424,164600.3690970467
pred_rec.36,247173.36234463044,96046.80480707527
pred_rec.37,366467.89406144025,113072.47545949776
pred_rec.38,510328.93227657786,144842.25044997752
pred_rec.39,673935.0732960026,191580.83849298494
pred_rec.40,1714445.3408728875,267004.85122269177
pred_rec.41,1190193.056108899,322288.9775420383
pred_rec.42,1564095.6377373165,399580.6484434537
pred_rec.43,4781681.133068749,465656.8866821788
pred_rec.44,764383.3967339584,375244.2244916519
pred_rec.45,1201724.002645457,466636.4299969772
pred_rec.46,1878569.087885903,810354.5641791414
pred_rec.47,1431839.3271873738,1032086.3485855418
