Likelihood component,Likelihood,Percent of data likelihood
Catch,14.345415190151662,0.8047079366885053
Fishery CPUE,186.97944661718125,10.488636452555662
Survey CPUE,92.31649011347828,5.178505557130307
Mark-recapture abundance,91.44293396316613,5.129503310908682
Fishery ages,222.56610036382153,12.484874437341684
Survey ages,270.0614303214843,15.149131167869015
Fishery lengths,361.8528549361572,20.298183107340346
Survey lengths,543.121261627668,30.4664580301658
Data likelihood,1782.6859331331084,100
Fishing mortality penalty,1.3424252575574607,0.07530351996428894
Recruitment likelihood,-8.170513068353532,-0.45832599654801126
SPR penalty,3.350871584200909e-26,1.8796757869243297e-27
Sum of catchability priors,10.065675905078574,0.5646354031294752
Total likelihood,1785.9235212273907,100.18161292654575
