Year,Project,Trip No,Adfg No,Vessel Name,Effort No,Station No,G Stat Area,Species,Specimen No,Otolith Number,Sex,Maturity,Length Type Code,Length Millimeters,Weight Kilograms,Age,Age Type,Age Readability Code,Age Readability,Specimen Comment
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,1,1,Female,Mature,01,640,2.9,9,,03,Fairly Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,2,2,Male,Immature,01,510,1.3,6,,03,Fairly Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,3,3,Female,Immature,01,580,2,5,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,4,4,Male,Mature,01,650,2.9,9,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,5,5,Male,Mature,01,620,2.8,7,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,6,6,Male,Mature,01,600,2.3,8,,01,Very Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,7,7,Male,Mature,01,600,2.3,7,,03,Fairly Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,8,8,Male,Mature,01,590,2.1,7,,01,Very Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,9,,Not observed,Not Observed,01,640,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,10,,Not observed,Not Observed,01,640,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,11,,Not observed,Not Observed,01,700,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,12,,Not observed,Not Observed,01,660,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,13,9,Female,Mature,01,760,5.2,8,,04,Somewhat Unsure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,14,10,Male,Immature,01,580,1.5,8,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,15,11,Female,Mature,01,590,2.2,12,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,16,,Not observed,Not Observed,01,630,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,17,,Not observed,Not Observed,01,590,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,18,,Not observed,Not Observed,01,590,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,19,,Not observed,Not Observed,01,660,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,20,,Not observed,Not Observed,01,610,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,21,,Not observed,Not Observed,01,590,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,22,12,Male,Mature,01,580,2.1,6,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,23,13,Female,Mature,01,780,5.4,10,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,24,14,Male,Mature,01,590,2.3,7,,01,Very Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,25,15,Female,Mature,01,620,2.5,11,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,26,16,Male,Immature,01,570,2,8,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,27,,Not observed,Not Observed,01,600,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,28,,Not observed,Not Observed,01,650,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,29,17,Female,Immature,01,600,2.3,4,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,30,18,Male,Mature,01,680,3.1,16,,03,Fairly Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,31,,Not observed,Not Observed,01,540,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,32,,Not observed,Not Observed,01,560,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,33,,Not observed,Not Observed,01,570,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,34,,Not observed,Not Observed,01,630,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,1,52,345603,Sablefish,35,,Not observed,Not Observed,01,610,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,2,58,345603,Sablefish,1,19,Female,Mature,01,610,2.4,10,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,2,58,345603,Sablefish,2,,Not observed,Not Observed,01,680,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,2,58,345603,Sablefish,3,20,Female,Mature,01,600,2.4,10,,02,Comfortably Sure,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,2,58,345603,Sablefish,4,,Not observed,Not Observed,01,580,,,,,,
2023,Chatham Sablefish LL Survey,1,66376,Tammy Lin,2,58,345603,Sablefish,5,,Not observed,Not Observed,01,680,,,,,,
