Parameter,Estimate,se,,,,
log_fsh_slx_pars,0.9125483052920244,3.9057100989965994,,,2.490661419,m_a50_tb1
log_fsh_slx_pars.1,0.7100185320641648,3.9057100989965994,,,2.034028953,m_a50_tb2
log_fsh_slx_pars.2,-0.104329996,233.39613250665536,,,0.900927946,m_slo_tb1
log_fsh_slx_pars.3,3.0302274417706028,233.39613250665536,,,20.70194054,m_slo_tb2
log_fsh_slx_pars.4,0.29099676461436047,1.5961946762558072,,,1.337760256,f_a50_tb1
log_fsh_slx_pars.5,0.33668402852001006,1.5961946762558072,,,1.40029654,f_a50_tb2
log_fsh_slx_pars.6,0.5649000097768521,7.826878900397922,,,1.759271864,f_slope_tb1
log_fsh_slx_pars.7,1.8049768846657257,7.826878900397922,,,6.07983091,f_slo_tb2
log_srv_slx_pars,1.9152886449132698,0.18467999015824857,,,6.788898095,m_a50_tb2
log_srv_slx_pars.1,0.078381631,1.9897451556550376,,,1.081535327,m_a50_tb3
log_srv_slx_pars.2,-0.866997616,0.2331436358939072,,,0.420211293,m_slo_tb2
log_srv_slx_pars.3,2.926417928162609,26.392849764015136,,,18.66066678,m_slo_tb3
log_srv_slx_pars.4,0.9543074326354622,0.2852929004113364,,,2.596871452,f_a50_tb1
log_srv_slx_pars.5,1.465193265929874,0.10104569953340273,,,4.328379688,f_a50_tb2
log_srv_slx_pars.6,0.076423939,1.5408391188960828,,,1.079420086,f_a50_tb3
log_srv_slx_pars.7,0.12334768997455212,0.47038195694916013,,,1.131277686,f_slope_tb1
log_srv_slx_pars.8,-0.264822808,0.17288067490631367,,,0.767341905,f_slo_tb2
log_srv_slx_pars.9,2.9354060433686713,20.941642810420927,,,0.767341905,f_slo_tb3
fsh_logq,-17.51947834,0.046409505,,,,
fsh_logq.1,-17.16914903,0.027057470584964445,,,,
fsh_logq.2,-17.19672601,0.088941551,,,,
srv_logq,-16.660603,0.067372134,,,,
srv_logq.1,-16.21253267,0.078452648,,,,
srv_logq.2,-16.86729976,0.03578265,,,,
mr_logq,-0.035373532,0.009800161,,,,
log_rbar,13.60071417791788,0.083131889,,,,
log_rec_devs,0.2944197546133527,0.5178458093537408,,,,
log_rec_devs.1,0.31385521247058995,0.5244937793255728,,,,
log_rec_devs.2,0.3301642963729942,0.5317216424100725,,,,
log_rec_devs.3,0.3164973683598433,0.5292843028872946,,,,
log_rec_devs.4,3.104271266397656,0.16075080356781002,,,,
log_rec_devs.5,0.2599697900037377,0.5103728367578116,,,,
log_rec_devs.6,0.247054654,0.5016750205620172,,,,
log_rec_devs.7,0.25720619247792087,0.49617525694506864,,,,
log_rec_devs.8,0.2643767669189461,0.48730957785233725,,,,
log_rec_devs.9,0.24616506184637046,0.47312847502912136,,,,
log_rec_devs.10,0.18141613163901343,0.4531592512859971,,,,
log_rec_devs.11,0.062250990430006606,0.4284762361036323,,,,
log_rec_devs.12,-0.073737791,0.4053195788015946,,,,
log_rec_devs.13,-0.211516958,0.38526049141542745,,,,
log_rec_devs.14,-0.333087324,0.36966125424761104,,,,
log_rec_devs.15,-0.403239054,0.3590787209225211,,,,
log_rec_devs.16,-0.420444858,0.3515041237448889,,,,
