year,index,Fmort,biom,expl_biom,expl_abd,spawn_biom
1975,0,0.038163747857197027,60.953859902916435,40.83844106556703,5.01172951808047,29.266329303288327
1976,1,0.03864345806062175,59.944309686566335,39.79241655364406,4.898594583228898,28.49207744433937
1977,2,0.022675131214643034,59.527159575504214,39.20942916829058,4.841548956256306,27.846690949284394
1978,3,0.03212998170497938,109.12369659941126,39.522146560737916,5.080996838232365,28.321782465146903
1979,4,0.048659855949436476,112.48268377759048,40.13268048673536,5.373796880038301,30.109160376659144
1980,5,0.03381667764488119,115.04174959290812,43.238557327499464,6.126106358098077,31.96608883377985
1981,6,0.023366680875297887,117.42908847310822,48.878338125502054,7.176018211480988,37.159778336147426
1982,7,0.023641579679768102,119.29921149446578,55.95089316539094,8.282062791153992,42.705628242203346
1983,8,0.030946981334310817,119.51294832459143,62.53587801972624,9.12607942148803,48.06569991165768
1984,9,0.026990279744587557,118.07112468923485,68.2639594241427,9.758490912660454,52.83915471252284
1985,10,0.041061100637104574,114.72166726433392,72.54043587310994,10.100426955640858,54.28036008155556
1986,11,0.05500838145817599,109.28393651059692,74.92211626033034,10.183655968945736,53.79398339012671
1987,12,0.05320443362055294,102.91844535189688,73.531760341421,9.75610471445486,51.9189476915656
1988,13,0.059210349013139645,96.08048684449352,71.02820470404022,9.218310591041934,49.55967314500519
1989,14,0.05515471977477842,89.21718607234735,67.89500395281402,8.635726031833572,46.663517128337716
1990,15,0.051652128611049876,82.81069506862156,64.07338818855834,7.9909004479121455,43.730263461702876
1991,16,0.06531648777805217,76.38333488222239,59.955662841101095,7.358358174124081,40.73935406648066
1992,17,0.07666507415050457,69.82204174870871,55.09541490215094,6.67067636968998,37.28882508657638
1993,18,0.11657611320284997,62.41509923347826,48.759252036968135,5.8387812371027925,33.52132775416525
1994,19,0.10835722504192327,55.377805349838766,42.96764910390285,5.110197794361489,29.21440980975599
1995,20,0.11532213531046734,49.4524568975388,39.32604147224127,4.768784626629526,25.632000566569655
1996,21,0.13468721659918123,44.29531507937194,34.02432630692335,4.130837930679164,22.336907512273346
1997,22,0.15515842557604534,40.4954798939037,29.178986961349743,3.572057790693467,19.23930314693972
1998,23,0.1774405884193005,38.603645929095165,24.783774607072942,3.0925723083086267,16.479136799002987
1999,24,0.13382159076232716,37.893892308408766,22.028053173573717,2.841652667943627,14.299638281910042
2000,25,0.1474505261039045,37.808265339683565,20.393967403980593,2.7551278634700553,13.1965234978491
2001,26,0.11109161600716327,37.34213868182305,19.937249823584434,2.818406602276526,12.553410815489588
2002,27,0.10411499375759617,36.703335012189484,20.159239302407702,2.9437633597066566,12.574671737533642
2003,28,0.10199116695717349,35.69009518581741,20.530240277808517,3.0445846177374514,12.813744473460563
2004,29,0.10956666942847683,34.387357537444174,20.672661748819134,3.071304984312558,13.021672100704789
2005,30,0.10095836283421784,33.267447360519164,20.607659371235158,3.0395278017617238,12.999053423310214
2006,31,0.09968477405160953,31.85427608376892,20.34613576220616,2.968527640138221,12.855530816862496
2007,32,0.07701718096693524,30.580037473558477,20.116221087749835,2.900564769025781,12.567794870533474
2008,33,0.07895336338157595,29.63121975670776,19.789101712394128,2.8205676008986122,12.359243197330903
2009,34,0.05967433158730003,30.296591241063666,19.50198787573246,2.749953582586838,12.1020698985814
2010,35,0.057690258235213385,30.148958796448202,19.27473108675749,2.6987253697907403,12.01265894713526
2011,36,0.0489984359844421,29.25885233178555,19.25500308238492,2.6934723571772423,11.93099524805462
2012,37,0.05603736665584528,28.339855679196223,19.248292740437936,2.6891314022983495,11.934690346585894
2013,38,0.055914362850912405,27.409961837403223,19.09909323615098,2.651148235836355,11.851660200435331
2014,39,0.04623131775163254,27.281134587710703,18.86228123399652,2.5899466518194574,11.739404491507534
2015,40,0.04685782880635073,29.675095948114215,18.578636933579673,2.53017320740582,11.718506660753732
2016,41,0.03880307038066486,32.634980874349495,18.509572423503442,2.527369874179365,11.72838515464008
2017,42,0.04106331836814811,34.035699816158456,18.901056298470504,2.631540745003057,11.906141801314455
2018,43,0.047247178954726216,46.99047685021826,19.766784530256164,2.8429312375183766,12.47366269748779
2019,44,0.04686537282681629,52.55204599544796,21.301928952754647,3.186193392143663,13.649058488623268
2020,45,0.05146629903867817,57.22516099778722,24.174809100002996,3.7921853168746362,15.153834161991108
2021,46,0.043950397922796425,59.64719315566029,28.08170526312805,4.511586372975124,17.458151181847512
2022,47,0.04351321430646356,60.48261231441284,30.015204446767235,4.690768111903812,19.939544373021995
2023,48,0.04110259378385764,60.9359795079749,33.46301498454053,5.140945126821885,22.31735781270544
2024,NA,NA,61.986177394561125,36.16021687083733,5.423337510547373,24.518584214051288
