age,sex,round_kg,Source,fork_length_cm,round_lb,easterncut_lb_0.63
2,Female,1.35,LL survey,51.66522876551996,2.98,1.88
3,Female,1.63,LL survey,54.421433287250274,3.59,2.26
4,Female,1.92,LL survey,56.95126489907128,4.23,2.66
5,Female,2.21,LL survey,59.2733160871126,4.87,3.07
6,Female,2.49,LL survey,61.40465229727364,5.49,3.46
7,Female,2.77,LL survey,63.360937354269055,6.11,3.85
8,Female,3.04,LL survey,65.15654857974262,6.7,4.22
9,Female,3.3,LL survey,66.80468245548705,7.28,4.59
10,Female,3.55,LL survey,68.31745160831963,7.83,4.93
11,Female,3.79,LL survey,69.70597382938503,8.36,5.27
12,Female,4.01,LL survey,70.98045378211435,8.84,5.57
13,Female,4.22,LL survey,72.15025799933645,9.3,5.86
14,Female,4.42,LL survey,73.22398372071798,9.74,6.14
15,Female,4.6,LL survey,74.20952207643877,10.14,6.39
16,Female,4.78,LL survey,75.11411608145816,10.54,6.64
17,Female,4.94,LL survey,75.94441386658956,10.89,6.86
18,Female,5.08,LL survey,76.70651753759421,11.2,7.06
19,Female,5.22,LL survey,77.4060280213743,11.51,7.25
20,Female,5.35,LL survey,78.04808622885307,11.79,7.43
21,Female,5.46,LL survey,78.63741083706073,12.04,7.59
22,Female,5.57,LL survey,79.17833296809758,12.28,7.74
23,Female,5.67,LL survey,79.6748280198405,12.5,7.88
24,Female,5.76,LL survey,80.13054488232626,12.7,8
25,Female,5.84,LL survey,80.54883275453125,12.87,8.11
26,Female,5.92,LL survey,80.93276575863253,13.05,8.22
27,Female,5.99,LL survey,81.28516553264753,13.21,8.32
28,Female,6.05,LL survey,81.60862196749221,13.34,8.4
29,Female,6.11,LL survey,81.90551224086109,13.47,8.49
30,Female,6.16,LL survey,82.17801828781408,13.58,8.56
31,Female,6.21,LL survey,82.42814283646742,13.69,8.62
2,Male,1.26,LL survey,50.70402128687952,2.78,1.75
3,Male,1.48,LL survey,52.81726645338518,3.26,2.05
4,Male,1.69,LL survey,54.68819426296538,3.73,2.35
5,Male,1.89,LL survey,56.34459027614002,4.17,2.63
6,Male,2.07,LL survey,57.811053994521785,4.56,2.87
7,Male,2.24,LL survey,59.1093641934267,4.94,3.11
8,Male,2.4,LL survey,60.258802363257864,5.29,3.33
9,Male,2.54,LL survey,61.27643906316146,5.6,3.53
10,Male,2.66,LL survey,62.17738743965641,5.86,3.69
11,Male,2.77,LL survey,62.97502767529824,6.11,3.85
12,Male,2.87,LL survey,63.681205700714,6.33,3.99
13,Male,2.96,LL survey,64.30640912112426,6.53,4.11
14,Male,3.04,LL survey,64.85992297007553,6.7,4.22
15,Male,3.11,LL survey,65.34996760351629,6.86,4.32
16,Male,3.17,LL survey,65.78382078211168,6.99,4.4
17,Male,3.22,LL survey,66.16792575486838,7.1,4.47
18,Male,3.27,LL survey,66.5079869492431,7.21,4.54
19,Male,3.31,LL survey,66.80905468884986,7.3,4.6
20,Male,3.34,LL survey,67.07560019692694,7.36,4.64
21,Male,3.37,LL survey,67.31158199945709,7.43,4.68
22,Male,3.4,LL survey,67.52050471410763,7.5,4.72
23,Male,3.42,LL survey,67.7054710980786,7.54,4.75
24,Male,3.45,LL survey,67.86922812783251,7.61,4.79
25,Male,3.46,LL survey,68.01420779504616,7.63,4.81
26,Male,3.48,LL survey,68.14256322465408,7.67,4.83
27,Male,3.49,LL survey,68.25620065138067,7.69,4.84
28,Male,3.5,LL survey,68.3568077296514,7.72,4.86
29,Male,3.51,LL survey,68.44587859732009,7.74,4.88
30,Male,3.52,LL survey,68.52473606543882,7.76,4.89
31,Male,3.53,LL survey,68.59455126361594,7.78,4.9
2,Combined,1.26,LL survey,NA,2.78,1.75
3,Combined,1.55,LL survey,NA,3.42,2.15
4,Combined,1.83,LL survey,NA,4.03,2.54
5,Combined,2.1,LL survey,NA,4.63,2.92
6,Combined,2.36,LL survey,NA,5.2,3.28
7,Combined,2.59,LL survey,NA,5.71,3.6
8,Combined,2.81,LL survey,NA,6.19,3.9
9,Combined,3.02,LL survey,NA,6.66,4.2
10,Combined,3.2,LL survey,NA,7.05,4.44
11,Combined,3.36,LL survey,NA,7.41,4.67
12,Combined,3.51,LL survey,NA,7.74,4.88
13,Combined,3.64,LL survey,NA,8.02,5.05
14,Combined,3.76,LL survey,NA,8.29,5.22
15,Combined,3.86,LL survey,NA,8.51,5.36
16,Combined,3.95,LL survey,NA,8.71,5.49
17,Combined,4.03,LL survey,NA,8.88,5.59
18,Combined,4.1,LL survey,NA,9.04,5.7
19,Combined,4.16,LL survey,NA,9.17,5.78
20,Combined,4.21,LL survey,NA,9.28,5.85
21,Combined,4.26,LL survey,NA,9.39,5.92
22,Combined,4.3,LL survey,NA,9.48,5.97
23,Combined,4.34,LL survey,NA,9.57,6.03
24,Combined,4.37,LL survey,NA,9.63,6.07
25,Combined,4.4,LL survey,NA,9.7,6.11
26,Combined,4.42,LL survey,NA,9.74,6.14
27,Combined,4.44,LL survey,NA,9.79,6.17
28,Combined,4.46,LL survey,NA,9.83,6.19
29,Combined,4.47,LL survey,NA,9.85,6.21
30,Combined,4.49,LL survey,NA,9.9,6.24
31,Combined,4.5,LL survey,NA,9.92,6.25
