Source,Sex,age,weight
LL survey,Female,2,1.2302
LL fishery,Female,2,2.438
LL survey,Male,2,1.1795
LL fishery,Male,2,1.6189
LL survey,Combined,2,1.2087
LL fishery,Combined,2,1.9114
LL survey,Female,3,1.545
LL fishery,Female,3,2.0158
LL survey,Male,3,1.4324
LL fishery,Male,3,1.9817
LL survey,Combined,3,1.5004
LL fishery,Combined,3,1.9986
LL survey,Female,4,1.9195
LL fishery,Female,4,2.4507
LL survey,Male,4,1.7151
LL fishery,Male,4,2.2805
LL survey,Combined,4,1.8311
LL fishery,Combined,4,2.3921
LL survey,Female,5,2.2612
LL fishery,Female,5,2.9459
LL survey,Male,5,1.9795
LL fishery,Male,5,2.4053
LL survey,Combined,5,2.1384
LL fishery,Combined,5,2.7634
LL survey,Female,6,2.5996
LL fishery,Female,6,3.2099
LL survey,Male,6,2.1813
LL fishery,Male,6,2.5803
LL survey,Combined,6,2.4081
LL fishery,Combined,6,2.9896
LL survey,Female,7,2.9922
LL fishery,Female,7,3.4486
LL survey,Male,7,2.3818
LL fishery,Male,7,2.7229
LL survey,Combined,7,2.7388
LL fishery,Combined,7,3.1988
LL survey,Female,8,3.1626
LL fishery,Female,8,3.643
LL survey,Male,8,2.4404
LL fishery,Male,8,2.7762
LL survey,Combined,8,2.85
LL fishery,Combined,8,3.3598
LL survey,Female,9,3.4777
LL fishery,Female,9,3.7937
LL survey,Male,9,2.6355
LL fishery,Male,9,2.9153
LL survey,Combined,9,3.1403
LL fishery,Combined,9,3.5147
LL survey,Female,10,3.6354
LL fishery,Female,10,3.9286
LL survey,Male,10,2.7286
LL fishery,Male,10,2.9398
LL survey,Combined,10,3.2653
LL fishery,Combined,10,3.6142
LL survey,Female,11,3.7472
LL fishery,Female,11,4.0184
LL survey,Male,11,2.7475
LL fishery,Male,11,3.0245
LL survey,Combined,11,3.3123
LL fishery,Combined,11,3.7012
LL survey,Female,12,3.8771
LL fishery,Female,12,4.2069
LL survey,Male,12,2.8996
LL fishery,Male,12,3.0477
LL survey,Combined,12,3.4951
LL fishery,Combined,12,3.8447
LL survey,Female,13,4.0124
LL fishery,Female,13,4.3535
LL survey,Male,13,2.8708
LL fishery,Male,13,3.1266
LL survey,Combined,13,3.5424
LL fishery,Combined,13,3.9611
LL survey,Female,14,4.2338
LL fishery,Female,14,4.5026
LL survey,Male,14,3.0297
LL fishery,Male,14,3.0955
LL survey,Combined,14,3.7356
LL fishery,Combined,14,4.0461
LL survey,Female,15,4.1909
LL fishery,Female,15,4.6768
LL survey,Male,15,2.9651
LL fishery,Male,15,3.1583
LL survey,Combined,15,3.6765
LL fishery,Combined,15,4.1722
LL survey,Female,16,4.5796
LL fishery,Female,16,4.7954
LL survey,Male,16,3.0714
LL fishery,Male,16,3.3511
LL survey,Combined,16,3.8058
LL fishery,Combined,16,4.2725
LL survey,Female,17,4.6713
LL fishery,Female,17,5.0559
LL survey,Male,17,3.028
LL fishery,Male,17,3.3565
LL survey,Combined,17,3.8761
LL fishery,Combined,17,4.4845
LL survey,Female,18,4.6605
LL fishery,Female,18,5.286
LL survey,Male,18,3.1545
LL fishery,Male,18,3.377
LL survey,Combined,18,3.9674
LL fishery,Combined,18,4.5525
LL survey,Female,19,5.3123
LL fishery,Female,19,5.3806
LL survey,Male,19,3.1538
LL fishery,Male,19,3.4225
LL survey,Combined,19,4.219
LL fishery,Combined,19,4.6787
LL survey,Female,20,5.15
LL fishery,Female,20,5.5431
LL survey,Male,20,3.2704
LL fishery,Male,20,3.4316
LL survey,Combined,20,4.1831
LL fishery,Combined,20,4.7056
LL survey,Female,21,5.4315
LL fishery,Female,21,5.7439
LL survey,Male,21,3.253
LL fishery,Male,21,3.467
LL survey,Combined,21,4.3081
LL fishery,Combined,21,4.7847
LL survey,Female,22,5.2925
LL fishery,Female,22,5.7183
LL survey,Male,22,3.3471
LL fishery,Male,22,3.5942
LL survey,Combined,22,4.1925
LL fishery,Combined,22,4.7944
LL survey,Female,23,5.6464
LL fishery,Female,23,6.0242000000000004
LL survey,Male,23,3.4732
LL fishery,Male,23,3.5727
LL survey,Combined,23,4.2955
LL fishery,Combined,23,4.9872
LL survey,Female,24,5.7163
LL fishery,Female,24,5.9802
LL survey,Male,24,3.3758
LL fishery,Male,24,3.4845
LL survey,Combined,24,4.4431
LL fishery,Combined,24,4.7573
LL survey,Female,25,5.7918
LL fishery,Female,25,6.0956
LL survey,Male,25,3.488
LL fishery,Male,25,3.6707
LL survey,Combined,25,4.5073
LL fishery,Combined,25,5.0381
LL survey,Female,26,6.3286
LL fishery,Female,26,6.1236
LL survey,Male,26,3.3889
LL fishery,Male,26,3.6787
LL survey,Combined,26,4.7443
LL fishery,Combined,26,4.9217
LL survey,Female,27,6.1
LL fishery,Female,27,6.291
LL survey,Male,27,3.4606
LL fishery,Male,27,3.6766
LL survey,Combined,27,4.691
LL fishery,Combined,27,4.9549
LL survey,Female,28,6.3937
LL fishery,Female,28,6.3923
LL survey,Male,28,3.3554
LL fishery,Male,28,3.7494
LL survey,Combined,28,4.7526
LL fishery,Combined,28,5.1367
LL survey,Female,29,6.0659
LL fishery,Female,29,6.3758
LL survey,Male,29,3.5108
LL fishery,Male,29,3.6487
LL survey,Combined,29,4.4991
LL fishery,Combined,29,5.0225
LL survey,Female,30,6.2071
LL fishery,Female,30,6.4666
LL survey,Male,30,3.7049
LL fishery,Male,30,3.6849
LL survey,Combined,30,4.5524
LL fishery,Combined,30,5.0286
LL survey,Female,31,6.9213
LL fishery,Female,31,6.1956
LL survey,Male,31,3.4375
LL fishery,Male,31,3.6496
LL survey,Combined,31,5.0272
LL fishery,Combined,31,4.8609
LL survey,Female,32,6.7327
LL fishery,Female,32,6.5866
LL survey,Male,32,3.6294
LL fishery,Male,32,3.769
LL survey,Combined,32,5.1961
LL fishery,Combined,32,5.125
LL survey,Female,33,6.0424
LL fishery,Female,33,6.7119
LL survey,Male,33,3.7091
LL fishery,Male,33,3.7577
LL survey,Combined,33,4.5841
LL fishery,Combined,33,5.2926
LL survey,Female,34,6.01
LL fishery,Female,34,6.6211
LL survey,Male,34,3.5462
LL fishery,Male,34,3.7467
LL survey,Combined,34,4.3242
LL fishery,Combined,34,5.2477
LL survey,Female,35,6.1513
LL fishery,Female,35,6.5968
LL survey,Male,35,3.8486
LL fishery,Male,35,3.826
LL survey,Combined,35,5.0303
LL fishery,Combined,35,5.1776
LL survey,Female,36,6.2435
LL fishery,Female,36,6.4476
LL survey,Male,36,3.5718
LL fishery,Male,36,3.8084
LL survey,Combined,36,4.5629
LL fishery,Combined,36,5.0629
LL survey,Female,37,8.2667
LL fishery,Female,37,6.8667
LL survey,Male,37,3.5621
LL fishery,Male,37,3.7488
LL survey,Combined,37,5.538
LL fishery,Combined,37,5.25
LL survey,Female,38,7.8
LL fishery,Female,38,6.9503
LL survey,Male,38,3.4957
LL fishery,Male,38,3.9683
LL survey,Combined,38,4.7538
LL fishery,Combined,38,5.3199
LL survey,Female,39,6.1722
LL fishery,Female,39,6.8844
LL survey,Male,39,3.741
LL fishery,Male,39,4.0969
LL survey,Combined,39,4.5088
LL fishery,Combined,39,5.4906
LL survey,Female,40,6.825
LL fishery,Female,40,7.6455
LL survey,Male,40,3.7889
LL fishery,Male,40,3.8207
LL survey,Combined,40,4.7231
LL fishery,Combined,40,5.3979
LL survey,Female,41,7.6778
LL fishery,Female,41,7.6085
LL survey,Male,41,3.7313
LL fishery,Male,41,3.907
LL survey,Combined,41,5.152
LL fishery,Combined,41,5.11
LL survey,Female,42,8.1125
LL fishery,Female,42,7.0011
LL survey,Male,42,3.8808
LL fishery,Male,42,4.107
LL survey,Combined,42,4.8765
LL fishery,Combined,42,5.5966
