Likelihood component,Likelihood,Percent of data likelihood
Catch,16.60464651942242,0.9136475672745838
Fishery CPUE,173.40925716612037,9.541603054747208
Survey CPUE,86.57603179740629,4.763725668201619
Mark-recapture abundance,76.55404563280881,4.212279826350448
Fishery ages,247.5955806932916,13.623602267218423
Survey ages,258.2524426859609,14.209981267999582
Fishery lengths,390.78112474891805,21.502187568163535
Survey lengths,567.6285816755435,31.232972780044598
Data likelihood,1817.401710919472,100
Fishing mortality penalty,1.3507715117873538,0.07432432266743946
Recruitment likelihood,-5.481844870775218,-0.3016308853369466
SPR penalty,5.546678239835239e-30,3.051982512456768e-31
Sum of catchability priors,9.593864828788082,0.5278890611330112
Total likelihood,1822.8645023892723,100.30058249846351
