Parameter,Estimate,se
log_srv_slx_pars,1.5687629715144973,NA
log_srv_slx_pars.1,-0.4997227377675521,NA
log_srv_slx_pars.2,0.6830645481678559,NA
log_srv_slx_pars.3,1.1367319983655766,NA
log_srv_slx_pars.4,0.4312412677231885,NA
log_srv_slx_pars.5,0.07555413161083069,NA
fsh_logq,-17.602559836570123,NA
fsh_logq.1,-17.04985265194259,NA
fsh_logq.2,-17.19672601,NA
srv_logq,-16.729896612865403,NA
srv_logq.1,-16.43749176280849,NA
srv_logq.2,-16.86729976,NA
mr_logq,-0.03237311637792897,NA
log_rbar,13.63780586039878,NA
log_rec_devs,0.19661435946242728,NA
log_rec_devs.1,0.20684002782833497,NA
log_rec_devs.2,0.23951596732941643,NA
log_rec_devs.3,3.158025568711715,NA
log_rec_devs.4,0.35002979805021767,NA
log_rec_devs.5,0.436399479650302,NA
log_rec_devs.6,0.5391752973214136,NA
log_rec_devs.7,0.6144568222552225,NA
log_rec_devs.8,0.5453913112618086,NA
log_rec_devs.9,0.35864617038579605,NA
log_rec_devs.10,0.1456755170305739,NA
log_rec_devs.11,-0.04461038265514563,NA
log_rec_devs.12,-0.2041660787683326,NA
log_rec_devs.13,-0.33421745461940994,NA
log_rec_devs.14,-0.43636998187793985,NA
log_rec_devs.15,-0.47659279007874433,NA
log_rec_devs.16,-0.4417958150516608,NA
log_rec_devs.17,-0.3898832035138758,NA
log_rec_devs.18,-0.41997317713673654,NA
log_rec_devs.19,-0.45380136341594224,NA
log_rec_devs.20,-0.27259529560751683,NA
log_rec_devs.21,-0.04955134889104275,NA
log_rec_devs.22,0.3177749549722078,NA
log_rec_devs.23,0.6956334727129627,NA
log_rec_devs.24,0.6468094815035486,NA
log_rec_devs.25,0.6025645979499885,NA
log_rec_devs.26,0.18790718379083138,NA
log_rec_devs.27,-0.0745250460888919,NA
log_rec_devs.28,-0.1787800958451269,NA
log_rec_devs.29,-0.2500251509945931,NA
log_rec_devs.30,-0.19349224743428145,NA
log_rec_devs.31,-0.32743769721348176,NA
log_rec_devs.32,-0.34136461240084315,NA
log_rec_devs.33,-0.2084536771036707,NA
log_rec_devs.34,0.4273405597697305,NA
log_rec_devs.35,0.4381504360162838,NA
log_rec_devs.36,-0.2374464936065296,NA
log_rec_devs.37,-0.20472860687378475,NA
log_rec_devs.38,-0.24902092146777896,NA
log_rinit,13.649793294633374,NA
log_rinit_devs,0.19291297530527027,NA
log_rinit_devs.1,0.18020364652326834,NA
log_rinit_devs.2,0.1657170610992192,NA
log_rinit_devs.3,0.17129566609874614,NA
log_rinit_devs.4,0.16916038139848183,NA
log_rinit_devs.5,0.16185518590661324,NA
log_rinit_devs.6,0.14991330345965928,NA
log_rinit_devs.7,0.1279897947270391,NA
log_rinit_devs.8,0.11332937321592204,NA
log_rinit_devs.9,0.10442146058220551,NA
log_rinit_devs.10,0.09732412413920244,NA
log_rinit_devs.11,0.09360655009505686,NA
log_rinit_devs.12,0.09095110071739225,NA
log_rinit_devs.13,0.08778532680913563,NA
log_rinit_devs.14,0.08745782649747101,NA
log_rinit_devs.15,0.08753869392112174,NA
log_rinit_devs.16,0.08771983326950715,NA
log_rinit_devs.17,0.08752265054123583,NA
log_rinit_devs.18,0.08851000234615074,NA
log_rinit_devs.19,0.08953871401483017,NA
log_rinit_devs.20,0.09073108747524786,NA
log_rinit_devs.21,0.0918884464767501,NA
log_rinit_devs.22,0.09305904801580869,NA
log_rinit_devs.23,0.09432529471628395,NA
log_rinit_devs.24,0.0958350941416073,NA
log_rinit_devs.25,0.097209934464677,NA
log_rinit_devs.26,0.09846361451182245,NA
log_rinit_devs.27,0.09960800353134866,NA
log_sigma_r,-0.7537964977406413,NA
log_Fbar,-2.7021171994735793,NA
log_F_devs,-0.5540122167570891,NA
log_F_devs.1,-0.5396456970838492,NA
log_F_devs.2,-1.070842456300209,NA
log_F_devs.3,-0.7205168913681903,NA
log_F_devs.4,-0.3035526416336781,NA
log_F_devs.5,-0.6667644749125414,NA
log_F_devs.6,-1.0374725231444515,NA
log_F_devs.7,-1.0275917645098414,NA
log_F_devs.8,-0.7595391937822811,NA
log_F_devs.9,-0.8964350659801293,NA
log_F_devs.10,-0.47680303734974194,NA
log_F_devs.11,-0.18387206822709617,NA
log_F_devs.12,-0.21449246321114926,NA
log_F_devs.13,-0.10487712496569951,NA
log_F_devs.14,-0.17297938269623087,NA
