year,rec,retro
1975,1084527.0529055188,retro_0
1976,1090396.1648792145,retro_0
1977,1127332.5228416743,retro_0
1978,19513506.444980178,retro_0
1979,1266381.4623900345,retro_0
1980,1392742.9152846495,retro_0
1981,1563913.8251821443,retro_0
1982,1700355.5634738132,retro_0
1983,1539622.005507681,retro_0
1984,1243389.500279509,retro_0
1985,995726.2605933709,retro_0
1986,823926.3993068394,retro_0
1987,707271.3377352738,retro_0
1988,621909.216057634,retro_0
1989,559306.3169864115,retro_0
1990,537923.7501243049,retro_0
1991,562305.5716746793,retro_0
1992,597458.0052810345,retro_0
1993,570614.6041800674,retro_0
1994,534274.7876916706,retro_0
1995,629636.584172395,retro_0
1996,775625.056667928,retro_0
1997,1127730.4847635794,retro_0
1998,1635276.9637324603,retro_0
1999,1517689.219951558,retro_0
2000,1442571.7440456052,retro_0
2001,1048631.5104055663,retro_0
2002,827089.5574900339,retro_0
2003,688513.9409166644,retro_0
2004,648192.3483539643,retro_0
2005,714219.2810568225,retro_0
2006,568401.9517853403,retro_0
2007,506310.9438485446,retro_0
2008,569260.4043759924,retro_0
2009,1071940.8142048735,retro_0
2010,660948.261710362,retro_0
2011,346146.3017910556,retro_0
2012,372383.2527343148,retro_0
2013,405055.40846177906,retro_0
2014,659513.2885890969,retro_0
2015,1541777.5424588164,retro_0
2016,1633218.3838880106,retro_0
2017,988354.8532758087,retro_0
2018,5304128.160675006,retro_0
2019,2307726.7508813348,retro_0
2020,2082178.6181102104,retro_0
2021,1361938.7142155948,retro_0
2022,925679.4163906063,retro_0
2023,966003.6329126355,retro_0
1975,1085464.9587907405,retro_1
1976,1091304.2653209774,retro_1
1977,1128202.090634462,retro_1
1978,19549641.26075897,retro_1
1979,1267215.046146985,retro_1
1980,1393646.1726874134,retro_1
1981,1565200.3623286549,retro_1
1982,1702368.630503785,retro_1
1983,1541890.6707126717,retro_1
1984,1245398.133544422,retro_1
1985,997380.8811100654,retro_1
1986,825405.3514918649,retro_1
1987,708700.5470771267,retro_1
1988,623207.6697419443,retro_1
1989,560494.1376590014,retro_1
1990,539125.6331266044,retro_1
1991,563719.026328782,retro_1
1992,599137.0326567594,retro_1
1993,572211.385144693,retro_1
1994,535281.4083438627,retro_1
1995,630752.5134059917,retro_1
1996,777001.7448142939,retro_1
1997,1130767.986034826,retro_1
1998,1642774.0231840473,retro_1
1999,1521822.1775135177,retro_1
2000,1449758.219840417,retro_1
2001,1051045.8917547732,retro_1
2002,830832.4858770388,retro_1
2003,688934.3959375957,retro_1
2004,651313.2775371027,retro_1
2005,716636.8814761859,retro_1
2006,571568.371371307,retro_1
2007,510204.8667383335,retro_1
2008,570983.8823826328,retro_1
2009,1092316.9059665182,retro_1
2010,666558.1728133109,retro_1
2011,349429.1423649463,retro_1
2012,379485.7498880253,retro_1
2013,413037.77821461065,retro_1
2014,652302.3095647604,retro_1
2015,1615584.5965542844,retro_1
2016,1612904.2341657472,retro_1
2017,925676.1898918963,retro_1
2018,5597917.464613186,retro_1
2019,1649400.0311522519,retro_1
2020,1930419.1269644413,retro_1
2021,1722469.0698620873,retro_1
2022,953943.129817115,retro_1
1975,1054130.8711501427,retro_2
1976,1060288.4231861439,retro_2
1977,1095281.5567175888,retro_2
1978,19835989.846939027,retro_2
1979,1228865.1565188868,retro_2
1980,1351982.7748184532,retro_2
1981,1523173.111607827,retro_2
1982,1674926.8673504514,retro_2
1983,1538116.27339556,retro_2
1984,1247265.9573644325,retro_2
1985,999147.6945913092,retro_2
1986,826684.6716928018,retro_2
1987,709736.3598860219,retro_2
1988,624204.3358001666,retro_2
1989,561689.3393671062,retro_2
1990,540334.2417674208,retro_2
1991,564544.2837381789,retro_2
1992,599116.6283280834,retro_2
1993,571333.3570610064,retro_2
1994,535996.7235147803,retro_2
1995,630016.1524855926,retro_2
1996,775831.496252591,retro_2
1997,1129953.5005216114,retro_2
1998,1649523.2059212534,retro_2
1999,1523883.7580870958,retro_2
2000,1451912.7503684612,retro_2
2001,1054283.6290231324,retro_2
2002,834018.6127452942,retro_2
2003,688548.0668892092,retro_2
2004,654639.1062844029,retro_2
2005,719058.6685340818,retro_2
2006,575071.6622852025,retro_2
2007,513574.2204746564,retro_2
2008,579007.0017776936,retro_2
2009,1116297.3508840653,retro_2
2010,673493.429964632,retro_2
2011,358847.0120375475,retro_2
2012,390642.4728887173,retro_2
2013,425717.81603218365,retro_2
2014,687317.2385256023,retro_2
2015,1716759.9978617334,retro_2
2016,1626166.3407691428,retro_2
2017,956292.5063602494,retro_2
2018,5632476.535826989,retro_2
2019,1570641.016497251,retro_2
2020,983381.4469577945,retro_2
2021,934851.3200870788,retro_2
1975,1037033.901621278,retro_3
1976,1043702.0181274036,retro_3
1977,1077828.2195700116,retro_3
1978,19940155.17096144,retro_3
1979,1208332.7989220074,retro_3
1980,1328720.9537270532,retro_3
1981,1496975.799996028,retro_3
1982,1651728.5934159823,retro_3
1983,1529705.685972375,retro_3
1984,1245540.721119618,retro_3
1985,998982.0855052273,retro_3
1986,826651.8371081098,retro_3
1987,709550.4798950972,retro_3
1988,624152.1402281601,retro_3
1989,561971.4792518497,retro_3
1990,540454.4290596474,retro_3
1991,563264.7324419569,retro_3
1992,594045.4785385258,retro_3
1993,568752.3780643109,retro_3
1994,535452.945511795,retro_3
1995,629376.8573226834,retro_3
1996,775854.6261384374,retro_3
1997,1127537.3896379631,retro_3
1998,1653144.5078497657,retro_3
1999,1527271.8204233625,retro_3
2000,1453743.469900517,retro_3
2001,1056662.502060888,retro_3
2002,833427.2846930976,retro_3
2003,687664.0801069039,retro_3
2004,656782.8222452907,retro_3
2005,719598.4669096565,retro_3
2006,577981.9281701553,retro_3
2007,520318.3174789673,retro_3
2008,589240.0750596679,retro_3
2009,1134975.321931029,retro_3
2010,689721.149986496,retro_3
2011,370544.6390348779,retro_3
2012,405879.3782802039,retro_3
2013,451775.29331947543,retro_3
2014,752833.2284910685,retro_3
2015,1761006.4526471896,retro_3
2016,1548007.7847735821,retro_3
2017,896076.3951890445,retro_3
2018,4989413.927848076,retro_3
2019,934221.1488838667,retro_3
2020,895631.7578553406,retro_3
1975,997198.5494378598,retro_4
1976,1006841.450137595,retro_4
1977,1039178.2327812056,retro_4
1978,20310078.121262215,retro_4
1979,1159867.599559649,retro_4
1980,1268326.0913167112,retro_4
1981,1417607.0796415675,retro_4
1982,1560756.2877197799,retro_4
1983,1488244.693816667,retro_4
1984,1243674.3331564767,retro_4
1985,1009403.1262260798,retro_4
1986,838835.9606790947,retro_4
1987,720837.5707475436,retro_4
1988,634932.9549322588,retro_4
1989,573140.8186607129,retro_4
1990,549877.9875000853,retro_4
1991,566291.0896628944,retro_4
1992,592849.8768847565,retro_4
1993,571597.0497582247,retro_4
1994,544596.1888416874,retro_4
1995,635341.8469265852,retro_4
1996,783090.5520656649,retro_4
1997,1125885.1221980602,retro_4
1998,1661119.0766782619,retro_4
1999,1546357.1045732293,retro_4
2000,1452804.242904978,retro_4
2001,1062556.6406799427,retro_4
2002,837930.4230805498,retro_4
2003,692760.3257484102,retro_4
2004,667309.0921411293,retro_4
2005,718149.2352357379,retro_4
2006,590015.8260526168,retro_4
2007,536441.9493136381,retro_4
2008,615139.6503618746,retro_4
2009,1167902.8387963842,retro_4
2010,715724.8147904933,retro_4
2011,403104.4393304257,retro_4
2012,441627.4897216683,retro_4
2013,491346.38522657694,retro_4
2014,909558.6074934074,retro_4
2015,1852146.6056742873,retro_4
2016,995154.774952491,retro_4
2017,959739.3729225704,retro_4
2018,1088960.568852232,retro_4
2019,889422.7541562204,retro_4
1975,984613.3577815591,retro_5
1976,993519.1274980607,retro_5
1977,1025142.7426601468,retro_5
1978,20313451.716295876,retro_5
1979,1144686.8385403557,retro_5
1980,1253452.643523306,retro_5
1981,1405226.050615288,retro_5
1982,1555621.5890904414,retro_5
1983,1485500.9845236873,retro_5
1984,1236974.7348779277,retro_5
1985,1001022.6111810142,retro_5
1986,830435.1490277115,retro_5
1987,712695.5261869556,retro_5
1988,626932.3828360587,retro_5
1989,564637.8553246307,retro_5
1990,539581.1321529774,retro_5
1991,557916.7298686117,retro_5
1992,586273.2393214942,retro_5
1993,565515.7972761624,retro_5
1994,538648.4550140493,retro_5
1995,631637.2166274716,retro_5
1996,779164.4860747423,retro_5
1997,1119944.2273446626,retro_5
1998,1649889.2759326827,retro_5
1999,1537387.9649450316,retro_5
2000,1440624.5226907248,retro_5
2001,1056768.817037699,retro_5
2002,827982.6290401358,retro_5
2003,684586.190908602,retro_5
2004,660698.373138587,retro_5
2005,710721.5856180387,retro_5
2006,584665.2889993386,retro_5
2007,533493.5840276104,retro_5
2008,610092.7330111044,retro_5
2009,1168873.6867022633,retro_5
2010,712651.2904705048,retro_5
2011,398334.8333754426,retro_5
2012,432062.1923302131,retro_5
2013,475737.30255756335,retro_5
2014,877725.0290064904,retro_5
2015,1863811.4483956727,retro_5
2016,1067617.3006564344,retro_5
2017,949964.1367911155,retro_5
2018,885876.292572918,retro_5
1975,983880.3886622222,retro_6
1976,991820.6682905691,retro_6
1977,1023279.9620133889,retro_6
1978,20265927.87213334,retro_6
1979,1143749.6895516505,retro_6
1980,1254712.035925417,retro_6
1981,1411378.4674360268,retro_6
1982,1568580.502807107,retro_6
1983,1490915.418395872,retro_6
1984,1232254.422421158,retro_6
1985,992827.5603224712,retro_6
1986,821780.8159841053,retro_6
1987,703975.5164239566,retro_6
1988,617475.4900574175,retro_6
1989,553332.0658512376,retro_6
1990,530517.1335042083,retro_6
1991,551175.2622836712,retro_6
1992,581984.8085250554,retro_6
1993,561161.841514987,retro_6
1994,533291.6796000808,retro_6
1995,627797.1864335471,retro_6
1996,775596.8769546634,retro_6
1997,1114919.8289787127,retro_6
1998,1644931.3752582313,retro_6
1999,1519916.3258748155,retro_6
2000,1437990.139842879,retro_6
2001,1045789.9440369899,retro_6
2002,814194.6931286532,retro_6
2003,676954.4967874095,retro_6
2004,652407.8624726516,retro_6
2005,703829.7592999574,retro_6
2006,578527.8838583874,retro_6
2007,527605.46204711,retro_6
2008,603137.9539581,retro_6
2009,1164063.0007388114,retro_6
2010,713505.1930172581,retro_6
2011,393214.2220571952,retro_6
2012,420771.92321898876,retro_6
2013,449145.1974830973,retro_6
2014,780745.8972560952,retro_6
2015,2071566.2029715967,retro_6
