Parameter,Estimate,se
log_srv_slx_pars,1.2724234069189218,0.10279578059358845
log_srv_slx_pars.1,0.061949939613744225,2.1617554537140267
log_srv_slx_pars.2,-0.31406641525068907,0.15103202899755394
log_srv_slx_pars.3,2.777666866909224,35.98603766118147
log_srv_slx_pars.4,0.6581308060321279,0.2116779291866096
log_srv_slx_pars.5,1.0045816424339877,0.07264047448588792
log_srv_slx_pars.6,0.058472286452035886,1.515166172704841
log_srv_slx_pars.7,0.32033024850998015,0.3452532171952083
log_srv_slx_pars.8,0.11589372745866752,0.1255074836181926
log_srv_slx_pars.9,2.871191459607137,26.676158881071604
fsh_logq,-17.63876150021178,0.04175893022547755
fsh_logq.1,-17.07290648354926,0.02552490577449184
fsh_logq.2,-16.925757906493196,0.08616917725737387
srv_logq,-16.795961854286062,0.04757878626368936
srv_logq.1,-16.551276025562956,0.03551643887263626
srv_logq.2,-17.103697290035,0.037997649102778926
mr_logq,-0.042834131011017657,0.009762339707232457
log_rbar,13.634144870738094,0.09113555116261118
log_rinit,13.611011769896802,0.152699962138817
log_sigma_r,-0.6257381448422803,0.08638105391497823
log_Fbar,-2.8424750409835147,0.32379156573037793
log_spr_Fxx,-2.255712046508173,0.2590957350119201
log_spr_Fxx.1,-2.435342908192713,0.25001398714070094
log_spr_Fxx.2,-2.785065398421779,0.24779370147818067
log_spr_Fxx.3,-3.145321325853658,0.26519512244296656
log_spr_Fxx.4,-3.547648089082828,0.30974339180348576
pred_rec,1047791.2381600027,591944.8207638822
pred_rec.1,1059129.7155602314,603878.1900290014
pred_rec.2,1099012.6996145782,642742.0201429996
pred_rec.3,18761979.065758303,2534465.538404127
pred_rec.4,1246213.0089970299,787465.6878306654
pred_rec.5,1377299.5112986148,918140.3927302796
pred_rec.6,1549485.7258590618,1087184.9950880692
pred_rec.7,1688085.0296594186,1175073.210292632
pred_rec.8,1534397.5184590218,966288.6557982923
pred_rec.9,1246716.0913172902,695167.564766451
pred_rec.10,1002645.5448573281,499819.31312216894
pred_rec.11,827350.7051874718,377544.5107500216
pred_rec.12,708212.3450266557,302582.05295068544
pred_rec.13,619644.0699201012,251497.89431143028
pred_rec.14,556926.1191684712,217751.96161893147
pred_rec.15,534253.7789541829,203528.73769756034
pred_rec.16,552814.8596567969,205395.98597879123
pred_rec.17,585437.7563388129,210728.0381950823
pred_rec.18,560169.3152578684,198752.35425998265
pred_rec.19,538765.9336149212,189274.194638855
pred_rec.20,642043.1473699401,221849.8057306714
pred_rec.21,774568.9493515075,270470.9403827836
pred_rec.22,1047676.575321923,354234.340489148
pred_rec.23,1534988.492955125,443632.0623298122
pred_rec.24,1539226.2385808427,463509.6225129092
pred_rec.25,1351744.0705080957,413615.77896717837
pred_rec.26,1034998.055176785,348065.57600062975
pred_rec.27,810265.2212254485,275893.59789582115
pred_rec.28,684457.3280943478,226003.25654392384
pred_rec.29,631286.9570862635,208667.20231937998
pred_rec.30,673315.7889184956,204912.86327202452
pred_rec.31,569693.4708253595,180845.9677388492
pred_rec.32,517852.7875064362,166409.1813137036
pred_rec.33,573152.9991934502,191720.90473851285
pred_rec.34,1008247.8874886024,244948.57143651662
pred_rec.35,662476.1221366184,191702.55907080017
pred_rec.36,339862.35211531277,109993.04994785739
pred_rec.37,367544.97683610325,107067.21251445869
pred_rec.38,399329.15516634815,122638.08689177064
pred_rec.39,625666.4380430393,191702.4488883505
pred_rec.40,1545615.1101426443,284483.7684112639
pred_rec.41,1564014.430698292,309604.77435198106
pred_rec.42,890672.5304890125,307573.1733034434
pred_rec.43,5385031.884462168,554909.1879229001
pred_rec.44,1598687.3039712526,531479.9472996533
pred_rec.45,1903552.033212253,511883.69882903906
pred_rec.46,1623817.0035935822,859417.8842753554
pred_rec.47,932012.4223904335,496966.9282766683
