Parameter,Estimate,se
log_srv_slx_pars,1.6226292893050798,NA
log_srv_slx_pars.1,-0.6875378184024056,NA
log_srv_slx_pars.2,0.9604903873170585,NA
log_srv_slx_pars.3,0.18708915773693663,NA
log_srv_slx_pars.4,0.2071534431749542,NA
log_srv_slx_pars.5,3.0392047449700565,NA
fsh_logq,-17.469282336215706,NA
fsh_logq.1,-16.970887467043763,NA
fsh_logq.2,-17.19672601,NA
srv_logq,-16.662886344379213,NA
srv_logq.1,-16.57573034119411,NA
srv_logq.2,-16.86729976,NA
mr_logq,-0.03370805066069241,NA
log_rbar,13.6060435950525,NA
log_rinit,13.352223091003761,NA
log_sigma_r,-0.6788373393841414,NA
log_Fbar,-2.6885932046322703,NA
log_spr_Fxx,-2.3177612916191146,NA
log_spr_Fxx.1,-2.492684521962273,NA
log_spr_Fxx.2,-2.8350928153074246,NA
log_spr_Fxx.3,-3.1896841729779597,NA
log_spr_Fxx.4,-3.5871439660628974,NA
pred_rec,1028513.0067661791,NA
pred_rec.1,1041289.9730667647,NA
pred_rec.2,1072107.26026192,NA
pred_rec.3,19743945.291845053,NA
pred_rec.4,1125078.0762643437,NA
pred_rec.5,1161446.866807857,NA
pred_rec.6,1217361.243824182,NA
pred_rec.7,1301878.405667742,NA
pred_rec.8,1340582.8487369,NA
pred_rec.9,1260214.243430631,NA
pred_rec.10,1100181.7272009775,NA
pred_rec.11,925977.477922746,NA
pred_rec.12,788145.7367814678,NA
pred_rec.13,690608.1912383151,NA
pred_rec.14,619365.0253076181,NA
pred_rec.15,581295.3435614678,NA
pred_rec.16,574742.573234826,NA
pred_rec.17,590336.1814381655,NA
pred_rec.18,608352.4610143491,NA
pred_rec.19,661776.4236586406,NA
pred_rec.20,862227.7794891725,NA
pred_rec.21,1092641.6984401352,NA
pred_rec.22,1228261.8912485891,NA
pred_rec.23,1272413.9084790763,NA
pred_rec.24,2069993.363325194,NA
pred_rec.25,856425.688055651,NA
pred_rec.26,1140242.1154559648,NA
pred_rec.27,770801.6529986075,NA
pred_rec.28,1052230.4750581363,NA
pred_rec.29,543997.3501532798,NA
pred_rec.30,886100.5917216648,NA
pred_rec.31,627056.9046911115,NA
pred_rec.32,595341.2865035109,NA
pred_rec.33,577043.7516175365,NA
pred_rec.34,1187085.7568541358,NA
pred_rec.35,716292.3652110293,NA
pred_rec.36,273876.1023879419,NA
pred_rec.37,320647.56271158217,NA
pred_rec.38,362158.19279720134,NA
pred_rec.39,694617.6808205324,NA
pred_rec.40,1103365.6159818477,NA
pred_rec.41,1011671.1392521735,NA
pred_rec.42,766464.2375964826,NA
pred_rec.43,4795051.991104868,NA
pred_rec.44,811684.6446949348,NA
pred_rec.45,1201562.8526953598,NA
pred_rec.46,581224.8792050985,NA
pred_rec.47,998174.3615594713,NA
pred_rec.48,805507.1103867231,NA
