Parameter,Estimate,se
log_srv_slx_pars,1.4551847867517909,0.10403217470215122
log_srv_slx_pars.1,-0.007677769475312637,0.5127992745756679
log_srv_slx_pars.2,-0.4340360822808552,0.14402199807295246
log_srv_slx_pars.3,2.995366364232161,66.52456085262637
log_srv_slx_pars.4,0.5939735811254638,0.21361115838408826
log_srv_slx_pars.5,0.9621204220237515,0.07185566433822736
log_srv_slx_pars.6,-0.022506142289349586,0.7219344116499026
log_srv_slx_pars.7,0.5141725971651656,0.39483740322413186
log_srv_slx_pars.8,0.330116519518885,0.15673678695836316
log_srv_slx_pars.9,2.9786503114522835,31.716688995875302
fsh_logq,-17.624720311667186,0.04182684995031236
fsh_logq.1,-17.037396368733877,0.025586268204960183
fsh_logq.2,-16.989838779006327,0.06507415646621514
srv_logq,-16.78950695188584,0.045512660582917225
srv_logq.1,-16.527978461000057,0.03905797277576036
srv_logq.2,-17.121627534990477,0.03839584680452729
mr_logq,-0.03943364697962623,0.009771969104258756
log_rbar,13.644912494852742,0.08909742265254544
log_rinit,13.636993737564348,0.14792002366409385
log_sigma_r,-0.6421716484500425,0.08644148655576038
log_Fbar,-2.814544373731717,0.3204674093067662
log_spr_Fxx,-2.255024367358525,0.25900258104941426
log_spr_Fxx.1,-2.4345868479813317,0.24990573173408434
log_spr_Fxx.2,-2.7841233383633637,0.24764103965255063
log_spr_Fxx.3,-3.1441012704701343,0.2649594710154671
log_spr_Fxx.4,-3.5460059619842954,0.30933539272245875
pred_rec,1064087.9674636386,594161.9250272292
pred_rec.1,1070885.4207264048,602009.4080201694
pred_rec.2,1106748.9300503153,636635.2369021779
pred_rec.3,19659030.147903755,2512741.541104955
pred_rec.4,1241890.3727927343,766374.7779817549
pred_rec.5,1364630.931398158,884694.9177761583
pred_rec.6,1531893.9374948128,1043997.6800867877
pred_rec.7,1672076.7929946685,1134377.7239730083
pred_rec.8,1530518.4972670388,941799.9414252165
pred_rec.9,1243269.1108298241,678706.1631690367
pred_rec.10,997666.7900388528,487536.22386466595
pred_rec.11,825918.588351262,370062.0780285409
pred_rec.12,708908.238349819,297732.68181631377
pred_rec.13,623503.5590749012,249016.94943340312
pred_rec.14,561143.9657977251,216137.70566214467
pred_rec.15,539419.3407119631,202724.86179696562
pred_rec.16,562340.5880806508,206092.64116546442
pred_rec.17,595528.166720217,211869.80832322015
pred_rec.18,569469.2008673252,199274.0061239766
pred_rec.19,534541.3453642983,184919.1714202981
pred_rec.20,627180.7574861555,216977.39383840648
pred_rec.21,771254.7072113685,269703.5992163495
pred_rec.22,1120541.6540679203,370510.85541586234
pred_rec.23,1670555.165146862,470319.4619426717
pred_rec.24,1524885.3909982697,490230.0795941424
pred_rec.25,1453455.8030221297,437680.41573800414
pred_rec.26,1062245.3372918738,359668.78954628255
pred_rec.27,825035.9413928988,280498.2938710689
pred_rec.28,684206.0202731346,228757.0601906956
pred_rec.29,673115.32084405,219480.09090441716
pred_rec.30,717270.0940877843,215008.12539347712
pred_rec.31,572271.0299073625,182355.41097694874
pred_rec.32,515855.3372719354,166301.96500360954
pred_rec.33,602515.6975757969,200633.3295372781
pred_rec.34,1124883.2572891435,261758.63577152244
pred_rec.35,642072.0237843101,198258.06577307574
pred_rec.36,363357.0138919054,116246.10237116605
pred_rec.37,396491.40535355906,114996.2971320954
pred_rec.38,417943.70722415554,128816.2428062656
pred_rec.39,649679.1556046319,188351.82120026276
pred_rec.40,1620090.401626316,248321.02327086154
pred_rec.41,1008948.9945701206,250230.27698425634
pred_rec.42,1533917.1626609284,349082.3269104385
pred_rec.43,3054915.268063425,665245.161873255
pred_rec.44,3712272.742296465,738933.4134185439
pred_rec.45,977967.7818542211,416365.8678509958
pred_rec.46,1691941.0350453195,345913.30279534654
pred_rec.47,686790.6725376593,257086.30394122066
pred_rec.48,951477.5326855821,502503.13306311396
