Parameter,Estimate,se
log_srv_slx_pars,1.6062842134191377,NA
log_srv_slx_pars.1,-0.6716082417456479,NA
log_srv_slx_pars.2,0.9090035847741438,NA
log_srv_slx_pars.3,0.15841000541503894,NA
log_srv_slx_pars.4,0.28659561521158405,NA
log_srv_slx_pars.5,3.226999892273379,NA
fsh_logq,-17.472047492830328,NA
fsh_logq.1,-17.132392152808777,NA
fsh_logq.2,-17.19672601,NA
srv_logq,-16.654647867550267,NA
srv_logq.1,-16.57894037140381,NA
srv_logq.2,-16.86729976,NA
mr_logq,-0.033758250196672064,NA
log_rbar,13.601517628891123,NA
log_rinit,13.353511748890568,NA
log_sigma_r,-0.675052215437151,NA
log_Fbar,-2.6866223082143263,NA
log_spr_Fxx,-2.3177606419764296,NA
log_spr_Fxx.1,-2.4926838902006225,NA
log_spr_Fxx.2,-2.8350919586529097,NA
log_spr_Fxx.3,-3.189682915844197,NA
log_spr_Fxx.4,-3.5871422274451326,NA
pred_rec,1024313.8612789687,NA
pred_rec.1,1037269.2438335182,NA
pred_rec.2,1067595.6714689608,NA
pred_rec.3,19841746.89030901,NA
pred_rec.4,1121420.768868201,NA
pred_rec.5,1157230.460886565,NA
pred_rec.6,1213670.4365049228,NA
pred_rec.7,1300173.7485371889,NA
pred_rec.8,1333126.885243171,NA
pred_rec.9,1257023.8581978844,NA
pred_rec.10,1100192.8661612382,NA
pred_rec.11,924131.8611603078,NA
pred_rec.12,786923.1915694027,NA
pred_rec.13,684945.0520972367,NA
pred_rec.14,608952.9871301645,NA
pred_rec.15,570109.6761278715,NA
pred_rec.16,561916.2387633515,NA
pred_rec.17,573873.2363162292,NA
pred_rec.18,581653.0827416481,NA
pred_rec.19,622059.3213288971,NA
pred_rec.20,811001.7020120275,NA
pred_rec.21,1075608.4481349075,NA
pred_rec.22,1240911.8588681526,NA
pred_rec.23,1275269.26140873,NA
pred_rec.24,2095253.70806406,NA
pred_rec.25,854576.578470057,NA
pred_rec.26,1152667.9655654647,NA
pred_rec.27,771945.0896948379,NA
pred_rec.28,1082970.6533853882,NA
pred_rec.29,549900.5541698884,NA
pred_rec.30,914723.4277574243,NA
pred_rec.31,639495.5816843685,NA
pred_rec.32,597412.4770815546,NA
pred_rec.33,586692.0846040079,NA
pred_rec.34,1192369.5244309916,NA
pred_rec.35,712633.9945619233,NA
pred_rec.36,274825.65775757015,NA
pred_rec.37,321110.8817983081,NA
pred_rec.38,364501.4275745553,NA
pred_rec.39,688520.4108319714,NA
pred_rec.40,1090245.072943418,NA
pred_rec.41,1002461.0945237083,NA
pred_rec.42,768059.4769917909,NA
pred_rec.43,4770431.239655615,NA
pred_rec.44,812847.2939323919,NA
pred_rec.45,1207474.7016046583,NA
pred_rec.46,583064.0090155662,NA
pred_rec.47,1003733.3350403748,NA
pred_rec.48,802992.0099329237,NA
