age,prop_fem,prop_mature
2,0.5723064388196646,0.0851
3,0.5726157143684524,0.0851
4,0.573013994264356,0.193
5,0.573585934753517,0.3357
6,0.5743477947598178,0.4783
7,0.5751763058428895,0.621
8,0.5757685701970321,0.7637
9,0.5756597515922256,0.9063
10,0.5743080113687921,0.9446
11,0.5712254614033707,0.9666
12,0.5661082535370934,0.9785
13,0.5589146842835906,0.9847
14,0.5498610544606899,0.9909
15,0.539341327368261,0.9937
16,0.527810860506213,0.9952
17,0.5156883347886336,0.9967
18,0.5033142619584114,0.9975
19,0.4909677380757519,0.9981
20,0.47890858807768055,0.9985
21,0.46740135376004527,0.9987
22,0.45669565752864555,0.9989
23,0.4469703554925821,0.999
24,0.43827457199696723,0.9992
25,0.43050226601172986,0.9994
26,0.4234190090893894,0.9995
27,0.4167329342068254,0.9995
28,0.410181198586153,0.9996
29,0.4035975003419541,0.9997
30,0.39693528265881217,0.9997
31,0.3902387441458691,0.9997
