year,Fxx,ABC,discarded
1975,0.35,2800101.341659315,53416.49958701845
1975,0.4,2358239.808656613,44862.463759140526
1975,0.5,1682528.1506795555,31874.403365176528
1975,0.6,1184231.384477556,22366.588586383423
1975,0.7,797740.2045939413,15017.079571131777
1976,0.35,2678654.5431146813,53393.115395536974
1976,0.4,2255928.3603720623,44838.184282027316
1976,0.5,1609500.9290927576,31852.208641807323
1976,0.6,1132815.919111703,22348.506665344776
1976,0.7,763096.7029626354,15003.650056934128
1977,0.35,2570121.5275145215,55679.61007546438
1977,0.4,2164466.180696686,46749.46245081636
1977,0.5,1544185.7985205315,33200.48607259458
1977,0.6,1086814.0578294538,23289.69467991912
1977,0.7,732092.554729209,15633.042064292074
1978,0.35,2532509.6828610376,71682.74457878365
1978,0.4,2132741.3251749775,60139.58908020669
1978,0.5,1521499.187932171,42660.5371706882
1978,0.6,1070819.7021945938,29900.798456414985
1978,0.7,721304.4308514437,20057.858956155553
1979,0.35,2505324.286750654,95924.12490710345
1979,0.4,2109671.7275424195,80423.20621408669
1979,0.5,1504853.5989781225,56991.21958285874
1979,0.6,1059009.2254822953,39915.9274200691
1979,0.7,713299.7869499439,26761.101346762625
1980,0.35,2633333.9646198973,178402.71676066928
1980,0.4,2216456.165574902,149518.08591402392
1980,0.5,1579946.310098965,105894.71790018679
1980,0.6,1111306.937626045,74136.43112936613
1980,0.7,748243.8626262374,49687.73014680986
1981,0.35,3210218.8127091643,245844.37260707386
1981,0.4,2700853.4443832603,206271.24702574313
1981,0.5,1923987.59456446,146335.37806595844
1981,0.6,1352660.7739344814,102573.47688073163
1981,0.7,910417.5025695657,68810.9446703359
1982,0.35,3948503.2051395844,251608.90107946
1982,0.4,3321824.6324219806,211239.93095962578
1982,0.5,2366157.9652845627,150001.6337796699
1982,0.6,1663431.4790910697,105215.34556303163
1982,0.7,1119532.6487693526,70620.38320361022
1983,0.35,4649545.126634614,235263.67329592028
1983,0.4,3912307.971830533,197575.57058893755
1983,0.5,2787517.7075505895,140361.16075071463
1983,0.6,1960034.9563068866,98485.2059321724
1983,0.7,1319351.855580776,66119.63327771328
1984,0.35,5213793.516357019,215311.8409938377
1984,0.4,4387662.024295518,180868.4251362748
1984,0.5,3126821.25021058,128543.90586715874
1984,0.6,2198927.876330519,90219.89187601897
1984,0.7,1480318.0853112484,60584.14063184904
1985,0.35,5764019.894569223,183984.86313476652
1985,0.4,4852071.426832003,154556.05924317602
1985,0.5,3459246.1653571767,109847.03169267008
1985,0.6,2433454.9737842837,77099.02108672648
1985,0.7,1638589.1383138632,51774.14342747967
1986,0.35,5983986.925095804,160114.95674407308
1986,0.4,5038128.773620005,134504.7130620681
1986,0.5,3592853.031458918,95596.47638977916
1986,0.6,2527932.5668246043,67097.08231358678
1986,0.7,1702459.5683328125,45057.64090738651
1987,0.35,6016436.8925970225,135562.10312606374
1987,0.4,5066011.471672846,113895.54726708667
1987,0.5,3613339.575788609,80966.61663861215
1987,0.6,2542654.0638653208,56837.7343769579
1987,0.7,1712532.2594333743,38172.8577064893
1988,0.35,5825878.650803588,122475.44296534362
1988,0.4,4905803.715485979,102915.93395483731
1988,0.5,3499336.369056748,73177.96944443257
1988,0.6,2462566.655661226,51378.673337103966
1988,0.7,1658661.1697241326,34510.88396246827
1989,0.35,5485765.1118714055,113364.71544345016
1989,0.4,4619518.528522935,95268.35869324197
1989,0.5,3295250.5011034096,67748.93094166345
1989,0.6,2319009.2387826247,47571.37161171497
1989,0.7,1562000.4368741342,31955.833174416915
1990,0.35,5224873.307132383,99028.18567453358
1990,0.4,4400049.058746408,83226.10360683445
1990,0.5,3138937.8109504613,59191.41829514076
1990,0.6,2209128.7268433245,41565.706608442866
1990,0.7,1488052.5960762515,27923.205082863296
1991,0.35,4963595.888649803,85971.63411567459
1991,0.4,4180235.596659317,72254.66334179378
1991,0.5,2982359.309893997,51390.2027769363
1991,0.6,2099050.8602332077,36088.433763862544
1991,0.7,1413966.5654524434,24244.14718553936
1992,0.35,4614993.6154483445,73922.99625058896
1992,0.4,3886827.662330195,62126.24837342689
1992,0.5,2773220.3966170656,44184.205473847935
1992,0.6,1951951.8265729002,31026.915080907966
1992,0.7,1314927.8572915064,20843.23751280809
1993,0.35,4175400.3052546857,66697.75012822759
1993,0.4,3516624.2125872644,56052.57323991871
1993,0.5,2509115.0932784416,39863.07297808118
1993,0.6,1766075.6468609287,27991.76731159559
1993,0.7,1189721.2202345992,18803.892009909287
1994,0.35,3639312.7602122976,57060.71492040783
1994,0.4,3065187.6981870416,47945.851707082154
1994,0.5,2187089.6458594776,34089.478022168594
1994,0.6,1539452.000553932,23933.33776231596
1994,0.7,1037075.555258618,16075.407140092226
1995,0.35,3170688.928942409,52639.69395612183
