year,ABC,retro
1975,2.5665841009262467,retro_0
1976,2.507367130602562,retro_0
1977,2.4512966597087402,retro_0
1978,2.425734534963107,retro_0
1979,2.391468715776649,retro_0
1980,2.4369010302584324,retro_0
1981,2.7480441334078938,retro_0
1982,3.1548924154567164,retro_0
1983,3.5447179294777107,retro_0
1984,3.8600460778375383,retro_0
1985,4.183758441912585,retro_0
1986,4.3102005002215,retro_0
1987,4.319891664512421,retro_0
1988,4.183264910298633,retro_0
1989,3.945541208966158,retro_0
1990,3.750523625670645,retro_0
1991,3.547466054916303,retro_0
1992,3.2868712746272184,retro_0
1993,2.969154148624899,retro_0
1994,2.5995169866025285,retro_0
1995,2.273321790309858,retro_0
1996,1.9721780667757633,retro_0
1997,1.6972046934218803,retro_0
1998,1.4355370030257864,retro_0
1999,1.208615660538245,retro_0
2000,1.0896277281987925,retro_0
2001,1.0111986646659343,retro_0
2002,0.9991906098418541,retro_0
2003,1.0145749843905816,retro_0
2004,1.0370567808977247,retro_0
2005,1.0465133052807432,retro_0
2006,1.0501452014290236,retro_0
2007,1.0421899757643396,retro_0
2008,1.0401745817587984,retro_0
2009,1.0242784193484529,retro_0
2010,1.018166833330228,retro_0
2011,1.0108757997481774,retro_0
2012,1.0148065829424877,retro_0
2013,1.0103449872483232,retro_0
2014,0.9993143471314088,retro_0
2015,0.987617461779662,retro_0
2016,0.9715447634784788,retro_0
2017,0.9665048896858198,retro_0
2018,0.9717397545302273,retro_0
2019,0.9897226662582957,retro_0
2020,1.0449477098908246,retro_0
2021,1.1565170485176348,retro_0
2022,1.2986613353011243,retro_0
2023,1.4475680061274827,retro_0
2024,1.5966144400398217,retro_0
2025,1.742347761464272,retro_0
1975,2.5769733930266736,retro_1
1976,2.517263988471811,retro_1
1977,2.460485675826813,retro_1
1978,2.433476858803034,retro_1
1979,2.39712539672738,retro_1
1980,2.4419042089343383,retro_1
1981,2.756471996113151,retro_1
1982,3.16726102596829,retro_1
1983,3.559671130076778,retro_1
1984,3.8756461509776794,retro_1
1985,4.200328934666404,retro_1
1986,4.32589663898313,retro_1
1987,4.334906725986711,retro_1
1988,4.195731559769697,retro_1
1989,3.955255271902741,retro_1
1990,3.759311228677133,retro_1
1991,3.555818669340736,retro_1
1992,3.2949612530057903,retro_1
1993,2.9762898775462263,retro_1
1994,2.606334787125372,retro_1
1995,2.279507082082257,retro_1
1996,1.9779068913876894,retro_1
1997,1.7027675315693402,retro_1
1998,1.4406837455291641,retro_1
1999,1.2133701943986719,retro_1
2000,1.0941213103238565,retro_1
2001,1.0156510705358384,retro_1
2002,1.0036246107071114,retro_1
2003,1.0190770949465602,retro_1
2004,1.0416471321660359,retro_1
2005,1.0511884217169587,retro_1
2006,1.0548710305809275,retro_1
2007,1.0469665725032136,retro_1
2008,1.0449869570464418,retro_1
2009,1.0291059817197161,retro_1
2010,1.0230568490536476,retro_1
2011,1.015882307367965,retro_1
2012,1.0200420468153442,retro_1
2013,1.0158980662941375,retro_1
2014,1.005260992017301,retro_1
2015,0.9939911737750529,retro_1
2016,0.9784720056533328,retro_1
2017,0.9744332958624025,retro_1
2018,0.9816393281649864,retro_1
2019,1.0029821236968408,retro_1
2020,1.0634550057889747,retro_1
2021,1.181324465223238,retro_1
2022,1.3272716470208596,retro_1
2023,1.47117872465447,retro_1
2024,1.5963836165425624,retro_1
1975,2.5817505128100167,retro_2
1976,2.522249611617973,retro_2
1977,2.4658721112327675,retro_2
1978,2.4398561519797957,retro_2
1979,2.4050544197734864,retro_2
1980,2.450562932629006,retro_2
1981,2.763270699627498,retro_2
1982,3.1719956623550654,retro_2
1983,3.563326190556964,retro_2
1984,3.8794550353927266,retro_2
1985,4.203905736497686,retro_2
1986,4.330254807365404,retro_2
1987,4.339778981840367,retro_2
1988,4.202196866924123,retro_2
1989,3.9633157336298623,retro_2
1990,3.7677180268451793,retro_2
1991,3.564204033214766,retro_2
1992,3.303225589662381,retro_2
1993,2.984857910740118,retro_2
1994,2.614805537627364,retro_2
1995,2.2880221839624406,retro_2
1996,1.986315749256429,retro_2
1997,1.710837058637674,retro_2
1998,1.448437357627269,retro_2
1999,1.2207487653220144,retro_2
2000,1.1013368354211968,retro_2
2001,1.0227231537324506,retro_2
2002,1.0108162651974761,retro_2
2003,1.02650958787721,retro_2
2004,1.0493372931550935,retro_2
2005,1.0590635412926879,retro_2
2006,1.062895707485028,retro_2
2007,1.0550689361436079,retro_2
2008,1.0531270077534325,retro_2
2009,1.037253068779939,retro_2
2010,1.0312503197259686,retro_2
2011,1.024235660162599,retro_2
2012,1.0287716004124365,retro_2
2013,1.025144928225903,retro_2
2014,1.0150958855347287,retro_2
2015,1.0044765440867784,retro_2
2016,0.9899302647922733,retro_2
2017,0.9875656319670898,retro_2
2018,0.9980672339608193,retro_2
2019,1.0247279721433766,retro_2
2020,1.0923798751963716,retro_2
2021,1.2171878919433683,retro_2
2022,1.3679283767338242,retro_2
2023,1.5164041007319786,retro_2
1975,2.4992989166186725,retro_3
1976,2.4425099941565014,retro_3
1977,2.3883496038135528,retro_3
1978,2.3626211335989318,retro_3
1979,2.3343836180837876,retro_3
1980,2.4054509014234213,retro_3
1981,2.7029068418140225,retro_3
1982,3.133716340234576,retro_3
1983,3.5263778946541224,retro_3
1984,3.8438069617852664,retro_3
1985,4.136344540293418,retro_3
1986,4.2361247688635855,retro_3
1987,4.230657212399196,retro_3
1988,4.0806902272085805,retro_3
1989,3.83585191335717,retro_3
1990,3.6382024320586153,retro_3
1991,3.4354420926966043,retro_3
1992,3.179718191444653,retro_3
1993,2.8705705222871836,retro_3
1994,2.5139974836080934,retro_3
1995,2.1998808479819703,retro_3
1996,1.9105367972271288,retro_3
1997,1.6473343245154315,retro_3
1998,1.397026567685451,retro_3
1999,1.1810965067035395,retro_3
2000,1.0701891448460905,retro_3
2001,0.9982927062760457,retro_3
2002,0.9915794836381044,retro_3
2003,1.0099344120389107,retro_3
2004,1.034308752153059,retro_3
2005,1.0434125542300257,retro_3
2006,1.0450945671332896,retro_3
2007,1.0347102596588804,retro_3
2008,1.0298114707954547,retro_3
2009,1.0121835850034828,retro_3
2010,1.0048485248604038,retro_3
2011,0.9976926616852615,retro_3
2012,1.0017391264764524,retro_3
2013,0.9987950989655184,retro_3
2014,0.9900454738779362,retro_3
2015,0.9805484179534744,retro_3
2016,0.9676128209242336,retro_3
2017,0.9679979848996708,retro_3
2018,0.9836544368053978,retro_3
2019,1.0203716265248781,retro_3
2020,1.1017415743803654,retro_3
2021,1.2282984883772743,retro_3
2022,1.3788629824516316,retro_3
1975,2.5066822413439662,retro_4
1976,2.4493782487346136,retro_4
1977,2.3947890682084396,retro_4
1978,2.368820221208487,retro_4
1979,2.340503544553852,retro_4
1980,2.4117109556450127,retro_4
1981,2.7096311814350162,retro_4
1982,3.1411045095556145,retro_4
1983,3.534347985665506,retro_4
1984,3.852051656715215,retro_4
1985,4.1445213616448235,retro_4
1986,4.243834701067465,retro_4
1987,4.237745736072305,retro_4
1988,4.087092255363728,retro_4
1989,3.8415752759378616,retro_4
1990,3.6434102842037466,retro_4
1991,3.4402592047176945,retro_4
1992,3.1842228994447233,retro_4
1993,2.874746871067441,retro_4
1994,2.5176924008846564,retro_4
1995,2.2030707388590485,retro_4
1996,1.9131892176964076,retro_4
1997,1.6494237254435915,retro_4
1998,1.3985083232834437,retro_4
1999,1.1819615045734675,retro_4
2000,1.070640796637296,retro_4
2001,0.9983556555247679,retro_4
2002,0.9914240169482077,retro_4
2003,1.0096285794335098,retro_4
2004,1.0338372510837006,retro_4
2005,1.0427274375859286,retro_4
