Parameter,Estimate,se
log_srv_slx_pars,1.569335866441106,0.11391985637164409
log_srv_slx_pars.1,0.07490800413238456,1.092459998425465
log_srv_slx_pars.2,-0.6163860520044201,0.14246214698805998
log_srv_slx_pars.3,2.9641532280369716,15.137015447474004
log_srv_slx_pars.4,0.7829132627649346,0.201386283286889
log_srv_slx_pars.5,0.94992329105148,0.07489194792679157
log_srv_slx_pars.6,0.06311108772760649,1.026654277184275
log_srv_slx_pars.7,0.2825480404471292,0.34256355384456033
log_srv_slx_pars.8,0.23450945853906371,0.14344260959091365
log_srv_slx_pars.9,2.9210442497716516,16.785512211274924
fsh_logq,-17.583166549351418,0.04196705875468271
fsh_logq.1,-16.366125667254806,0.025557264917753987
fsh_logq.2,-16.613342534760942,0.05306086716110058
srv_logq,-16.772895545916306,0.04745115086161891
srv_logq.1,-16.532731354977695,0.041743832336747964
srv_logq.2,-17.24651526991251,0.0378358840260099
mr_logq,-0.04671772604548583,0.0097696024119543
log_rbar,13.150649906561844,0.10975806468060602
log_rec_devs,0.8563138555258606,0.7519552928372121
log_rec_devs.1,0.8411326280058862,0.7503818561125986
log_rec_devs.2,0.8585753501442064,0.7635676182984152
log_rec_devs.3,3.5639283841062115,0.23806744623446804
log_rec_devs.4,0.9966732750479883,0.8328800569420609
log_rec_devs.5,1.1396371340468774,0.9052639475528174
log_rec_devs.6,1.3596947040321388,1.0090560586272372
log_rec_devs.7,1.3142531836240143,0.9108921634571611
log_rec_devs.8,1.0811419704637368,0.7898811814293903
log_rec_devs.9,0.8613251711667176,0.6938250802514814
log_rec_devs.10,0.6318679121462093,0.6220058014671327
log_rec_devs.11,0.4566307206618026,0.5746824753069717
log_rec_devs.12,0.3094825747523903,0.5407886021821777
log_rec_devs.13,0.1633449767698976,0.5150673126950379
log_rec_devs.14,0.0461729258147799,0.49756173712324486
log_rec_devs.15,0.01485307304878091,0.487344450423397
log_rec_devs.16,0.0968732997359695,0.4775137359589671
log_rec_devs.17,0.21275119665429612,0.460377353786748
log_rec_devs.18,0.15218396349373925,0.45750687548916746
log_rec_devs.19,0.09774691350095527,0.46118949467599485
log_rec_devs.20,0.3772728912992746,0.43851276626875896
log_rec_devs.21,0.5625563504440564,0.4365836680682001
log_rec_devs.22,0.7984506427997359,0.4272099614937897
log_rec_devs.23,1.2177257237964816,0.33437517977916387
log_rec_devs.24,1.0979009184659663,0.3656551305120432
log_rec_devs.25,1.07050697559974,0.3473697009000767
log_rec_devs.26,0.7698155938349295,0.405022553236329
log_rec_devs.27,0.4931086405238098,0.430517157269422
log_rec_devs.28,0.32851770176288136,0.41612772797493497
log_rec_devs.29,0.2201535190920168,0.42552284042305505
log_rec_devs.30,0.37936797564365377,0.36897667778457055
log_rec_devs.31,0.11334522892309638,0.4073860431558885
log_rec_devs.32,-0.00323340951758871,0.4061515009452779
log_rec_devs.33,0.05088314958009691,0.4263214919404449
log_rec_devs.34,0.8061086134191693,0.27861624814027325
log_rec_devs.35,0.22773232117405823,0.3641816994396202
log_rec_devs.36,-0.47639079638309484,0.41508902183733004
log_rec_devs.37,-0.2840446199767174,0.3612826724379468
log_rec_devs.38,-0.22989332193981105,0.38448333910375954
log_rec_devs.39,0.13779626675719317,0.3793775531556709
log_rec_devs.40,1.2184657736015263,0.20672711967924465
log_rec_devs.41,1.1455903755384504,0.23291617107332102
log_rec_devs.42,0.5766137341617003,0.38835844831244465
log_rec_devs.43,2.456533051411085,0.14513797576095408
log_rec_devs.44,1.3518031623614697,0.2804126696334465
log_rec_devs.45,1.7178895451895642,0.19666951575170113
log_rec_devs.46,0.6835002244852868,0.3801042946547087
log_rec_devs.47,1.992068499076901,0.16713158843054216
log_rec_devs.48,1.714111150263835,0.18986077388062944
log_rec_devs.49,0.46719048531512125,0.6282950817747066
log_rec_devs.50,0.6839704205935481,0.6946119201366839
log_rinit,13.031633499552868,0.1802057466362997
log_rinit_devs,0.8530202952090874,0.7466366068667611
log_rinit_devs.1,0.8533543733449714,0.7475333645150268
log_rinit_devs.2,0.8451021319731877,0.7468669212568636
log_rinit_devs.3,0.8569806204093819,0.752664773345615
log_rinit_devs.4,0.8643271250165314,0.7558516917261782
log_rinit_devs.5,0.8384605812689628,0.7462797778623299
log_rinit_devs.6,0.8046774455619783,0.7343152650133836
log_rinit_devs.7,0.751665625742986,0.7169021451067786
log_rinit_devs.8,0.7241402616877592,0.7081492551094759
log_rinit_devs.9,0.7006799409358949,0.7007488187647374
log_rinit_devs.10,0.6893172525229204,0.6971759375112486
log_rinit_devs.11,0.6774990095396246,0.6934526381980458
log_rinit_devs.12,0.6724712355273788,0.6918294220680355
log_rinit_devs.13,0.6663590671986828,0.6898662228661713
log_rinit_devs.14,0.6659740079000958,0.6896701502624171
log_rinit_devs.15,0.6665619299589913,0.6897808568572413
log_rinit_devs.16,0.6672385547836712,0.6899265522770502
