year,Fxx,ABC,discarded
1975,0.35,2538979.2201449242,53346.19229252185
1975,0.4,2136240.1271019364,44758.11607448199
1975,0.5,1521832.0818634885,31750.71192903363
1975,0.6,1069909.2928727812,22253.915899713043
1975,0.7,720075.35833624,14927.670666752825
1976,0.35,2435047.4057328356,53531.501132123696
1976,0.4,2048766.2033996827,44908.1014280134
1976,0.5,1459486.7918511052,31851.283288197723
1976,0.6,1026062.8667422808,22321.463153862183
1976,0.7,690557.8360421419,14971.472445386966
1977,0.35,2343489.864438903,56464.153286264256
1977,0.4,1971671.8940109303,47357.87896156113
1977,0.5,1404501.961190855,33577.68737265335
1977,0.6,987374.0144093381,23525.7072749882
1977,0.7,664502.7099358701,15776.297311883964
1978,0.35,2325104.106005545,73139.9322280564
1978,0.4,1956143.8779996554,61299.08597705072
1978,0.5,1393377.1390144655,43414.38598895027
1978,0.6,979520.7890416435,30393.46680725701
1978,0.7,659200.790495283,20369.420039929475
1979,0.35,2324454.232053287,98056.17214742093
1979,0.4,1955375.4583183248,82128.56985841927
1979,0.5,1392593.8443132874,58110.4204127604
1979,0.6,978850.7281169702,40653.43799845321
1979,0.7,658688.6159316289,27230.99826172439
1980,0.35,2462816.008172202,176990.21548386288
1980,0.4,2070824.7648038033,148189.7733609277
1980,0.5,1473811.895395031,104797.0684482027
1980,0.6,1035431.0411072194,73286.58545444666
1980,0.7,696502.4465364158,49075.054880708165
1981,0.35,3036063.727590138,241656.71587980242
1981,0.4,2551748.4050442716,202557.51881581947
1981,0.5,1814925.6945448674,143482.52810850495
1981,0.6,1274489.997339604,100460.1572983955
1981,0.7,857005.1533849587,67332.92756440969
1982,0.35,3763012.606370472,247362.43567116727
1982,0.4,3162633.487989778,207468.10632718718
1982,0.5,2249304.8679965665,147097.4220775842
1982,0.6,1579463.8216683136,103060.42640704609
1982,0.7,1062047.443211655,69111.38460682951
1983,0.35,4452877.733420004,232385.8982284962
1983,0.4,3743163.9229645366,194962.56677875362
1983,0.5,2662964.553552126,138290.22255102155
1983,0.6,1870330.7646351757,96920.06866682153
1983,0.7,1257831.8889991809,65009.27643201416
1984,0.35,5008763.11876165,214310.33667395162
1984,0.4,4211029.534945228,179844.0775703326
1984,0.5,2996431.3812784096,127615.54923442674
1984,0.6,2104854.199038536,89463.64793842153
1984,0.7,1415714.1624019267,60020.64341251176
1985,0.35,5552125.428529476,185290.09307524702
1985,0.4,4669186.236308288,155494.35115944795
1985,0.5,3323868.4978224775,110340.77057461998
1985,0.6,2335590.352109576,77355.10640123877
1985,0.7,1571280.343751333,51897.99736281637
1986,0.35,5778765.184457789,162605.426961635
1986,0.4,4860654.492872648,136459.07942511424
1986,0.5,3461101.2337863254,96834.67821011445
1986,0.6,2432494.322550015,67887.3269011523
1986,0.7,1636717.2749844799,45546.377330592826
1987,0.35,5728823.076270732,144440.90078157873
1987,0.4,4819113.6877370775,121226.89249672847
1987,0.5,3432020.367865043,86037.84354191921
1987,0.6,2412309.676310858,60324.28280264611
1987,0.7,1623266.4336306034,40475.44572487035
1988,0.35,5563131.808996485,130620.84326175455
1988,0.4,4679945.373898872,109648.28556375821
1988,0.5,3333134.740243388,77841.95360386069
1988,0.6,2342918.8369728476,54588.911519873276
1988,0.7,1576631.2355732163,36632.91971945927
1989,0.35,5320977.183679507,115002.95847578041
1989,0.4,4476466.217552823,96550.71861373865
1989,0.5,3188460.7973558493,68557.2678674659
1989,0.6,2241350.490608287,48084.682894719466
1989,0.7,1508346.8621369675,32271.70581519507
1990,0.35,5070230.333926204,99849.97424638184
1990,0.4,4265758.62650913,83836.10595053583
1990,0.5,3038638.751186036,59536.64888116319
1990,0.6,2136163.7250319975,41761.67018489916
1990,0.7,1437627.7526019104,28030.055802288825
1991,0.35,4813173.519243682,86208.24147527512
1991,0.4,4049718.711067291,72384.86079905104
1991,0.5,2884993.4051457974,51407.32870235811
1991,0.6,2028276.6443351319,36060.859309045016
1991,0.7,1365084.9454496382,24204.47910201042
1992,0.35,4420203.474600004,77083.95769428261
1992,0.4,3719159.958758145,64724.525855468986
1992,0.5,2649590.2808396183,45967.95452403535
1992,0.6,1862821.0804136426,32245.775353871304
1992,0.7,1253751.08680042,21644.004291534948
1993,0.35,4024301.0800175183,66149.47227478931
1993,0.4,3386185.8568025394,55538.59618022303
1993,0.5,2412522.1867418494,39439.09916642343
1993,0.6,1696223.4228887367,27663.408409485917
1993,0.7,1141663.2559547517,18566.959671925106
1994,0.35,3455878.3104239986,58916.19422090377
1994,0.4,2907884.69190546,49459.264934532504
1994,0.5,2071740.4609634192,35115.324840118075
1994,0.6,1456617.086080217,24627.22901482262
1994,0.7,980390.4832808865,16527.415287200187
1995,0.35,3015378.4823717657,52793.84153588671
1995,0.4,2537259.2641854202,44308.524189470896
1995,0.5,1807713.1365862836,31446.559669087375
1995,0.6,1270996.425620339,22048.255647794096
1995,0.7,855463.9098711261,14793.589365822147
1996,0.35,2591440.2557692714,50334.98478057044
1996,0.4,2180479.515302328,42234.484405452204
1996,0.5,1553454.0513859328,29963.53972936062
1996,0.6,1092194.6767640612,21002.876043510234
1996,0.7,735101.6048811565,14089.311962375288
1997,0.35,2215320.361154517,49083.20443466705
1997,0.4,1863941.0176250234,41169.260734873766
1997,0.5,1327871.1136878848,29191.95519077659
1997,0.6,933557.9873550239,20454.000807959437
1997,0.7,628313.2799923084,13716.983298348316
1998,0.35,1872905.156726523,51422.17882050828
1998,0.4,1575686.7165732265,43119.43183566056
1998,0.5,1122357.9746530012,30562.328791200187
1998,0.6,788990.6228317289,21407.87620953908
1998,0.7,530973.0488943649,14353.434498803772
1999,0.35,1585631.9518035331,54555.4671384633
1999,0.4,1333818.3560934537,45737.368337983295
1999,0.5,949879.6803086578,32407.820363175422
1999,0.6,667643.024812303,22695.478888652517
1999,0.7,449257.68878079596,15214.116520360118
2000,0.35,1462379.7837210556,62456.15997830667
2000,0.4,1229932.9303462333,52352.441176069304
2000,0.5,875676.8005956002,37085.851080019
2000,0.6,615375.8902234079,25966.88351197086
2000,0.7,414029.4919347676,17404.731385230276
2001,0.35,1395162.7820854401,68749.43170201527
2001,0.4,1173200.3455579667,57633.232213807256
2001,0.5,835071.3646255151,40832.5945181909
2001,0.6,586732.2162982342,28593.24216238908
2001,0.7,394702.0225722951,19166.595336168353
2002,0.35,1424103.7647727123,73847.4301772006
2002,0.4,1197389.9134861177,61915.762213084534
2002,0.5,852131.8754862718,43876.10549739993
2002,0.6,598639.061912541,30729.219553001363
2002,0.7,402670.66357011895,20600.814128306818
2003,0.35,1487597.9469284741,75561.30530518114
2003,0.4,1250723.2180410405,63366.06430774169
2003,0.5,890030.1686134556,44918.01528020252
2003,0.6,625234.2805347882,31466.09755253061
2003,0.7,420544.7362355783,21098.48946506534
2004,0.35,1551771.3419202957,72818.46863452722
2004,0.4,1304703.5619962586,61079.373761968905
2004,0.5,928470.0507024801,43311.38043036438
2004,0.6,652251.1861748112,30347.866595702002
2004,0.7,438723.6436924724,20352.423770777394
2005,0.35,1585473.261467772,67344.37204605664
2005,0.4,1333150.1484636934,56492.96996477114
2005,0.5,948831.5639056945,40064.72072213474
2005,0.6,666615.0566850196,28075.787203639335
2005,0.7,448415.9846040239,18830.134860640897
2006,0.35,1604070.145991118,62444.729944674764
2006,0.4,1348899.7074962647,52385.82840703389
2006,0.5,960160.8349802899,37155.14331821454
2006,0.6,674635.5587518123,26038.491702696745
2006,0.7,453842.53529231274,17464.575868171658
2007,0.35,1600782.2014279244,58216.439148629775
2007,0.4,1346236.8599632178,48839.23936508563
2007,0.5,958374.5102908098,34640.32040166726
2007,0.6,673435.9315339181,24276.412680737416
2007,0.7,453064.0757772766,16282.876675976571
2008,0.35,1612194.6116842653,55318.25513889145
2008,0.4,1355918.5970350874,46410.385719866434
2008,0.5,965356.6634458095,32920.27029959499
2008,0.6,678387.8331261042,23072.33093203528
2008,0.7,456419.0179145964,15475.960332091829
2009,0.35,1602377.800940494,52533.0532783048
2009,0.4,1347721.7054822582,44075.27821931838
2009,0.5,959584.294972336,31265.621818016753
2009,0.6,674363.6422732909,21913.538650114635
2009,0.7,453728.12139669195,14699.14381630876
2010,0.35,1611613.0250029496,50796.96997562335
2010,0.4,1355542.3945054691,42619.239878902576
2010,0.5,965209.4536438972,30233.343182159068
2010,0.6,678345.6691215945,21190.34017638081
2010,0.7,456422.16249807004,14214.199119682384
2011,0.35,1617570.0866708623,49606.888421201584
2011,0.4,1360590.4922327031,41620.71237373428
2011,0.5,968844.1237615676,29524.97234111807
2011,0.6,680920.5556766046,20693.833870196162
