year,fsh_cpue,var,se,upper,lower,CPUE,cpue
1980,0.7190985,0.641,0.4102523,1.539603,-0.10140616,Fully Standardized,0.719
1981,0.9796333,0.641,0.4102523,1.800138,0.15912858,Fully Standardized,0.98
1982,1.240168,0.641,0.4102523,2.060673,0.41966332,Fully Standardized,1.24
1983,1.5213557,0.641,0.4102523,2.34186,0.70085105,Fully Standardized,1.521
1984,1.304248,0.641,0.4102523,2.124753,0.48374336,Fully Standardized,1.304
1985,1.8795339,0.641,0.4102523,2.700039,1.05902917,Fully Standardized,1.88
1986,1.5805372,0.641,0.4102523,2.401042,0.7600325,Fully Standardized,1.581
1987,1.704394,0.641,0.4102523,2.524899,0.88388931,Fully Standardized,1.704
1988,1.5794883,0.641,0.4102523,2.399993,0.75898362,Fully Standardized,1.579
1989,1.155881,0.641,0.4102523,1.976386,0.33537636,Fully Standardized,1.156
1990,1.4018294,0.641,0.4102523,2.222334,0.58132471,Fully Standardized,1.402
1991,1.2671615,0.641,0.4102523,2.087666,0.44665685,Fully Standardized,1.267
1992,1.4684424,0.641,0.4102523,2.288947,0.64793774,Fully Standardized,1.468
1993,1.5873016,0.641,0.4102523,2.407806,0.7667969,Fully Standardized,1.587
1994,0.992725,0.641,0.4102523,1.81323,0.17222031,Fully Standardized,0.993
1995,0.838343,0.641,0.4102523,1.658848,0.01783831,Fully Standardized,0.838
1996,0.730465,0.641,0.4102523,1.55097,-0.09003969,Fully Standardized,0.73
1997,1.4710061,0.569,0.3239267,2.11886,1.0224787,Fully Standardized,1.471
1998,1.3013283,0.532,0.2828909,1.86711,0.90821284,Fully Standardized,1.301
1999,1.2643085,0.524,0.2745234,1.813355,0.88272015,Fully Standardized,1.264
2000,1.2345377,0.518,0.2679375,1.770413,0.86208112,Fully Standardized,1.235
2001,1.2366849,0.519,0.2692035,1.775092,0.86280619,Fully Standardized,1.237
2002,1.4034525,0.553,0.3057942,2.015041,0.97871166,Fully Standardized,1.403
2003,1.8251902,0.633,0.4012574,2.627705,1.26900447,Fully Standardized,1.825
2004,1.7093046,0.612,0.3742494,2.457803,1.18998367,Fully Standardized,1.709
2005,1.6986094,0.609,0.3714286,2.441467,1.18300704,Fully Standardized,1.699
2006,1.7779508,0.623,0.3882419,2.554435,1.23872394,Fully Standardized,1.778
2007,1.9607404,0.656,0.4301185,2.820977,1.36405927,Fully Standardized,1.961
2008,2.1690243,0.69,0.4764074,3.121839,1.50825175,Fully Standardized,2.169
2009,1.950352,0.655,0.4291098,2.808572,1.35561769,Fully Standardized,1.95
2010,1.8046902,0.63,0.397486,2.599662,1.25405928,Fully Standardized,1.805
2011,2.0232504,0.67,0.4483007,2.919852,1.40321878,Fully Standardized,2.023
2012,2.1830906,0.695,0.483334,3.149759,1.51434302,Fully Standardized,2.183
2013,1.8961109,0.647,0.4188302,2.733771,1.3163644,Fully Standardized,1.896
2014,2.0735213,0.679,0.4603863,2.994294,1.43714776,Fully Standardized,2.074
2015,1.8528559,0.64,0.4098481,2.672552,1.28581535,Fully Standardized,1.853
2016,1.5071924,0.577,0.3332883,2.173769,1.04626677,Fully Standardized,1.507
2017,1.833287,0.637,0.4056341,2.644555,1.2721388,Fully Standardized,1.833
2018,2.3451515,0.722,0.5213437,3.387839,1.62463039,Fully Standardized,2.345
2019,1.9253267,0.652,0.4256847,2.776696,1.33624396,Fully Standardized,1.925
2020,1.9912572,0.663,0.4391801,2.869617,1.38299582,Fully Standardized,1.991
2021,2.4352397,0.734,0.5393118,3.513863,1.6889608,Fully Standardized,2.435
2022,2.8915681,0.802,0.64369,4.178948,2.00203852,Fully Standardized,2.892
2023,2.1216446,0.687,0.471906,3.065457,1.46967538,Fully Standardized,2.122
2024,1.9081084,0.649,0.4211912,2.750491,1.32496279,Fully Standardized,1.908
2025,2.1867065,0.695,0.4828135,3.152333,1.51811484,Fully Standardized,2.187
