Year,Fmort
1975,0.041450967573235915
1976,0.041611567773301175
1977,0.024196871077786217
1978,0.03320964934949428
1979,0.04759359692604693
1980,0.032053193243159285
1981,0.02167418817634631
1982,0.02211975390676362
1983,0.029616450993796548
1984,0.026283587027375568
1985,0.04102295155474617
1986,0.05728402760659405
1987,0.05500600817610056
1988,0.061325648335614255
1989,0.05734557677037824
1990,0.0533867870063786
1991,0.06795395076444773
1992,0.08062829977317629
1993,0.12217256584057314
1994,0.11450472376456552
1995,0.11864032453292625
1996,0.1348778356925675
1997,0.1512072640030118
1998,0.16827466269107547
1999,0.12296841192921885
2000,0.12956641691060153
2001,0.09376909575019347
2002,0.08544418371441583
2003,0.08281405030627598
2004,0.08902262185575067
2005,0.08245117341352101
2006,0.08215076156338477
2007,0.06381217987655327
2008,0.06571443844315153
2009,0.049739696642376395
2010,0.04800805121801054
2011,0.04062932689931687
2012,0.04629382636972591
2013,0.046287925229861915
2014,0.03863363142043681
2015,0.03941492663508966
2016,0.032746288775716
2017,0.03448012175658043
2018,0.03911561261861237
2019,0.03792392714479312
2020,0.04091080589577248
2021,0.034999544577914016
2022,0.03636374922125525
2023,0.03532766140918148
2024,0.034769756481493885
2025,0.03558182658741659
