"Parameter","Estimate","Standard error (log space)"
"Survey male selectivity pre-2000, s₅₀",5.27249919229259,"fixed"
"Survey male selectivity 2000-2016, s₅₀",4.51884277288281,"0.121"
"Survey male selectivity 2017-2023, s₅₀",1.07168764261797,"1.025"
"Survey male selectivity pre-2000, δ",0.490740402410498,"fixed"
"Survey male selectivity 2000-2016, δ",0.551186343882131,"0.154"
"Survey male selectivity 2017-2023, δ",20.3237648044746,"15.325"
"Survey female selectivity pre-2000, s₅₀",2.34349847648253,"0.201"
"Survey female selectivity 2000-2016, s₅₀",2.40696017832164,"0.078"
"Survey female selectivity 2017-2023, s₅₀",1.06137902626232,"1.05"
"Survey female selectivity pre-2000, δ",1.20850212163601,"0.33"
"Survey female selectivity 2000-2016, δ",1.34915092558601,"0.157"
"Survey female selectivity 2017-2023, δ",18.627434246233,"18.154"
"Fishery CPUE catchability, ln(qFish,fsh_logq)",-17.5061287890188,"0.044"
"Fishery CPUE catchability, ln(qFish,1)",-16.36027926007,"0.026"
"Fishery CPUE catchability, ln(qFish,2)",-16.52135715163,"0.052"
"Survey CPUE catchability, ln(qSurv,srv_logq)",-16.7203149849794,"0.05"
"Survey CPUE catchability, ln(qSurv,1)",-16.5581996395288,"0.041"
"Survey CPUE catchability, ln(qSurv,2)",-17.1198835846204,"0.037"
"Mark-recapture catchability, ln(qMR)",-0.0438981411961791,"0.01"
"Mean recruitment, μR",474.56875022281,"0.11"
"Mean initial numbers-at-age, μN",421.693243085696,"0.182"
"Mean fishing mortality, μF",-2.92179851244569,"0.314"
