"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",15.2804017654627,0.749178259676716
"2","Fishery CPUE",271.324521151285,13.3026890054145
"3","Survey CPUE",92.4933097359987,4.53482689024418
"4","Mark-recapture abundance",83.690693961831,4.10324606746769
"5","Fishery ages",281.662537542101,13.8095485269807
"6","Survey ages",262.698964563087,12.8797891646463
"7","Fishery lengths",446.835323796486,21.9077557895478
"8","Survey lengths",585.635868652587,28.7129662960221
"9","Data likelihood",2039.62162116884,100
"10","Fishing mortality penalty",1.39917885017857,0.0685999224393762
"11","Recruitment likelihood",24.9576115256008,1.2236392900806
"12","SPR penalty",0.0000000000000000000000000000021570415377137,0.000000000000000000000000000000105756946059317
"13","Sum of catchability priors",9.63525400239836,0.472403994073995
"14","Total likelihood",2075.61366554702,101.764643206594
