"","Likelihood component","Likelihood","Percent of data likelihood"
"1","Catch",8.67913466426016,0.954118832218881
"2","Fishery CPUE",188.451628618106,20.7169556392844
"3","Survey CPUE",52.2083957544084,5.73939862856864
"4","Mark-recapture abundance",62.8137042560021,6.90526653525403
"5","Fishery ages",196.232019953183,21.5722733848885
"6","Survey ages",115.850749573794,12.7357606686533
"7","Fishery lengths",116.291656153039,12.7842306241016
"8","Survey lengths",169.121946655032,18.5919956870306
"9","Data likelihood",909.649235627823,100
"10","Fishing mortality penalty",1.47606355262477,0.162267332814941
"11","Recruitment likelihood",21.4639740521415,2.35958798308971
"12","SPR penalty",0.0000000000000000000000000000058548270309372,0.000000000000000000000000000000643635678635656
"13","Sum of catchability priors",5.32069629117705,0.584917359657297
"14","Total likelihood",937.909969523766,103.106772675562
