Parameter,Estimate,se
log_srv_slx_pars,1.516284544560435,0.11903347463791332
log_srv_slx_pars.1,0.05476286197790009,1.1635414125956955
log_srv_slx_pars.2,-0.5287156763172419,0.16031896670157733
log_srv_slx_pars.3,2.899891816316564,21.832119792655604
log_srv_slx_pars.4,0.8461526154985786,0.2023528445049432
log_srv_slx_pars.5,0.900796493285035,0.07751621433612617
log_srv_slx_pars.6,0.10100180083970707,0.07141155411380162
log_srv_slx_pars.7,0.19701145454339575,0.3321616458880214
log_srv_slx_pars.8,0.4192722355800657,0.18457886423153605
log_srv_slx_pars.9,1.6156360671343741,0.7961581138968223
fsh_logq,-17.504217582350293,0.04395587011234158
fsh_logq.1,-16.361438926966223,0.02619594984507198
fsh_logq.2,-16.389583053999466,0.05617894163461387
srv_logq,-16.718193863954927,0.04978676766787999
srv_logq.1,-16.558588068595746,0.041471002525564286
srv_logq.2,-17.024596046796084,0.03518455417117303
mr_logq,-0.043321879800072224,0.009794537018446839
log_rbar,13.041885398641663,0.11192932830563572
log_rinit,12.947267361378236,0.18157485040848054
log_Fbar,-2.907791847997666,0.31721276884632843
log_spr_Fxx,-2.063508045095782,0.2841774648388032
log_spr_Fxx.1,-2.2592861966739806,0.2708555686372937
log_spr_Fxx.2,-2.6344440695948257,0.2635058763044083
log_spr_Fxx.3,-3.01496269745621,0.27851388222600165
log_spr_Fxx.4,-3.4357891580298032,0.3230258310269114
pred_rec,1061096.7953446843,800448.0356146336
pred_rec.1,1051451.0843705062,793768.9857459288
pred_rec.2,1076533.1004041068,829054.1470004715
pred_rec.3,16537940.122580048,3053367.2571861595
pred_rec.4,1262318.892724405,1072914.135280618
pred_rec.5,1476102.246464044,1381007.2049514812
pred_rec.6,1890676.3567195346,2046666.6199660606
pred_rec.7,1842308.2377822204,1780280.6592829274
pred_rec.8,1430386.2634603656,1166783.5844788686
pred_rec.9,1139455.6181794475,802190.4191186513
pred_rec.10,905625.0845936366,567237.8764842318
pred_rec.11,762557.0531985352,439541.32321882347
pred_rec.12,661641.8429618534,357810.81012807135
pred_rec.13,572749.8961404618,294288.46931917884
pred_rec.14,510924.78845743655,253307.53128769982
pred_rec.15,497158.01128589176,241351.03294291112
pred_rec.16,544092.6716596243,258488.58810687857
pred_rec.17,615934.0161386166,281003.92010270467
pred_rec.18,582653.7114401278,265398.9869547843
pred_rec.19,560090.4747431442,260429.3986059867
pred_rec.20,768020.0361986426,331120.67492320144
pred_rec.21,886705.2045971494,384283.3877774726
pred_rec.22,1048990.5505734005,457992.0800187593
pred_rec.23,1709563.1635347507,529928.1072063451
pred_rec.24,1455079.7214599706,518963.2748476258
pred_rec.25,1337386.9905149965,469081.29264672555
pred_rec.26,1040818.1443541594,414742.1297861841
pred_rec.27,811983.5254154026,335562.6875579323
pred_rec.28,632175.2232456167,268532.51047424984
pred_rec.29,637313.6201416925,260702.40432185816
pred_rec.30,730592.4519052494,259450.48991573905
pred_rec.31,540390.897714039,216893.6395696565
pred_rec.32,471762.836364067,190570.170218781
pred_rec.33,525563.9492621548,221999.66936510103
pred_rec.34,1197577.953748295,291276.5773968475
pred_rec.35,574997.0050902687,220757.13120779587
pred_rec.36,316988.1964608354,128279.76743793793
pred_rec.37,368253.635742707,126408.96788836422
pred_rec.38,330988.1795505692,132006.07508104618
pred_rec.39,687957.7384858468,201159.6287498881
pred_rec.40,1392515.6089614932,259188.69047000687
pred_rec.41,1005527.1385182334,272788.02961571445
pred_rec.42,910405.0445769877,318817.43531970546
pred_rec.43,4181149.4135587923,516782.07123330433
pred_rec.44,1666836.9399131967,519921.67800612294
pred_rec.45,2037589.6428016506,405244.05253667274
pred_rec.46,695053.4387915258,315037.489695619
pred_rec.47,2855347.231006257,483813.0490837957
pred_rec.48,1030008.1148647938,792481.4822619366
pred_rec.49,835492.8816659291,563062.9535664028
