Parameter,Estimate,se
log_srv_slx_pars,1.5110632534581367,0.11868326230640265
log_srv_slx_pars.1,-0.016635151846464708,0.792092365031
log_srv_slx_pars.2,-0.5243367936052236,0.16027200126056323
log_srv_slx_pars.3,2.908370583909126,47.21187228682992
log_srv_slx_pars.4,0.8439519777213528,0.2025382882211381
log_srv_slx_pars.5,0.8961864837570104,0.07786617469925593
log_srv_slx_pars.6,-0.03954785595626417,1.0782624536163545
log_srv_slx_pars.7,0.1994709667529422,0.3327184014866626
log_srv_slx_pars.8,0.42870926786522084,0.1880147268614688
log_srv_slx_pars.9,2.9149813223471996,26.728929471219775
fsh_logq,-17.508007100141768,0.04396023504781337
fsh_logq.1,-16.369514125214955,0.026181199189980683
fsh_logq.2,-16.25636039287878,0.06468962755
srv_logq,-16.723725581650836,0.04975366844834511
srv_logq.1,-16.56953922964019,0.04131639761050834
srv_logq.2,-17.064564115626332,0.03758374789304259
mr_logq,-0.044615255754613496,0.009791139436857707
log_rbar,13.015233860853881,0.11180738281182975
log_rec_devs,0.8280161773871075,0.7414963794253575
log_rec_devs.1,0.8189987860386854,0.741853779549082
log_rec_devs.2,0.8419835288998913,0.7562334266942065
log_rec_devs.3,3.6222868544753997,0.2375655326493897
log_rec_devs.4,0.9996775304125849,0.8348148645298129
log_rec_devs.5,1.15692263567915,0.9229726629471385
log_rec_devs.6,1.4130037962633704,1.0963025403635163
log_rec_devs.7,1.4175080952338166,1.0044464886518283
log_rec_devs.8,1.1635187553882944,0.8462927885791484
log_rec_devs.9,0.9338642362481194,0.725850833259608
log_rec_devs.10,0.7018613591871552,0.6430572089420329
log_rec_devs.11,0.5296012589998594,0.5915111562559509
log_rec_devs.12,0.38808443699679235,0.5555418244731551
log_rec_devs.13,0.24389248793371074,0.5281899471661886
log_rec_devs.14,0.12957493278243412,0.5098485904423873
log_rec_devs.15,0.1025902396976558,0.49979417851851765
log_rec_devs.16,0.19430340202570068,0.49086939238318633
log_rec_devs.17,0.32041320518849137,0.47396941805853227
log_rec_devs.18,0.2633470789552028,0.47199734504738544
log_rec_devs.19,0.22181149191996405,0.47981757436022454
log_rec_devs.20,0.5397111421860791,0.4496581712104997
log_rec_devs.21,0.6848173113307379,0.45170066381579743
log_rec_devs.22,0.8493904208007578,0.45352713902731207
log_rec_devs.23,1.3445510767026032,0.33341512751222
log_rec_devs.24,1.1789401598462688,0.37504046737795727
log_rec_devs.25,1.0952367400998926,0.37211908029250645
log_rec_devs.26,0.8461673671571255,0.41696660083943005
log_rec_devs.27,0.597190268180021,0.43198669251616684
log_rec_devs.28,0.34259953008758204,0.44228666979684705
log_rec_devs.29,0.3548297898550019,0.4264330217706217
log_rec_devs.30,0.4970903189719063,0.3757424013689627
