"","Parameter","Estimate","Standard error (log space)"
"1","Survey female selectivity pre-2000, s₅₀",5.27249919229259,"fixed"
"2","Survey female selectivity 2000-2016, s₅₀",4.51884277288281,"0.121"
"3","Survey female selectivity 2017-2023, s₅₀",1.07168764261797,"1.025"
"4","Survey female selectivity pre-2000, δ",0.490740402410498,"fixed"
"5","Survey female selectivity 2000-2016, δ",0.551186343882131,"0.154"
"6","Survey female selectivity 2017-2023, δ",20.3237648044746,"15.325"
"7","Survey male selectivity pre-2000, s₅₀",2.34349847648253,"0.201"
"8","Survey male selectivity 2000-2016, s₅₀",2.40696017832164,"0.078"
"9","Survey male selectivity 2017-2023, s₅₀",1.06137902626232,"1.05"
"10","Survey male selectivity pre-2000, δ",1.20850212163601,"0.33"
"11","Survey male selectivity 2000-2016, δ",1.34915092558601,"0.157"
"12","Survey male selectivity 2017-2023, δ",18.627434246233,"18.154"
