Parameter,Estimate,se
log_srv_slx_pars,2.2834273345985037,0.2735573434000723
log_srv_slx_pars.1,0.13475720550659012,3.065612852617632
log_srv_slx_pars.2,-1.234728706323538,0.2668882225808776
log_srv_slx_pars.3,3.041473037415661,24.323539940960305
log_srv_slx_pars.4,1.5060762685721114,0.4614578095053782
log_srv_slx_pars.5,1.161579940137383,0.13039446020686823
log_srv_slx_pars.6,0.09122853174067619,1.3552227041603704
log_srv_slx_pars.7,-0.3850933000915126,0.6677646740989467
log_srv_slx_pars.8,0.08101104379728094,0.23808418217510854
log_srv_slx_pars.9,3.1129497190132396,15.545281624983364
fsh_logq,-17.210702456104116,0.05766709362339192
fsh_logq.1,-16.236681279834176,0.027874946394414617
fsh_logq.2,-16.401155643333325,0.054646906475443575
srv_logq,-16.412036940215074,0.1096342400895395
srv_logq.1,-16.186738868452284,0.123286127288331
srv_logq.2,-16.948965902983655,0.04130302094543937
mr_logq,-0.0325353442299193,0.009845728887282622
log_rbar,13.679446524060312,0.08416178979538531
log_rec_devs,0.26395988913927093,0.5265605090522341
log_rec_devs.1,0.28556033665695707,0.5354308295396252
log_rec_devs.2,0.31729527511620337,0.549215410383977
log_rec_devs.3,2.7645425494097555,0.2230149485226969
log_rec_devs.4,0.3818997905844295,0.5732639121233521
log_rec_devs.5,0.4153189069921737,0.5774799848772554
log_rec_devs.6,0.4477905963003122,0.5742947427212917
log_rec_devs.7,0.4402550222980969,0.554159465021907
log_rec_devs.8,0.38672308137997335,0.5267158977126217
log_rec_devs.9,0.29966089621168734,0.4989904893865203
log_rec_devs.10,0.15892302571846995,0.46653198697030784
log_rec_devs.11,8.820949426130768e-4,0.43610614906310513
log_rec_devs.12,-0.15427935385872155,0.41099869512460047
log_rec_devs.13,-0.2937420732465456,0.3917280919849747
log_rec_devs.14,-0.3945371372365257,0.37874182698935155
log_rec_devs.15,-0.4392993017401291,0.37185300622372824
log_rec_devs.16,-0.4196180301235286,0.37045585399213937
log_rec_devs.17,-0.3271728207225647,0.3757355210554077
log_rec_devs.18,-0.17417475927503748,0.3874284119681245
log_rec_devs.19,0.031189554787269605,0.39896271329030303
log_rec_devs.20,0.2119774928786798,0.39314650252440164
log_rec_devs.21,0.19351834567107848,0.400566035581334
log_rec_devs.22,0.24205544219918354,0.41998586922795117
log_rec_devs.23,0.6989571613705308,0.34308100422817056
log_rec_devs.24,0.4030231177189981,0.39805189821827514
log_rec_devs.25,0.39391305920636804,0.3524631875482414
log_rec_devs.26,0.16969142517328165,0.35601946971125775
log_rec_devs.27,-0.1722366444972069,0.35627440668430516
log_rec_devs.28,-0.2105132089888507,0.33807548964162026
log_rec_devs.29,-0.25975147347256,0.3395709630917883
log_rec_devs.30,-0.24570147329014413,0.3308544693868016
log_rec_devs.31,-0.37165921328764806,0.3367154365721531
log_rec_devs.32,-0.32522597347572196,0.334342586485343
log_rec_devs.33,-0.24457730822046872,0.34198861999131797
log_rec_devs.34,-0.23205340635504026,0.3210694614603126
log_rec_devs.35,-0.515724790568936,0.32125854186465364
log_rec_devs.36,-0.8062928100086775,0.3162332294241499
log_rec_devs.37,-0.8129516903915659,0.3072820990592079
log_rec_devs.38,-0.7552069777062781,0.31456979589793016
log_rec_devs.39,-0.45823909096466375,0.3353509555004317
log_rec_devs.40,0.57203585230408,0.21634576975891812
log_rec_devs.41,0.16837023315439384,0.2687298212617324
log_rec_devs.42,-0.18799406620397172,0.33593992013379426
log_rec_devs.43,1.68029360783704,0.12963638536782962
log_rec_devs.44,0.25525934218308477,0.2944160582880783
log_rec_devs.45,0.6561896546809012,0.18608141289479088
log_rec_devs.46,-0.1833033386458248,0.2953195275470648
log_rec_devs.47,1.2176188716157887,0.13057507549104838
log_rec_devs.48,0.8781889595816927,0.15532215214614212
log_rec_devs.49,0.037710152946887406,0.4697894902455088
log_rec_devs.50,0.09414829292056968,0.4826708549971302
log_rinit,13.104390394319182,0.16160579284008264
log_rinit_devs,0.18353485418079124,0.5033321095304311
log_rinit_devs.1,0.1695917178404599,0.49991687231110726
log_rinit_devs.2,0.1565379006395157,0.4970350081709709
log_rinit_devs.3,0.1502071986147376,0.4957364714348077
log_rinit_devs.4,0.14700147748809608,0.4950881817337711
log_rinit_devs.5,0.13992127106229912,0.49348580552210897
log_rinit_devs.6,0.13326179917377426,0.49197631363988703
log_rinit_devs.7,0.12259920675039218,0.489596024761406
log_rinit_devs.8,0.1173975376711608,0.4884355163269642
log_rinit_devs.9,0.11229674706442648,0.48728045142735643
log_rinit_devs.10,0.11029001959932452,0.4868175285907929
log_rinit_devs.11,0.10772030483581495,0.48621888248150597
log_rinit_devs.12,0.10689801684847526,0.4860150358577317
log_rinit_devs.13,0.1054372822251569,0.4856621934398665
log_rinit_devs.14,0.10560764625718168,0.48568404001783677
log_rinit_devs.15,0.10600467649788683,0.48576047233010367
log_rinit_devs.16,0.10639352800624251,0.4858372674544935
log_rinit_devs.17,0.10644617543435055,0.4858367294226066
log_rinit_devs.18,0.10712849321403653,0.485985220750714
log_rinit_devs.19,0.10778181766535319,0.48612913831725396
log_rinit_devs.20,0.10853625792899668,0.4862991582998509
log_rinit_devs.21,0.10921615589739753,0.486453275624046
log_rinit_devs.22,0.10986200177026051,0.48660080240410925
log_rinit_devs.23,0.11052468427130017,0.48675372904396924
log_rinit_devs.24,0.11133680288322897,0.4869440949348512
log_rinit_devs.25,0.11207445262326593,0.48711802437374413
log_rinit_devs.26,0.11274595333755852,0.4872772077997013
log_rinit_devs.27,0.11335858191909705,0.4874231483360358
log_sigma_r,-0.716615124672425,0.089133005761231
log_Fbar,-2.717328498713433,0.31458042856626955
log_F_devs,-0.05995538471790422,0.3385904416761637
log_F_devs.1,-0.03064828204122753,0.33901294730424947
log_F_devs.2,-0.5575552090925916,0.3383363622565508
log_F_devs.3,-0.24745397846556336,0.3340081573763375
log_F_devs.4,0.0907198145927081,0.32843232171022585
log_F_devs.5,-0.3372014340857764,0.32403255987564356
log_F_devs.6,-0.7714751926062732,0.3209974287012662
log_F_devs.7,-0.7867819517285763,0.32010513593070594
log_F_devs.8,-0.5182648605419373,0.32000810313373873
log_F_devs.9,-0.6523676665913141,0.3199663553019981
log_F_devs.10,-0.21472101320648637,0.31982208094951137
log_F_devs.11,0.1187185723505765,0.3195238114324861
log_F_devs.12,0.08003832069499373,0.3191919040042076
log_F_devs.13,0.19113313225933073,0.3188271160834854
log_F_devs.14,0.12539086362249638,0.31855933378580065
log_F_devs.15,0.05259551630583495,0.3183418929214255
log_F_devs.16,0.2926209053346683,0.31814727820347743
log_F_devs.17,0.4651851507344593,0.3180189225722021
log_F_devs.18,0.8893117475525489,0.3179552499469201
log_F_devs.19,0.8383129918208578,0.3180867641328877
log_F_devs.20,0.8618977914228239,0.31798696363775214
log_F_devs.21,0.9862359615656822,0.3178236174455813
log_F_devs.22,1.0902602949894318,0.3177110514928655
