Parameter,Estimate,se
log_srv_slx_pars,2.059154809279486,0.18384872074778288
log_srv_slx_pars.1,0.13445433261324913,3.1457344192641994
log_srv_slx_pars.2,-1.0139036756639415,0.19429627524152238
log_srv_slx_pars.3,3.0087864713374164,25.011477079092032
log_srv_slx_pars.4,1.4203651988816723,0.3586039542024291
log_srv_slx_pars.5,0.9373110341403115,0.13037937133781635
log_srv_slx_pars.6,0.0543423955824342,0.48265459819240975
log_srv_slx_pars.7,-0.27176738177817067,0.5624954271135792
log_srv_slx_pars.8,0.35029653762798946,0.26012896363932814
log_srv_slx_pars.9,3.727980451638119,9.13107306201549
fsh_logq,-17.24507950271487,0.05528490382527921
fsh_logq.1,-16.241187797199114,0.027866343305654236
fsh_logq.2,-16.47816887638743,0.056524238828350226
srv_logq,-16.430664579782924,0.0908296479147493
srv_logq.1,-16.320602564551077,0.07997114046713477
srv_logq.2,-17.052687281787396,0.04722772135011722
mr_logq,-0.033814176088006985,0.009842418863728568
log_rbar,13.073719956894891,0.11141143677002287
log_rec_devs,0.8998100232521598,0.7723124803323704
log_rec_devs.1,0.8990013802894009,0.7771025381030053
log_rec_devs.2,0.9148105179435242,0.7913107887657023
log_rec_devs.3,3.42305715796609,0.26035576018623513
log_rec_devs.4,0.9575469656754235,0.8120251476185448
log_rec_devs.5,0.9993717784026875,0.8176779633332212
log_rec_devs.6,1.064618380383977,0.8228030929618552
log_rec_devs.7,1.0809488664933644,0.7989395248008558
log_rec_devs.8,1.0323884034561375,0.7613249031829781
log_rec_devs.9,0.9412645079073838,0.7183856868038112
log_rec_devs.10,0.758267339209512,0.6609208536248106
log_rec_devs.11,0.558120798132867,0.6088162312125552
log_rec_devs.12,0.3685544782889274,0.5685034703657098
log_rec_devs.13,0.20051938792322443,0.5388732651803828
log_rec_devs.14,0.08377133624330087,0.5194343459203252
log_rec_devs.15,0.03884105456560691,0.5087834636730233
log_rec_devs.16,0.07302725208565532,0.5050839453322219
log_rec_devs.17,0.19297782474356487,0.5106445896148936
log_rec_devs.18,0.3737092552779874,0.5281581780450338
log_rec_devs.19,0.6350583000814892,0.5484027297071101
log_rec_devs.20,0.90475261580107,0.5121107002061234
log_rec_devs.21,0.7552771246434237,0.5392063559277749
log_rec_devs.22,0.6960036252716465,0.5653358289953879
log_rec_devs.23,1.4280772932496673,0.36142273434082894
log_rec_devs.24,0.8969457114613091,0.5179102573072362
log_rec_devs.25,0.965704185031182,0.44543207092132653
log_rec_devs.26,0.8305980879304297,0.447689692060715
log_rec_devs.27,0.4539240689685812,0.4907191605577719
log_rec_devs.28,0.35870780566173593,0.45928411396718155
log_rec_devs.29,0.3566164896460195,0.4559877127986664
log_rec_devs.30,0.405875532376358,0.42652298904781005
log_rec_devs.31,0.1270497674141021,0.4593074938062177
log_rec_devs.32,0.16370688473781717,0.46128526984145624
log_rec_devs.33,0.4223630910788895,0.44203617527119227
log_rec_devs.34,0.6475307908579514,0.3996581484120598
log_rec_devs.35,-0.04838849271477408,0.45033293568663507
log_rec_devs.36,-0.4260115217833319,0.42734640842996174
log_rec_devs.37,-0.37523199657857786,0.40681105284796815
log_rec_devs.38,-0.26394490795218933,0.4238731410769467
log_rec_devs.39,0.2717538169306234,0.4227003621175992
log_rec_devs.40,0.9661177287632843,0.35402466836153673
log_rec_devs.41,0.9987924399739793,0.3941358532100016
log_rec_devs.42,0.7257578740766997,0.4474567002972033
log_rec_devs.43,2.424845597923888,0.15207983749206958
log_rec_devs.44,0.981850801635786,0.3270637232584599
log_rec_devs.45,1.4128220939499512,0.20097275120648705
