Parameter,Estimate,se
log_srv_slx_pars,1.569335866441106,0.11391985637164409
log_srv_slx_pars.1,0.07490800413238456,1.092459998425465
log_srv_slx_pars.2,-0.6163860520044201,0.14246214698805998
log_srv_slx_pars.3,2.9641532280369716,15.137015447474004
log_srv_slx_pars.4,0.7829132627649346,0.201386283286889
log_srv_slx_pars.5,0.94992329105148,0.07489194792679157
log_srv_slx_pars.6,0.06311108772760649,1.026654277184275
log_srv_slx_pars.7,0.2825480404471292,0.34256355384456033
log_srv_slx_pars.8,0.23450945853906371,0.14344260959091365
log_srv_slx_pars.9,2.9210442497716516,16.785512211274924
fsh_logq,-17.583166549351418,0.04196705875468271
fsh_logq.1,-16.366125667254806,0.025557264917753987
fsh_logq.2,-16.613342534760942,0.05306086716110058
srv_logq,-16.772895545916306,0.04745115086161891
srv_logq.1,-16.532731354977695,0.041743832336747964
srv_logq.2,-17.24651526991251,0.0378358840260099
mr_logq,-0.04671772604548583,0.0097696024119543
log_rbar,13.150649906561844,0.10975806468060602
log_rinit,13.031633499552868,0.1802057466362997
log_Fbar,-2.819679067433916,0.31416160422035955
log_spr_Fxx,-2.2496409350565467,0.26077054499911095
log_spr_Fxx.1,-2.4303177940502434,0.2513166327125072
log_spr_Fxx.2,-2.7815487942075454,0.24868367670087732
log_spr_Fxx.3,-3.142906353112427,0.2659053961761325
log_spr_Fxx.4,-3.5462268080706933,0.3104454855768352
pred_rec,1211008.1616255494,924134.5376986698
pred_rec.1,1192762.418010771,908185.584153111
pred_rec.2,1213749.9491661838,940208.1271548425
pred_rec.3,18157210.103402298,3280069.8379759016
pred_rec.4,1393491.7166505002,1175032.0441467906
pred_rec.5,1607654.8185698777,1469180.0640975107
pred_rec.6,2003376.5912775998,2027601.3082474938
pred_rec.7,1914377.5530441373,1729598.39027809
pred_rec.8,1516312.3764497903,1183816.4035179773
pred_rec.9,1217092.1373961992,833090.024940867
pred_rec.10,967545.5846641128,593344.6541507094
pred_rec.11,812020.3068147395,459380.2008919453
pred_rec.12,700908.3960093032,372381.6903477266
pred_rec.13,605612.0529082261,305979.7626909476
pred_rec.14,538650.8317054828,262639.26059548056
pred_rec.15,522041.8205284899,249003.83523285305
pred_rec.16,566664.7887021499,264009.8045044503
pred_rec.17,636284.5215514464,284225.078954215
pred_rec.18,598890.3888119555,266469.23663817777
pred_rec.19,567160.0511642462,255335.7964613296
pred_rec.20,750070.7375971305,318458.65398381796
pred_rec.21,902754.8007164736,381585.31152699917
pred_rec.22,1142924.1148453997,473472.8873270898
pred_rec.23,1738226.0338644106,546061.0297761534
pred_rec.24,1541938.308778419,540908.661670356
pred_rec.25,1500271.8487646584,492934.7021149165
pred_rec.26,1110660.5655648618,433638.0596425407
pred_rec.27,842188.0007362858,350971.60414875264
pred_rec.28,714378.0680997049,286872.3426924388
pred_rec.29,641011.9802423791,264657.4341859568
pred_rec.30,751643.8463790236,263724.623319849
pred_rec.31,576076.1498180137,226571.29740227456
pred_rec.32,512684.79317051545,200975.4146846134
pred_rec.33,541193.9823566034,225035.02238425516
pred_rec.34,1151710.1929632733,290697.4352305628
pred_rec.35,645888.5390682197,225525.66368083525
pred_rec.36,319419.0353429785,129069.96897979792
pred_rec.37,387164.63174749055,133378.8635710337
pred_rec.38,408708.1393700197,151215.7171935434
pred_rec.39,590335.4261998682,216144.56903507505
pred_rec.40,1739512.8838096887,305061.74075341574
pred_rec.41,1617254.1210720981,332874.0600256791
pred_rec.42,915534.7874882905,347782.35055148765
pred_rec.43,5999477.607426088,557650.2210837912
pred_rec.44,1987629.079224099,528797.1743561333
pred_rec.45,2866319.761353044,461092.4587823322
pred_rec.46,1018814.3743095378,378376.1593913343
pred_rec.47,3770500.8634970295,476209.25116785814
pred_rec.48,2855510.1077415287,444774.16511671996
pred_rec.49,820640.4835654387,519276.31565434975
pred_rec.50,1019293.5295030036,716204.5695311015
