Parameter,Estimate,se
log_srv_slx_pars,1.9268996098316578,0.20554321434926992
log_srv_slx_pars.1,0.12136459677769026,2.316411283131394
log_srv_slx_pars.2,-1.0093396098965224,0.24058251370421654
log_srv_slx_pars.3,2.9634048636597257,20.269857314906798
log_srv_slx_pars.4,1.2221135922974808,0.2487887194095213
log_srv_slx_pars.5,1.3650596290332786,0.11295444581451514
log_srv_slx_pars.6,0.09617836418094419,1.2896088588597687
log_srv_slx_pars.7,-0.1022015241910877,0.39705223461730044
log_srv_slx_pars.8,-0.28881269254905695,0.18033773806928546
log_srv_slx_pars.9,3.157848961553256,14.065564638695477
fsh_logq,-17.38019142708524,0.04982830311193261
fsh_logq.1,-16.313656052689552,0.02745003528595598
fsh_logq.2,-16.454808621976806,0.05433332992382915
srv_logq,-16.548109193269948,0.072257872943506607
srv_logq.1,-16.29994696253514,0.07698151397747575
srv_logq.2,-16.9590587773917,0.040675452275640046
mr_logq,-0.03779049818224696,0.00982799820710605
log_rbar,13.020623647718967,0.13207447467565178
log_rinit,12.665396678081825,0.2228036856798164
log_Fbar,-2.8264731050552108,0.3143976528074784
log_spr_Fxx,-2.0635058976410985,0.2841777431835845
log_spr_Fxx.1,-2.2592887718502226,0.27085537386605923
log_spr_Fxx.2,-2.634443892105264,0.26350587363105643
log_spr_Fxx.3,-3.014953353033886,0.278512909925795
log_spr_Fxx.4,-3.4357971691439912,0.32302757382416936
pred_rec,1130504.5766338168,1070219.7658555028
pred_rec.1,1101831.415948361,1035371.9409689668
pred_rec.2,1098961.0362233815,1040063.8903178787
pred_rec.3,15964337.042489609,3114531.4995616535
pred_rec.4,1150620.6372010065,1115404.9977526893
pred_rec.5,1242546.659977723,1236615.6775601292
pred_rec.6,1413837.4951742196,1464160.8146554877
pred_rec.7,1506745.4656969837,1526790.7526531555
pred_rec.8,1412746.3687882118,1342231.412468663
pred_rec.9,1232717.0175281079,1071744.9058685019
pred_rec.10,977547.6267583297,760800.4465605345
pred_rec.11,789418.0924304767,558967.1979791411
pred_rec.12,651061.0416033117,427958.10491777054
pred_rec.13,547702.0692280037,339907.8404199872
pred_rec.14,484112.8507861402,288559.5438185244
pred_rec.15,463908.1802051457,269601.6313541269
pred_rec.16,487856.6221567801,278607.5595016295
pred_rec.17,548055.0737122687,308606.79875915596
pred_rec.18,596388.0551722767,343089.22870644875
pred_rec.19,715637.4893498049,428983.03497007425
pred_rec.20,1056622.459811233,560633.6554255589
pred_rec.21,993326.2079369857,581320.2656004574
pred_rec.22,968133.3461300358,606758.4746490483
pred_rec.23,1930248.789686296,715926.5466154213
pred_rec.24,1192066.8138809372,657929.3337788356
pred_rec.25,1311672.866874207,584854.8045319094
pred_rec.26,1102443.3010099852,494938.1409172083
pred_rec.27,615655.5738215585,345879.6011336382
pred_rec.28,711794.43641249,328817.90697000927
pred_rec.29,611334.8946601122,320852.08764853183
pred_rec.30,737876.5408281934,325249.12512307795
pred_rec.31,553507.2737122225,281567.8308947206
pred_rec.32,549403.0450828321,268673.9913083422
pred_rec.33,564519.1788805638,284857.3844100298
pred_rec.34,789517.3136805712,316874.2612454932
pred_rec.35,619046.8142727559,258408.80341745872
pred_rec.36,334657.3409375247,165500.79435851678
pred_rec.37,363173.36907027516,159323.16758942624
pred_rec.38,351479.61082667223,162136.75067079117
pred_rec.39,443242.6121427499,213733.34344762744
pred_rec.40,1633562.7967588864,309340.79890661116
pred_rec.41,1063817.8473489964,299884.182190842
pred_rec.42,637006.3311526427,290883.28541232226
pred_rec.43,4882628.91912514,453224.0479497021
pred_rec.44,1025623.5073971389,359856.4528407209
pred_rec.45,1882150.7854063422,298266.9105753272
pred_rec.46,623054.7505965122,243236.15147124787
pred_rec.47,2960857.799226937,300027.17812479404
pred_rec.48,2143422.8865861436,285252.6988598385
pred_rec.49,716137.3324286971,546238.0156832227
pred_rec.50,855715.9089446799,706137.8964981402
